param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1 0.9
3   0.2 0.8
4   0.3 0.7
5   0.4 0.6
6   0.5 0.5
7   0.6 0.4
8   0.7 0.3
9   0.8 0.2
10   0.9 0.1
11   0.99999 0.00001
;

set P := 1 2 3 4;
set M := 1 2 3;
set O := 1 2 3;

param cost :=
# p m o cost
1 1 1 29   1 1 2 50   1 1 3 9   1 2 1 20   1 2 2 30
1 2 3 19   1 3 1 24   1 3 2 20   1 3 3 32   2 1 1 18
2 1 2 24   2 1 3 33   2 2 1 47   2 2 2 22   2 2 3 37
2 3 1 48   2 3 2 20   2 3 3 12   3 1 1 5   3 1 2 43
3 1 3 28   3 2 1 7   3 2 2 36   3 2 3 40   3 3 1 43
3 3 2 21   3 3 3 8   4 1 1 16   4 1 2 50   4 1 3 15
4 2 1 9   4 2 2 16   4 2 3 17   4 3 1 33   4 3 2 38
4 3 3 24   
;

param time_ :=
# p m o time
1 1 1 119   1 1 2 169   1 1 3 97   1 2 1 173   1 2 2 70
1 2 3 131   1 3 1 185   1 3 2 186   1 3 3 44   2 1 1 95
2 1 2 132   2 1 3 13   2 2 1 168   2 2 2 120   2 2 3 179
2 3 1 104   2 3 2 94   2 3 3 53   3 1 1 155   3 1 2 14
3 1 3 90   3 2 1 162   3 2 2 170   3 2 3 78   3 3 1 148
3 3 2 28   3 3 3 178   4 1 1 30   4 1 2 45   4 1 3 16
4 2 1 39   4 2 2 161   4 2 3 155   4 3 1 200   4 3 2 94
4 3 3 182   
;
