param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1 0.9
3   0.2 0.8
4   0.3 0.7
5   0.4 0.6
6   0.5 0.5
7   0.6 0.4
8   0.7 0.3
9   0.8 0.2
10   0.9 0.1
11   0.99999 0.00001
;

set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set O := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

param cost :=
# p m o cost
1 1 1 41   1 1 2 12   1 1 3 40   1 1 4 49   1 1 5 40
1 1 6 13   1 1 7 12   1 1 8 18   1 1 9 43   1 1 10 27
1 1 11 29   1 1 12 23   1 1 13 7   1 1 14 16   1 1 15 43
1 1 16 26   1 1 17 30   1 1 18 7   1 1 19 21   1 1 20 10
1 2 1 48   1 2 2 45   1 2 3 6   1 2 4 27   1 2 5 22
1 2 6 17   1 2 7 28   1 2 8 48   1 2 9 20   1 2 10 47
1 2 11 29   1 2 12 45   1 2 13 37   1 2 14 20   1 2 15 20
1 2 16 45   1 2 17 46   1 2 18 47   1 2 19 27   1 2 20 10
1 3 1 39   1 3 2 20   1 3 3 40   1 3 4 42   1 3 5 7
1 3 6 21   1 3 7 27   1 3 8 40   1 3 9 43   1 3 10 35
1 3 11 12   1 3 12 15   1 3 13 38   1 3 14 27   1 3 15 12
1 3 16 28   1 3 17 5   1 3 18 11   1 3 19 11   1 3 20 37
1 4 1 24   1 4 2 43   1 4 3 14   1 4 4 7   1 4 5 33
1 4 6 13   1 4 7 28   1 4 8 45   1 4 9 41   1 4 10 10
1 4 11 50   1 4 12 42   1 4 13 13   1 4 14 39   1 4 15 10
1 4 16 40   1 4 17 41   1 4 18 21   1 4 19 24   1 4 20 21
1 5 1 43   1 5 2 21   1 5 3 8   1 5 4 5   1 5 5 21
1 5 6 13   1 5 7 13   1 5 8 29   1 5 9 11   1 5 10 7
1 5 11 32   1 5 12 39   1 5 13 37   1 5 14 45   1 5 15 7
1 5 16 36   1 5 17 7   1 5 18 24   1 5 19 27   1 5 20 27
1 6 1 32   1 6 2 42   1 6 3 10   1 6 4 45   1 6 5 40
1 6 6 34   1 6 7 29   1 6 8 29   1 6 9 35   1 6 10 17
1 6 11 6   1 6 12 11   1 6 13 46   1 6 14 18   1 6 15 27
1 6 16 26   1 6 17 21   1 6 18 38   1 6 19 23   1 6 20 14
1 7 1 27   1 7 2 25   1 7 3 6   1 7 4 20   1 7 5 14
1 7 6 16   1 7 7 48   1 7 8 19   1 7 9 23   1 7 10 21
1 7 11 11   1 7 12 16   1 7 13 16   1 7 14 24   1 7 15 34
1 7 16 44   1 7 17 5   1 7 18 25   1 7 19 16   1 7 20 13
1 8 1 33   1 8 2 44   1 8 3 19   1 8 4 9   1 8 5 35
1 8 6 19   1 8 7 29   1 8 8 38   1 8 9 37   1 8 10 35
1 8 11 32   1 8 12 39   1 8 13 15   1 8 14 47   1 8 15 13
1 8 16 32   1 8 17 9   1 8 18 11   1 8 19 19   1 8 20 30
1 9 1 9   1 9 2 44   1 9 3 20   1 9 4 17   1 9 5 47
1 9 6 33   1 9 7 30   1 9 8 29   1 9 9 43   1 9 10 25
1 9 11 46   1 9 12 10   1 9 13 26   1 9 14 14   1 9 15 22
1 9 16 38   1 9 17 38   1 9 18 12   1 9 19 36   1 9 20 8
1 10 1 32   1 10 2 6   1 10 3 32   1 10 4 26   1 10 5 31
1 10 6 10   1 10 7 10   1 10 8 40   1 10 9 5   1 10 10 16
1 10 11 7   1 10 12 43   1 10 13 42   1 10 14 42   1 10 15 7
1 10 16 21   1 10 17 38   1 10 18 9   1 10 19 28   1 10 20 21
1 11 1 11   1 11 2 38   1 11 3 47   1 11 4 39   1 11 5 44
1 11 6 10   1 11 7 33   1 11 8 24   1 11 9 10   1 11 10 16
1 11 11 50   1 11 12 37   1 11 13 47   1 11 14 23   1 11 15 18
1 11 16 24   1 11 17 46   1 11 18 18   1 11 19 34   1 11 20 43
1 12 1 43   1 12 2 28   1 12 3 41   1 12 4 34   1 12 5 39
1 12 6 45   1 12 7 11   1 12 8 22   1 12 9 7   1 12 10 18
1 12 11 7   1 12 12 15   1 12 13 37   1 12 14 10   1 12 15 26
1 12 16 17   1 12 17 48   1 12 18 21   1 12 19 21   1 12 20 27
1 13 1 15   1 13 2 42   1 13 3 46   1 13 4 22   1 13 5 40
1 13 6 16   1 13 7 22   1 13 8 24   1 13 9 12   1 13 10 47
1 13 11 11   1 13 12 19   1 13 13 42   1 13 14 8   1 13 15 30
1 13 16 12   1 13 17 9   1 13 18 50   1 13 19 6   1 13 20 35
1 14 1 13   1 14 2 24   1 14 3 23   1 14 4 49   1 14 5 45
1 14 6 50   1 14 7 30   1 14 8 40   1 14 9 35   1 14 10 23
1 14 11 20   1 14 12 25   1 14 13 22   1 14 14 30   1 14 15 17
1 14 16 49   1 14 17 45   1 14 18 47   1 14 19 28   1 14 20 44
1 15 1 35   1 15 2 7   1 15 3 15   1 15 4 42   1 15 5 12
1 15 6 45   1 15 7 49   1 15 8 48   1 15 9 11   1 15 10 30
1 15 11 24   1 15 12 39   1 15 13 37   1 15 14 31   1 15 15 23
1 15 16 44   1 15 17 29   1 15 18 18   1 15 19 19   1 15 20 16
1 16 1 26   1 16 2 12   1 16 3 19   1 16 4 19   1 16 5 33
1 16 6 44   1 16 7 33   1 16 8 40   1 16 9 44   1 16 10 32
1 16 11 41   1 16 12 12   1 16 13 6   1 16 14 48   1 16 15 27
1 16 16 25   1 16 17 47   1 16 18 19   1 16 19 9   1 16 20 39
1 17 1 33   1 17 2 13   1 17 3 19   1 17 4 23   1 17 5 27
1 17 6 34   1 17 7 42   1 17 8 48   1 17 9 37   1 17 10 41
1 17 11 46   1 17 12 39   1 17 13 27   1 17 14 27   1 17 15 36
1 17 16 22   1 17 17 17   1 17 18 15   1 17 19 19   1 17 20 32
1 18 1 24   1 18 2 14   1 18 3 34   1 18 4 50   1 18 5 13
1 18 6 45   1 18 7 27   1 18 8 17   1 18 9 38   1 18 10 10
1 18 11 39   1 18 12 36   1 18 13 23   1 18 14 17   1 18 15 15
1 18 16 25   1 18 17 16   1 18 18 44   1 18 19 49   1 18 20 14
1 19 1 48   1 19 2 20   1 19 3 14   1 19 4 9   1 19 5 48
1 19 6 9   1 19 7 31   1 19 8 13   1 19 9 36   1 19 10 6
1 19 11 31   1 19 12 35   1 19 13 31   1 19 14 7   1 19 15 35
1 19 16 31   1 19 17 22   1 19 18 27   1 19 19 45   1 19 20 44
1 20 1 30   1 20 2 23   1 20 3 24   1 20 4 33   1 20 5 18
1 20 6 24   1 20 7 41   1 20 8 41   1 20 9 43   1 20 10 27
1 20 11 49   1 20 12 29   1 20 13 9   1 20 14 39   1 20 15 30
1 20 16 48   1 20 17 10   1 20 18 18   1 20 19 43   1 20 20 36
2 1 1 50   2 1 2 12   2 1 3 6   2 1 4 19   2 1 5 5
2 1 6 16   2 1 7 33   2 1 8 16   2 1 9 7   2 1 10 23
2 1 11 45   2 1 12 37   2 1 13 7   2 1 14 37   2 1 15 31
2 1 16 37   2 1 17 26   2 1 18 25   2 1 19 23   2 1 20 13
2 2 1 34   2 2 2 30   2 2 3 18   2 2 4 15   2 2 5 38
2 2 6 5   2 2 7 27   2 2 8 44   2 2 9 33   2 2 10 7
2 2 11 22   2 2 12 18   2 2 13 38   2 2 14 21   2 2 15 7
2 2 16 45   2 2 17 31   2 2 18 34   2 2 19 18   2 2 20 35
2 3 1 17   2 3 2 13   2 3 3 29   2 3 4 48   2 3 5 31
2 3 6 25   2 3 7 23   2 3 8 30   2 3 9 24   2 3 10 37
2 3 11 17   2 3 12 34   2 3 13 46   2 3 14 47   2 3 15 26
2 3 16 8   2 3 17 26   2 3 18 21   2 3 19 35   2 3 20 10
2 4 1 30   2 4 2 45   2 4 3 11   2 4 4 24   2 4 5 13
2 4 6 42   2 4 7 15   2 4 8 14   2 4 9 8   2 4 10 38
2 4 11 22   2 4 12 45   2 4 13 30   2 4 14 18   2 4 15 17
2 4 16 42   2 4 17 5   2 4 18 43   2 4 19 40   2 4 20 22
2 5 1 43   2 5 2 17   2 5 3 13   2 5 4 37   2 5 5 46
2 5 6 12   2 5 7 44   2 5 8 5   2 5 9 31   2 5 10 12
2 5 11 28   2 5 12 8   2 5 13 19   2 5 14 38   2 5 15 50
2 5 16 12   2 5 17 42   2 5 18 11   2 5 19 30   2 5 20 13
2 6 1 8   2 6 2 44   2 6 3 26   2 6 4 16   2 6 5 31
2 6 6 6   2 6 7 48   2 6 8 30   2 6 9 6   2 6 10 10
2 6 11 5   2 6 12 39   2 6 13 36   2 6 14 43   2 6 15 11
2 6 16 27   2 6 17 12   2 6 18 33   2 6 19 46   2 6 20 5
2 7 1 26   2 7 2 50   2 7 3 48   2 7 4 23   2 7 5 46
2 7 6 36   2 7 7 17   2 7 8 32   2 7 9 32   2 7 10 16
2 7 11 5   2 7 12 49   2 7 13 48   2 7 14 47   2 7 15 21
2 7 16 20   2 7 17 45   2 7 18 48   2 7 19 31   2 7 20 36
2 8 1 24   2 8 2 50   2 8 3 38   2 8 4 32   2 8 5 20
