param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1 0.9
3   0.2 0.8
4   0.3 0.7
5   0.4 0.6
6   0.5 0.5
7   0.6 0.4
8   0.7 0.3
9   0.8 0.2
10   0.9 0.1
11   0.99999 0.00001
;

set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set O := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param cost :=
# p m o cost
1 1 1 21   1 1 2 42   1 1 3 15   1 1 4 29   1 1 5 17
1 1 6 48   1 1 7 17   1 1 8 18   1 1 9 44   1 1 10 32
1 1 11 47   1 1 12 8   1 1 13 36   1 1 14 11   1 1 15 37
1 2 1 14   1 2 2 46   1 2 3 12   1 2 4 18   1 2 5 23
1 2 6 6   1 2 7 5   1 2 8 9   1 2 9 25   1 2 10 10
1 2 11 30   1 2 12 17   1 2 13 10   1 2 14 9   1 2 15 39
1 3 1 11   1 3 2 6   1 3 3 40   1 3 4 12   1 3 5 14
1 3 6 39   1 3 7 9   1 3 8 49   1 3 9 23   1 3 10 34
1 3 11 19   1 3 12 36   1 3 13 37   1 3 14 50   1 3 15 37
1 4 1 15   1 4 2 41   1 4 3 46   1 4 4 25   1 4 5 8
1 4 6 34   1 4 7 27   1 4 8 46   1 4 9 9   1 4 10 32
1 4 11 31   1 4 12 22   1 4 13 15   1 4 14 20   1 4 15 45
1 5 1 26   1 5 2 13   1 5 3 6   1 5 4 44   1 5 5 33
1 5 6 48   1 5 7 37   1 5 8 27   1 5 9 14   1 5 10 10
1 5 11 45   1 5 12 23   1 5 13 24   1 5 14 49   1 5 15 42
1 6 1 17   1 6 2 35   1 6 3 35   1 6 4 17   1 6 5 17
1 6 6 6   1 6 7 40   1 6 8 21   1 6 9 26   1 6 10 21
1 6 11 43   1 6 12 38   1 6 13 38   1 6 14 40   1 6 15 37
1 7 1 19   1 7 2 45   1 7 3 47   1 7 4 50   1 7 5 7
1 7 6 20   1 7 7 38   1 7 8 27   1 7 9 28   1 7 10 18
1 7 11 39   1 7 12 42   1 7 13 12   1 7 14 35   1 7 15 33
1 8 1 11   1 8 2 40   1 8 3 26   1 8 4 35   1 8 5 45
1 8 6 12   1 8 7 22   1 8 8 19   1 8 9 7   1 8 10 49
1 8 11 43   1 8 12 42   1 8 13 27   1 8 14 20   1 8 15 43
1 9 1 19   1 9 2 41   1 9 3 26   1 9 4 46   1 9 5 19
1 9 6 31   1 9 7 33   1 9 8 24   1 9 9 14   1 9 10 20
1 9 11 24   1 9 12 37   1 9 13 35   1 9 14 37   1 9 15 14
1 10 1 16   1 10 2 28   1 10 3 23   1 10 4 10   1 10 5 11
1 10 6 15   1 10 7 36   1 10 8 18   1 10 9 36   1 10 10 8
1 10 11 28   1 10 12 18   1 10 13 44   1 10 14 9   1 10 15 35
1 11 1 47   1 11 2 34   1 11 3 17   1 11 4 47   1 11 5 12
1 11 6 50   1 11 7 28   1 11 8 35   1 11 9 48   1 11 10 44
1 11 11 17   1 11 12 49   1 11 13 44   1 11 14 8   1 11 15 21
1 12 1 40   1 12 2 14   1 12 3 49   1 12 4 14   1 12 5 5
1 12 6 31   1 12 7 28   1 12 8 33   1 12 9 48   1 12 10 7
1 12 11 30   1 12 12 41   1 12 13 11   1 12 14 30   1 12 15 46
1 13 1 33   1 13 2 13   1 13 3 33   1 13 4 14   1 13 5 45
1 13 6 16   1 13 7 8   1 13 8 45   1 13 9 23   1 13 10 9
1 13 11 46   1 13 12 8   1 13 13 17   1 13 14 12   1 13 15 44
1 14 1 40   1 14 2 7   1 14 3 5   1 14 4 13   1 14 5 21
1 14 6 30   1 14 7 26   1 14 8 25   1 14 9 23   1 14 10 11
1 14 11 45   1 14 12 32   1 14 13 30   1 14 14 38   1 14 15 21
1 15 1 45   1 15 2 28   1 15 3 5   1 15 4 26   1 15 5 27
1 15 6 35   1 15 7 40   1 15 8 46   1 15 9 46   1 15 10 7
1 15 11 5   1 15 12 8   1 15 13 49   1 15 14 32   1 15 15 35
2 1 1 12   2 1 2 5   2 1 3 20   2 1 4 38   2 1 5 16
2 1 6 26   2 1 7 30   2 1 8 50   2 1 9 45   2 1 10 32
2 1 11 45   2 1 12 6   2 1 13 38   2 1 14 8   2 1 15 15
2 2 1 40   2 2 2 43   2 2 3 11   2 2 4 42   2 2 5 34
2 2 6 11   2 2 7 44   2 2 8 12   2 2 9 36   2 2 10 7
2 2 11 43   2 2 12 44   2 2 13 37   2 2 14 22   2 2 15 46
2 3 1 15   2 3 2 43   2 3 3 25   2 3 4 43   2 3 5 37
2 3 6 38   2 3 7 9   2 3 8 46   2 3 9 16   2 3 10 33
2 3 11 18   2 3 12 32   2 3 13 46   2 3 14 7   2 3 15 39
2 4 1 40   2 4 2 26   2 4 3 47   2 4 4 38   2 4 5 33
2 4 6 37   2 4 7 10   2 4 8 29   2 4 9 48   2 4 10 14
2 4 11 46   2 4 12 14   2 4 13 31   2 4 14 48   2 4 15 47
2 5 1 7   2 5 2 34   2 5 3 42   2 5 4 12   2 5 5 39
2 5 6 43   2 5 7 39   2 5 8 10   2 5 9 32   2 5 10 31
2 5 11 46   2 5 12 49   2 5 13 40   2 5 14 20   2 5 15 25
2 6 1 22   2 6 2 24   2 6 3 8   2 6 4 16   2 6 5 25
2 6 6 48   2 6 7 41   2 6 8 34   2 6 9 33   2 6 10 20
2 6 11 17   2 6 12 39   2 6 13 11   2 6 14 11   2 6 15 49
2 7 1 45   2 7 2 15   2 7 3 15   2 7 4 34   2 7 5 50
2 7 6 9   2 7 7 46   2 7 8 26   2 7 9 21   2 7 10 40
2 7 11 9   2 7 12 50   2 7 13 26   2 7 14 40   2 7 15 45
2 8 1 11   2 8 2 41   2 8 3 44   2 8 4 35   2 8 5 42
2 8 6 35   2 8 7 21   2 8 8 20   2 8 9 7   2 8 10 14
2 8 11 31   2 8 12 29   2 8 13 26   2 8 14 22   2 8 15 41
2 9 1 5   2 9 2 21   2 9 3 47   2 9 4 44   2 9 5 19
2 9 6 29   2 9 7 50   2 9 8 20   2 9 9 24   2 9 10 22
2 9 11 43   2 9 12 15   2 9 13 24   2 9 14 50   2 9 15 28
2 10 1 27   2 10 2 33   2 10 3 29   2 10 4 42   2 10 5 46
2 10 6 44   2 10 7 13   2 10 8 46   2 10 9 17   2 10 10 49
2 10 11 47   2 10 12 20   2 10 13 15   2 10 14 9   2 10 15 15
2 11 1 9   2 11 2 25   2 11 3 44   2 11 4 31   2 11 5 8
2 11 6 10   2 11 7 22   2 11 8 32   2 11 9 30   2 11 10 14
2 11 11 13   2 11 12 30   2 11 13 16   2 11 14 12   2 11 15 13
2 12 1 20   2 12 2 44   2 12 3 44   2 12 4 48   2 12 5 15
2 12 6 36   2 12 7 17   2 12 8 38   2 12 9 48   2 12 10 12
