param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1 0.9
3   0.2 0.8
4   0.3 0.7
5   0.4 0.6
6   0.5 0.5
7   0.6 0.4
8   0.7 0.3
9   0.8 0.2
10   0.9 0.1
11   0.99999 0.00001
;

set P := 1 2 3 4 5 6 7 8 9 10;
set M := 1 2 3 4 5 6;
set O := 1 2 3 4 5 6;

param cost :=
# p m o cost
1 1 1 5   1 1 2 19   1 1 3 36   1 1 4 36   1 1 5 34
1 1 6 5   1 2 1 41   1 2 2 29   1 2 3 40   1 2 4 19
1 2 5 46   1 2 6 29   1 3 1 14   1 3 2 14   1 3 3 35
1 3 4 32   1 3 5 42   1 3 6 46   1 4 1 47   1 4 2 26
1 4 3 49   1 4 4 48   1 4 5 6   1 4 6 27   1 5 1 23
1 5 2 22   1 5 3 39   1 5 4 19   1 5 5 26   1 5 6 27
1 6 1 23   1 6 2 21   1 6 3 13   1 6 4 11   1 6 5 22
1 6 6 25   2 1 1 46   2 1 2 32   2 1 3 18   2 1 4 35
2 1 5 20   2 1 6 23   2 2 1 42   2 2 2 22   2 2 3 25
2 2 4 19   2 2 5 15   2 2 6 6   2 3 1 13   2 3 2 29
2 3 3 43   2 3 4 12   2 3 5 20   2 3 6 33   2 4 1 50
2 4 2 31   2 4 3 40   2 4 4 7   2 4 5 5   2 4 6 46
2 5 1 11   2 5 2 47   2 5 3 49   2 5 4 23   2 5 5 16
2 5 6 25   2 6 1 35   2 6 2 27   2 6 3 14   2 6 4 28
2 6 5 7   2 6 6 26   3 1 1 18   3 1 2 47   3 1 3 12
3 1 4 40   3 1 5 23   3 1 6 39   3 2 1 23   3 2 2 22
3 2 3 42   3 2 4 45   3 2 5 36   3 2 6 16   3 3 1 39
3 3 2 35   3 3 3 20   3 3 4 25   3 3 5 23   3 3 6 15
3 4 1 20   3 4 2 20   3 4 3 20   3 4 4 39   3 4 5 29
3 4 6 45   3 5 1 40   3 5 2 9   3 5 3 15   3 5 4 5
3 5 5 35   3 5 6 28   3 6 1 50   3 6 2 30   3 6 3 5
3 6 4 14   3 6 5 49   3 6 6 31   4 1 1 41   4 1 2 50
4 1 3 15   4 1 4 39   4 1 5 29   4 1 6 48   4 2 1 35
4 2 2 45   4 2 3 43   4 2 4 27   4 2 5 9   4 2 6 27
4 3 1 24   4 3 2 21   4 3 3 21   4 3 4 22   4 3 5 33
4 3 6 32   4 4 1 21   4 4 2 23   4 4 3 23   4 4 4 33
4 4 5 20   4 4 6 24   4 5 1 40   4 5 2 46   4 5 3 26
4 5 4 48   4 5 5 50   4 5 6 13   4 6 1 16   4 6 2 15
4 6 3 42   4 6 4 6   4 6 5 29   4 6 6 34   5 1 1 31
5 1 2 33   5 1 3 29   5 1 4 7   5 1 5 47   5 1 6 24
5 2 1 22   5 2 2 32   5 2 3 18   5 2 4 27   5 2 5 31
5 2 6 29   5 3 1 13   5 3 2 24   5 3 3 40   5 3 4 7
5 3 5 18   5 3 6 21   5 4 1 26   5 4 2 18   5 4 3 25
5 4 4 32   5 4 5 46   5 4 6 5   5 5 1 29   5 5 2 45
5 5 3 48   5 5 4 33   5 5 5 17   5 5 6 22   5 6 1 22
5 6 2 10   5 6 3 18   5 6 4 14   5 6 5 29   5 6 6 39
6 1 1 11   6 1 2 49   6 1 3 19   6 1 4 48   6 1 5 45
6 1 6 45   6 2 1 13   6 2 2 13   6 2 3 47   6 2 4 18
6 2 5 50   6 2 6 46   6 3 1 22   6 3 2 21   6 3 3 28
6 3 4 5   6 3 5 34   6 3 6 48   6 4 1 49   6 4 2 48
6 4 3 19   6 4 4 10   6 4 5 47   6 4 6 32   6 5 1 46
6 5 2 5   6 5 3 24   6 5 4 26   6 5 5 46   6 5 6 43
6 6 1 32   6 6 2 48   6 6 3 35   6 6 4 16   6 6 5 17
6 6 6 47   7 1 1 21   7 1 2 11   7 1 3 11   7 1 4 48
