param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1 0.9
3   0.2 0.8
4   0.3 0.7
5   0.4 0.6
6   0.5 0.5
7   0.6 0.4
8   0.7 0.3
9   0.8 0.2
10   0.9 0.1
11   0.99999 0.00001
;

set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set M := 1 2 3 4 5 6 7 8 9 10;
set O := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

param cost :=
# p m o cost
1 1 1 50   1 1 2 45   1 1 3 12   1 1 4 11   1 1 5 27
1 1 6 15   1 1 7 44   1 1 8 30   1 1 9 34   1 1 10 16
1 1 11 41   1 1 12 23   1 1 13 16   1 1 14 15   1 1 15 17
1 1 16 16   1 1 17 18   1 1 18 12   1 1 19 6   1 1 20 40
1 2 1 12   1 2 2 5   1 2 3 37   1 2 4 17   1 2 5 46
1 2 6 40   1 2 7 17   1 2 8 14   1 2 9 38   1 2 10 37
1 2 11 27   1 2 12 35   1 2 13 13   1 2 14 48   1 2 15 17
1 2 16 25   1 2 17 35   1 2 18 10   1 2 19 48   1 2 20 10
1 3 1 38   1 3 2 24   1 3 3 33   1 3 4 42   1 3 5 18
1 3 6 32   1 3 7 32   1 3 8 24   1 3 9 40   1 3 10 48
1 3 11 9   1 3 12 25   1 3 13 14   1 3 14 21   1 3 15 14
1 3 16 25   1 3 17 16   1 3 18 41   1 3 19 30   1 3 20 10
1 4 1 32   1 4 2 13   1 4 3 20   1 4 4 15   1 4 5 41
1 4 6 26   1 4 7 15   1 4 8 36   1 4 9 42   1 4 10 40
1 4 11 19   1 4 12 27   1 4 13 47   1 4 14 17   1 4 15 45
1 4 16 46   1 4 17 48   1 4 18 13   1 4 19 36   1 4 20 49
1 5 1 44   1 5 2 20   1 5 3 50   1 5 4 30   1 5 5 22
1 5 6 8   1 5 7 29   1 5 8 32   1 5 9 35   1 5 10 45
1 5 11 34   1 5 12 31   1 5 13 8   1 5 14 9   1 5 15 38
1 5 16 35   1 5 17 28   1 5 18 45   1 5 19 35   1 5 20 36
1 6 1 43   1 6 2 25   1 6 3 10   1 6 4 26   1 6 5 50
1 6 6 14   1 6 7 31   1 6 8 50   1 6 9 12   1 6 10 32
1 6 11 5   1 6 12 17   1 6 13 25   1 6 14 17   1 6 15 9
1 6 16 14   1 6 17 13   1 6 18 15   1 6 19 29   1 6 20 37
1 7 1 19   1 7 2 45   1 7 3 39   1 7 4 8   1 7 5 23
1 7 6 50   1 7 7 17   1 7 8 24   1 7 9 13   1 7 10 28
1 7 11 43   1 7 12 44   1 7 13 33   1 7 14 14   1 7 15 9
1 7 16 47   1 7 17 38   1 7 18 7   1 7 19 27   1 7 20 9
1 8 1 26   1 8 2 14   1 8 3 38   1 8 4 22   1 8 5 22
1 8 6 31   1 8 7 37   1 8 8 21   1 8 9 18   1 8 10 23
1 8 11 34   1 8 12 32   1 8 13 17   1 8 14 50   1 8 15 37
1 8 16 33   1 8 17 31   1 8 18 33   1 8 19 14   1 8 20 24
1 9 1 6   1 9 2 22   1 9 3 6   1 9 4 30   1 9 5 8
1 9 6 31   1 9 7 15   1 9 8 24   1 9 9 34   1 9 10 9
1 9 11 28   1 9 12 17   1 9 13 19   1 9 14 17   1 9 15 23
1 9 16 19   1 9 17 40   1 9 18 44   1 9 19 47   1 9 20 8
1 10 1 24   1 10 2 10   1 10 3 46   1 10 4 33   1 10 5 34
1 10 6 50   1 10 7 23   1 10 8 38   1 10 9 20   1 10 10 22
1 10 11 13   1 10 12 19   1 10 13 38   1 10 14 22   1 10 15 34
1 10 16 32   1 10 17 35   1 10 18 28   1 10 19 25   1 10 20 19
2 1 1 5   2 1 2 14   2 1 3 30   2 1 4 26   2 1 5 38
2 1 6 5   2 1 7 41   2 1 8 5   2 1 9 19   2 1 10 46
2 1 11 32   2 1 12 22   2 1 13 11   2 1 14 26   2 1 15 19
2 1 16 28   2 1 17 33   2 1 18 9   2 1 19 32   2 1 20 27
2 2 1 7   2 2 2 50   2 2 3 8   2 2 4 45   2 2 5 20
2 2 6 11   2 2 7 43   2 2 8 29   2 2 9 49   2 2 10 17
2 2 11 33   2 2 12 31   2 2 13 30   2 2 14 9   2 2 15 25
2 2 16 31   2 2 17 39   2 2 18 7   2 2 19 7   2 2 20 17
2 3 1 17   2 3 2 45   2 3 3 24   2 3 4 21   2 3 5 30
2 3 6 39   2 3 7 6   2 3 8 5   2 3 9 19   2 3 10 20
2 3 11 38   2 3 12 36   2 3 13 30   2 3 14 28   2 3 15 20
2 3 16 12   2 3 17 15   2 3 18 15   2 3 19 34   2 3 20 19
2 4 1 24   2 4 2 42   2 4 3 30   2 4 4 50   2 4 5 18
2 4 6 45   2 4 7 44   2 4 8 43   2 4 9 15   2 4 10 35
2 4 11 47   2 4 12 19   2 4 13 34   2 4 14 44   2 4 15 8
2 4 16 13   2 4 17 47   2 4 18 26   2 4 19 28   2 4 20 43
2 5 1 25   2 5 2 5   2 5 3 24   2 5 4 16   2 5 5 12
2 5 6 23   2 5 7 13   2 5 8 21   2 5 9 10   2 5 10 20
2 5 11 15   2 5 12 26   2 5 13 11   2 5 14 22   2 5 15 44
2 5 16 14   2 5 17 21   2 5 18 18   2 5 19 36   2 5 20 37
2 6 1 25   2 6 2 33   2 6 3 5   2 6 4 27   2 6 5 8
2 6 6 10   2 6 7 31   2 6 8 49   2 6 9 12   2 6 10 48
2 6 11 14   2 6 12 18   2 6 13 20   2 6 14 10   2 6 15 40
2 6 16 43   2 6 17 17   2 6 18 45   2 6 19 46   2 6 20 30
2 7 1 15   2 7 2 9   2 7 3 48   2 7 4 6   2 7 5 8
2 7 6 48   2 7 7 45   2 7 8 44   2 7 9 44   2 7 10 8
2 7 11 37   2 7 12 40   2 7 13 18   2 7 14 42   2 7 15 8
2 7 16 9   2 7 17 27   2 7 18 28   2 7 19 22   2 7 20 24
2 8 1 25   2 8 2 12   2 8 3 9   2 8 4 14   2 8 5 47
2 8 6 5   2 8 7 40   2 8 8 32   2 8 9 18   2 8 10 15
2 8 11 22   2 8 12 46   2 8 13 6   2 8 14 25   2 8 15 26
2 8 16 23   2 8 17 46   2 8 18 7   2 8 19 37   2 8 20 13
2 9 1 21   2 9 2 30   2 9 3 32   2 9 4 22   2 9 5 38
2 9 6 34   2 9 7 25   2 9 8 47   2 9 9 31   2 9 10 16
2 9 11 11   2 9 12 45   2 9 13 36   2 9 14 35   2 9 15 38
2 9 16 28   2 9 17 47   2 9 18 18   2 9 19 31   2 9 20 47
2 10 1 34   2 10 2 13   2 10 3 40   2 10 4 50   2 10 5 11
2 10 6 28   2 10 7 15   2 10 8 17   2 10 9 48   2 10 10 31
2 10 11 27   2 10 12 23   2 10 13 25   2 10 14 45   2 10 15 38
2 10 16 11   2 10 17 20   2 10 18 18   2 10 19 35   2 10 20 28
3 1 1 18   3 1 2 35   3 1 3 47   3 1 4 50   3 1 5 33
3 1 6 36   3 1 7 24   3 1 8 12   3 1 9 49   3 1 10 50
3 1 11 11   3 1 12 7   3 1 13 38   3 1 14 6   3 1 15 27
3 1 16 16   3 1 17 11   3 1 18 28   3 1 19 21   3 1 20 32
3 2 1 25   3 2 2 18   3 2 3 31   3 2 4 18   3 2 5 13
3 2 6 44   3 2 7 24   3 2 8 47   3 2 9 13   3 2 10 22
3 2 11 34   3 2 12 38   3 2 13 31   3 2 14 16   3 2 15 39
3 2 16 16   3 2 17 34   3 2 18 9   3 2 19 42   3 2 20 15
3 3 1 11   3 3 2 12   3 3 3 42   3 3 4 22   3 3 5 37
3 3 6 14   3 3 7 25   3 3 8 15   3 3 9 7   3 3 10 41
3 3 11 25   3 3 12 27   3 3 13 31   3 3 14 7   3 3 15 45
3 3 16 10   3 3 17 37   3 3 18 47   3 3 19 41   3 3 20 34
3 4 1 24   3 4 2 37   3 4 3 49   3 4 4 10   3 4 5 30
3 4 6 27   3 4 7 35   3 4 8 13   3 4 9 40   3 4 10 28
3 4 11 47   3 4 12 9   3 4 13 42   3 4 14 35   3 4 15 31
3 4 16 43   3 4 17 50   3 4 18 36   3 4 19 41   3 4 20 42
3 5 1 22   3 5 2 43   3 5 3 6   3 5 4 32   3 5 5 5
3 5 6 31   3 5 7 17   3 5 8 12   3 5 9 29   3 5 10 27
3 5 11 28   3 5 12 9   3 5 13 27   3 5 14 33   3 5 15 33
3 5 16 41   3 5 17 8   3 5 18 24   3 5 19 31   3 5 20 16
3 6 1 9   3 6 2 31   3 6 3 11   3 6 4 16   3 6 5 15
3 6 6 23   3 6 7 34   3 6 8 15   3 6 9 14   3 6 10 30
3 6 11 28   3 6 12 8   3 6 13 35   3 6 14 34   3 6 15 22
3 6 16 42   3 6 17 6   3 6 18 23   3 6 19 46   3 6 20 24
3 7 1 10   3 7 2 17   3 7 3 41   3 7 4 6   3 7 5 21
3 7 6 48   3 7 7 34   3 7 8 21   3 7 9 31   3 7 10 50
3 7 11 44   3 7 12 31   3 7 13 21   3 7 14 26   3 7 15 43
3 7 16 40   3 7 17 12   3 7 18 18   3 7 19 5   3 7 20 19
3 8 1 42   3 8 2 49   3 8 3 24   3 8 4 22   3 8 5 8
3 8 6 31   3 8 7 47   3 8 8 30   3 8 9 24   3 8 10 32
3 8 11 7   3 8 12 34   3 8 13 39   3 8 14 30   3 8 15 32
3 8 16 33   3 8 17 5   3 8 18 20   3 8 19 31   3 8 20 13
3 9 1 50   3 9 2 6   3 9 3 42   3 9 4 44   3 9 5 36
3 9 6 45   3 9 7 29   3 9 8 29   3 9 9 34   3 9 10 33
3 9 11 27   3 9 12 10   3 9 13 17   3 9 14 9   3 9 15 44
3 9 16 26   3 9 17 34   3 9 18 18   3 9 19 22   3 9 20 44
