param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1 0.9
3   0.2 0.8
4   0.3 0.7
5   0.4 0.6
6   0.5 0.5
7   0.6 0.4
8   0.7 0.3
9   0.8 0.2
10   0.9 0.1
11   0.99999 0.00001
;

set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set O := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

param cost :=
# p m o cost
1 1 1 38   1 1 2 49   1 1 3 45   1 1 4 16   1 1 5 15
1 1 6 42   1 1 7 6   1 1 8 12   1 1 9 18   1 1 10 9
1 1 11 46   1 1 12 16   1 1 13 17   1 1 14 30   1 1 15 36
1 1 16 20   1 1 17 35   1 1 18 50   1 1 19 43   1 1 20 45
1 1 21 26   1 1 22 42   1 1 23 5   1 1 24 44   1 1 25 43
1 2 1 25   1 2 2 35   1 2 3 13   1 2 4 9   1 2 5 36
1 2 6 36   1 2 7 10   1 2 8 17   1 2 9 43   1 2 10 45
1 2 11 16   1 2 12 48   1 2 13 45   1 2 14 40   1 2 15 8
1 2 16 26   1 2 17 20   1 2 18 31   1 2 19 37   1 2 20 42
1 2 21 39   1 2 22 45   1 2 23 7   1 2 24 32   1 2 25 28
1 3 1 30   1 3 2 42   1 3 3 22   1 3 4 48   1 3 5 13
1 3 6 43   1 3 7 34   1 3 8 47   1 3 9 30   1 3 10 8
1 3 11 26   1 3 12 8   1 3 13 10   1 3 14 41   1 3 15 20
1 3 16 41   1 3 17 13   1 3 18 27   1 3 19 17   1 3 20 20
1 3 21 30   1 3 22 13   1 3 23 34   1 3 24 14   1 3 25 42
1 4 1 16   1 4 2 23   1 4 3 22   1 4 4 29   1 4 5 9
1 4 6 21   1 4 7 12   1 4 8 22   1 4 9 6   1 4 10 26
1 4 11 12   1 4 12 36   1 4 13 7   1 4 14 28   1 4 15 16
1 4 16 14   1 4 17 33   1 4 18 29   1 4 19 36   1 4 20 22
1 4 21 27   1 4 22 17   1 4 23 36   1 4 24 25   1 4 25 10
1 5 1 28   1 5 2 10   1 5 3 31   1 5 4 50   1 5 5 37
1 5 6 29   1 5 7 11   1 5 8 46   1 5 9 48   1 5 10 16
1 5 11 35   1 5 12 29   1 5 13 37   1 5 14 33   1 5 15 46
1 5 16 8   1 5 17 47   1 5 18 48   1 5 19 34   1 5 20 48
1 5 21 38   1 5 22 36   1 5 23 49   1 5 24 40   1 5 25 18
1 6 1 15   1 6 2 47   1 6 3 15   1 6 4 18   1 6 5 20
1 6 6 32   1 6 7 48   1 6 8 42   1 6 9 18   1 6 10 39
1 6 11 36   1 6 12 15   1 6 13 38   1 6 14 21   1 6 15 5
1 6 16 40   1 6 17 36   1 6 18 34   1 6 19 5   1 6 20 17
1 6 21 10   1 6 22 19   1 6 23 20   1 6 24 21   1 6 25 23
1 7 1 44   1 7 2 41   1 7 3 11   1 7 4 10   1 7 5 25
1 7 6 13   1 7 7 17   1 7 8 16   1 7 9 35   1 7 10 34
1 7 11 23   1 7 12 44   1 7 13 28   1 7 14 45   1 7 15 5
1 7 16 7   1 7 17 9   1 7 18 37   1 7 19 7   1 7 20 36
1 7 21 13   1 7 22 18   1 7 23 18   1 7 24 42   1 7 25 5
1 8 1 10   1 8 2 23   1 8 3 40   1 8 4 29   1 8 5 37
1 8 6 27   1 8 7 29   1 8 8 25   1 8 9 25   1 8 10 11
1 8 11 33   1 8 12 40   1 8 13 23   1 8 14 5   1 8 15 14
1 8 16 35   1 8 17 41   1 8 18 38   1 8 19 16   1 8 20 41
1 8 21 9   1 8 22 32   1 8 23 37   1 8 24 49   1 8 25 15
1 9 1 17   1 9 2 10   1 9 3 17   1 9 4 6   1 9 5 16
1 9 6 46   1 9 7 18   1 9 8 28   1 9 9 15   1 9 10 22
1 9 11 37   1 9 12 38   1 9 13 10   1 9 14 10   1 9 15 15
1 9 16 50   1 9 17 22   1 9 18 39   1 9 19 22   1 9 20 13
1 9 21 19   1 9 22 13   1 9 23 42   1 9 24 14   1 9 25 17
1 10 1 45   1 10 2 19   1 10 3 17   1 10 4 40   1 10 5 35
1 10 6 9   1 10 7 28   1 10 8 36   1 10 9 23   1 10 10 48
1 10 11 38   1 10 12 47   1 10 13 42   1 10 14 12   1 10 15 21
1 10 16 27   1 10 17 13   1 10 18 44   1 10 19 8   1 10 20 10
1 10 21 39   1 10 22 32   1 10 23 32   1 10 24 22   1 10 25 45
1 11 1 8   1 11 2 43   1 11 3 27   1 11 4 34   1 11 5 50
1 11 6 25   1 11 7 20   1 11 8 18   1 11 9 8   1 11 10 43
1 11 11 7   1 11 12 44   1 11 13 42   1 11 14 13   1 11 15 9
1 11 16 48   1 11 17 10   1 11 18 48   1 11 19 8   1 11 20 15
1 11 21 48   1 11 22 9   1 11 23 27   1 11 24 47   1 11 25 49
1 12 1 11   1 12 2 35   1 12 3 11   1 12 4 34   1 12 5 50
1 12 6 31   1 12 7 20   1 12 8 45   1 12 9 30   1 12 10 16
1 12 11 23   1 12 12 22   1 12 13 27   1 12 14 10   1 12 15 20
1 12 16 39   1 12 17 29   1 12 18 32   1 12 19 37   1 12 20 40
1 12 21 48   1 12 22 23   1 12 23 39   1 12 24 27   1 12 25 20
1 13 1 31   1 13 2 14   1 13 3 37   1 13 4 35   1 13 5 23
1 13 6 49   1 13 7 35   1 13 8 49   1 13 9 14   1 13 10 10
1 13 11 31   1 13 12 35   1 13 13 7   1 13 14 25   1 13 15 41
1 13 16 41   1 13 17 47   1 13 18 41   1 13 19 10   1 13 20 9
1 13 21 27   1 13 22 5   1 13 23 33   1 13 24 34   1 13 25 22
1 14 1 17   1 14 2 20   1 14 3 43   1 14 4 38   1 14 5 12
1 14 6 35   1 14 7 35   1 14 8 23   1 14 9 44   1 14 10 23
1 14 11 6   1 14 12 19   1 14 13 17   1 14 14 15   1 14 15 14
1 14 16 28   1 14 17 48   1 14 18 27   1 14 19 6   1 14 20 20
1 14 21 10   1 14 22 14   1 14 23 8   1 14 24 25   1 14 25 40
1 15 1 16   1 15 2 16   1 15 3 48   1 15 4 47   1 15 5 30
1 15 6 43   1 15 7 35   1 15 8 35   1 15 9 32   1 15 10 13
1 15 11 31   1 15 12 6   1 15 13 17   1 15 14 44   1 15 15 48
1 15 16 25   1 15 17 28   1 15 18 10   1 15 19 17   1 15 20 19
1 15 21 36   1 15 22 19   1 15 23 23   1 15 24 10   1 15 25 29
1 16 1 42   1 16 2 10   1 16 3 16   1 16 4 35   1 16 5 45
1 16 6 21   1 16 7 34   1 16 8 17   1 16 9 40   1 16 10 26
1 16 11 14   1 16 12 31   1 16 13 5   1 16 14 9   1 16 15 8
1 16 16 12   1 16 17 37   1 16 18 37   1 16 19 37   1 16 20 20
1 16 21 39   1 16 22 15   1 16 23 26   1 16 24 12   1 16 25 15
1 17 1 31   1 17 2 14   1 17 3 9   1 17 4 45   1 17 5 31
1 17 6 19   1 17 7 13   1 17 8 7   1 17 9 45   1 17 10 5
1 17 11 39   1 17 12 5   1 17 13 34   1 17 14 45   1 17 15 43
1 17 16 38   1 17 17 41   1 17 18 31   1 17 19 27   1 17 20 47
1 17 21 34   1 17 22 37   1 17 23 13   1 17 24 45   1 17 25 10
1 18 1 27   1 18 2 12   1 18 3 49   1 18 4 30   1 18 5 45
1 18 6 16   1 18 7 16   1 18 8 28   1 18 9 11   1 18 10 15
1 18 11 41   1 18 12 44   1 18 13 43   1 18 14 50   1 18 15 31
1 18 16 18   1 18 17 45   1 18 18 18   1 18 19 15   1 18 20 36
1 18 21 14   1 18 22 50   1 18 23 38   1 18 24 36   1 18 25 48
1 19 1 42   1 19 2 26   1 19 3 5   1 19 4 25   1 19 5 6
1 19 6 42   1 19 7 18   1 19 8 24   1 19 9 21   1 19 10 49
1 19 11 49   1 19 12 15   1 19 13 38   1 19 14 19   1 19 15 31
1 19 16 21   1 19 17 33   1 19 18 37   1 19 19 40   1 19 20 18
1 19 21 46   1 19 22 10   1 19 23 22   1 19 24 14   1 19 25 36
1 20 1 40   1 20 2 32   1 20 3 26   1 20 4 30   1 20 5 42
1 20 6 40   1 20 7 26   1 20 8 26   1 20 9 7   1 20 10 35
1 20 11 14   1 20 12 49   1 20 13 47   1 20 14 22   1 20 15 47
1 20 16 47   1 20 17 37   1 20 18 42   1 20 19 41   1 20 20 25
1 20 21 41   1 20 22 10   1 20 23 16   1 20 24 34   1 20 25 25
1 21 1 37   1 21 2 9   1 21 3 37   1 21 4 49   1 21 5 12
1 21 6 42   1 21 7 25   1 21 8 12   1 21 9 29   1 21 10 48
1 21 11 40   1 21 12 39   1 21 13 40   1 21 14 19   1 21 15 24
1 21 16 43   1 21 17 9   1 21 18 5   1 21 19 5   1 21 20 27
1 21 21 35   1 21 22 49   1 21 23 6   1 21 24 21   1 21 25 43
1 22 1 42   1 22 2 13   1 22 3 36   1 22 4 7   1 22 5 39
1 22 6 34   1 22 7 28   1 22 8 45   1 22 9 31   1 22 10 41
1 22 11 24   1 22 12 39   1 22 13 5   1 22 14 32   1 22 15 34
1 22 16 49   1 22 17 46   1 22 18 36   1 22 19 14   1 22 20 27
1 22 21 19   1 22 22 41   1 22 23 9   1 22 24 7   1 22 25 29
1 23 1 25   1 23 2 32   1 23 3 28   1 23 4 22   1 23 5 11
1 23 6 32   1 23 7 48   1 23 8 30   1 23 9 34   1 23 10 28
1 23 11 36   1 23 12 32   1 23 13 26   1 23 14 14   1 23 15 39
1 23 16 48   1 23 17 31   1 23 18 23   1 23 19 26   1 23 20 17
1 23 21 42   1 23 22 49   1 23 23 10   1 23 24 24   1 23 25 33
1 24 1 48   1 24 2 46   1 24 3 22   1 24 4 11   1 24 5 13
1 24 6 20   1 24 7 35   1 24 8 10   1 24 9 13   1 24 10 40
1 24 11 41   1 24 12 9   1 24 13 16   1 24 14 44   1 24 15 9
1 24 16 33   1 24 17 38   1 24 18 22   1 24 19 21   1 24 20 38
1 24 21 18   1 24 22 38   1 24 23 23   1 24 24 25   1 24 25 13
1 25 1 31   1 25 2 9   1 25 3 23   1 25 4 32   1 25 5 33
1 25 6 47   1 25 7 35   1 25 8 45   1 25 9 32   1 25 10 19
1 25 11 31   1 25 12 37   1 25 13 11   1 25 14 10   1 25 15 27
1 25 16 37   1 25 17 43   1 25 18 28   1 25 19 35   1 25 20 38
1 25 21 21   1 25 22 25   1 25 23 31   1 25 24 19   1 25 25 37
1 26 1 46   1 26 2 12   1 26 3 47   1 26 4 34   1 26 5 36
1 26 6 40   1 26 7 5   1 26 8 28   1 26 9 11   1 26 10 43
1 26 11 38   1 26 12 20   1 26 13 40   1 26 14 9   1 26 15 25
1 26 16 20   1 26 17 23   1 26 18 32   1 26 19 37   1 26 20 8
1 26 21 27   1 26 22 50   1 26 23 42   1 26 24 8   1 26 25 36
1 27 1 11   1 27 2 19   1 27 3 16   1 27 4 16   1 27 5 19
1 27 6 39   1 27 7 5   1 27 8 17   1 27 9 6   1 27 10 40
1 27 11 5   1 27 12 49   1 27 13 31   1 27 14 17   1 27 15 8
1 27 16 40   1 27 17 20   1 27 18 44   1 27 19 37   1 27 20 10
1 27 21 44   1 27 22 15   1 27 23 33   1 27 24 27   1 27 25 7
1 28 1 5   1 28 2 9   1 28 3 12   1 28 4 41   1 28 5 8
1 28 6 26   1 28 7 29   1 28 8 8   1 28 9 33   1 28 10 29
