param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1     0.9
3   0.2     0.8
4   0.3     0.7
5   0.4     0.6
6   0.5     0.5
7   0.6     0.4
8   0.7     0.3
9   0.8     0.2
10   0.9     0.1
11  0.99999 0.00001
;

set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set O := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param cost :=
# p m o cost
1 1 1 42   1 1 2 16   1 1 3 20   1 1 4 26   1 1 5 16
1 1 6 22   1 1 7 19   1 1 8 21   1 1 9 24   1 1 10 26
1 1 11 20   1 1 12 41   1 1 13 45   1 1 14 28   1 1 15 19
1 2 1 39   1 2 2 24   1 2 3 12   1 2 4 27   1 2 5 10
1 2 6 35   1 2 7 27   1 2 8 43   1 2 9 44   1 2 10 16
1 2 11 23   1 2 12 13   1 2 13 5   1 2 14 49   1 2 15 9
1 3 1 29   1 3 2 39   1 3 3 47   1 3 4 9   1 3 5 43
1 3 6 22   1 3 7 14   1 3 8 22   1 3 9 46   1 3 10 25
1 3 11 30   1 3 12 46   1 3 13 39   1 3 14 42   1 3 15 7
1 4 1 32   1 4 2 7   1 4 3 8   1 4 4 19   1 4 5 25
1 4 6 21   1 4 7 46   1 4 8 43   1 4 9 46   1 4 10 21
1 4 11 10   1 4 12 39   1 4 13 34   1 4 14 25   1 4 15 40
1 5 1 31   1 5 2 10   1 5 3 30   1 5 4 40   1 5 5 30
1 5 6 27   1 5 7 36   1 5 8 45   1 5 9 7   1 5 10 48
1 5 11 19   1 5 12 30   1 5 13 7   1 5 14 20   1 5 15 47
1 6 1 23   1 6 2 49   1 6 3 21   1 6 4 31   1 6 5 29
1 6 6 20   1 6 7 16   1 6 8 45   1 6 9 15   1 6 10 47
1 6 11 13   1 6 12 39   1 6 13 12   1 6 14 47   1 6 15 16
1 7 1 44   1 7 2 12   1 7 3 26   1 7 4 42   1 7 5 33
1 7 6 45   1 7 7 37   1 7 8 44   1 7 9 11   1 7 10 31
1 7 11 5   1 7 12 30   1 7 13 38   1 7 14 15   1 7 15 40
1 8 1 12   1 8 2 21   1 8 3 46   1 8 4 31   1 8 5 5
1 8 6 23   1 8 7 20   1 8 8 33   1 8 9 47   1 8 10 7
1 8 11 13   1 8 12 49   1 8 13 9   1 8 14 39   1 8 15 34
1 9 1 9   1 9 2 29   1 9 3 11   1 9 4 40   1 9 5 25
