solucion,job,operacion,maquina_asignada,costo,tiempo
1,1,1,2,20.00,173.00
1,1,2,3,20.00,186.00
1,1,3,1,9.00,97.00
1,2,1,1,18.00,95.00
1,2,2,3,20.00,94.00
1,2,3,3,12.00,53.00
1,3,1,1,5.00,155.00
1,3,2,3,21.00,28.00
1,3,3,3,8.00,178.00
1,4,1,2,9.00,39.00
1,4,2,2,16.00,161.00
1,4,3,1,15.00,16.00
2,1,1,1,29.00,119.00
2,1,2,2,30.00,70.00
2,1,3,3,32.00,44.00
2,2,1,1,18.00,95.00
2,2,2,3,20.00,94.00
2,2,3,1,33.00,13.00
2,3,1,3,43.00,148.00
2,3,2,1,43.00,14.00
2,3,3,2,40.00,78.00
2,4,1,1,16.00,30.00
2,4,2,1,50.00,45.00
2,4,3,1,15.00,16.00
3,1,1,2,20.00,173.00
3,1,2,2,30.00,70.00
3,1,3,1,9.00,97.00
3,2,1,1,18.00,95.00
3,2,2,3,20.00,94.00
3,2,3,3,12.00,53.00
3,3,1,1,5.00,155.00
3,3,2,3,21.00,28.00
3,3,3,3,8.00,178.00
3,4,1,2,9.00,39.00
3,4,2,2,16.00,161.00
3,4,3,1,15.00,16.00
4,1,1,2,20.00,173.00
4,1,2,3,20.00,186.00
4,1,3,1,9.00,97.00
4,2,1,1,18.00,95.00
4,2,2,3,20.00,94.00
4,2,3,3,12.00,53.00
4,3,1,1,5.00,155.00
4,3,2,3,21.00,28.00
4,3,3,3,8.00,178.00
4,4,1,2,9.00,39.00
4,4,2,2,16.00,161.00
4,4,3,1,15.00,16.00
5,1,1,1,29.00,119.00
5,1,2,2,30.00,70.00
5,1,3,3,32.00,44.00
5,2,1,1,18.00,95.00
5,2,2,3,20.00,94.00
5,2,3,1,33.00,13.00
5,3,1,3,43.00,148.00
5,3,2,1,43.00,14.00
5,3,3,2,40.00,78.00
5,4,1,1,16.00,30.00
5,4,2,1,50.00,45.00
5,4,3,1,15.00,16.00
6,1,1,2,20.00,173.00
6,1,2,2,30.00,70.00
6,1,3,1,9.00,97.00
6,2,1,1,18.00,95.00
6,2,2,3,20.00,94.00
6,2,3,3,12.00,53.00
6,3,1,1,5.00,155.00
6,3,2,3,21.00,28.00
6,3,3,3,8.00,178.00
6,4,1,2,9.00,39.00
6,4,2,2,16.00,161.00
