# FRENTE DE PARETO - 80 soluciones optimas
# Instancia: instancia_basica
# Dimensiones: 4 Jobs, 3 Maquinas, 3 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=35.450
solucion,costo_total,tiempo_total,crowding_distance
1,173.00,1275.00,0.000000
2,369.00,766.00,0.000000
3,183.00,1159.00,0.000000
4,173.00,1275.00,0.000000
5,369.00,766.00,0.000000
6,183.00,1159.00,0.000000
7,173.00,1275.00,0.026698
8,369.00,766.00,0.000000
9,183.00,1159.00,0.000000
10,173.00,1275.00,0.000000
11,290.00,808.00,0.048690
12,369.00,766.00,0.096939
13,246.00,901.00,0.076004
14,182.00,1221.00,0.112761
15,233.00,977.00,0.058719
16,212.00,1017.00,0.076004
17,267.00,861.00,0.039864
18,199.00,1096.00,0.063234
19,324.00,782.00,0.069875
20,288.00,827.00,0.041638
21,265.00,880.00,0.034176
22,225.00,1004.00,0.020819
23,219.00,1008.00,0.042400
24,253.00,892.00,0.058689
25,180.00,1266.00,0.076004
26,234.00,950.00,0.053997
27,190.00,1150.00,0.074230
28,331.00,773.00,0.130513
29,224.00,1005.00,0.019235
30,183.00,1159.00,0.008841
31,203.00,1071.00,0.061460
32,210.00,1062.00,0.076004
33,309.00,787.00,0.071649
34,264.00,888.00,0.042400
35,226.00,989.00,0.046931
36,304.00,803.00,0.044174
37,271.00,855.00,0.026698
38,274.00,852.00,0.026698
39,299.00,806.00,0.040626
40,194.00,1112.00,0.076004
41,243.00,948.00,0.029439
42,278.00,846.00,0.031800
43,283.00,843.00,0.026302
44,244.00,946.00,0.053822
45,286.00,840.00,0.028472
46,369.00,766.00,100000000000000.000000
47,180.00,1266.00,0.076004
48,224.00,1005.00,0.045933
49,267.00,861.00,0.068336
50,309.00,787.00,0.054173
51,246.00,901.00,0.186741
52,324.00,782.00,0.112275
53,246.00,901.00,0.186741
54,281.00,836.00,0.042400
55,324.00,782.00,0.112275
56,183.00,1159.00,0.090153
57,309.00,787.00,0.054173
58,246.00,901.00,0.186741
59,302.00,796.00,0.069875
60,288.00,827.00,0.041638
61,246.00,901.00,0.186741
62,212.00,1017.00,0.121938
63,331.00,773.00,0.132287
64,225.00,1004.00,0.072631
65,269.00,848.00,0.183162
66,212.00,1017.00,0.121938
67,203.00,1071.00,0.215243
68,269.00,848.00,0.183162
69,210.00,1062.00,0.076004
70,212.00,1017.00,0.121938
71,225.00,1004.00,0.072631
72,253.00,892.00,0.042400
73,173.00,1275.00,100000000000000.000000
74,264.00,888.00,0.026698
75,210.00,1062.00,0.076004
76,180.00,1266.00,0.076004
77,203.00,1071.00,0.215243
78,297.00,799.00,0.132713
79,241.00,941.00,0.076004
80,302.00,796.00,0.069875
