solucion,job,operacion,maquina_asignada,costo,tiempo
1,1,1,16,26.00,22.00
1,1,2,15,7.00,55.00
1,1,3,19,14.00,19.00
1,1,4,4,7.00,14.00
1,1,5,7,14.00,86.00
1,1,6,8,19.00,52.00
1,1,7,4,28.00,58.00
1,1,8,12,22.00,70.00
1,1,9,10,5.00,55.00
1,1,10,4,10.00,111.00
1,1,11,15,24.00,21.00
1,1,12,5,39.00,19.00
1,1,13,16,6.00,31.00
1,1,14,4,39.00,30.00
1,1,15,4,10.00,51.00
1,1,16,13,12.00,34.00
1,1,17,3,5.00,132.00
1,1,18,4,21.00,23.00
1,1,19,13,6.00,90.00
1,1,20,1,10.00,33.00
1,2,1,13,7.00,19.00
1,2,2,13,18.00,15.00
1,2,3,17,12.00,22.00
1,2,4,16,6.00,14.00
1,2,5,13,5.00,13.00
1,2,6,20,36.00,33.00
1,2,7,5,44.00,122.00
1,2,8,17,19.00,15.00
1,2,9,6,6.00,56.00
1,2,10,2,7.00,16.00
1,2,11,16,22.00,38.00
1,2,12,1,37.00,16.00
1,2,13,10,11.00,35.00
1,2,14,4,18.00,25.00
1,2,15,6,11.00,60.00
1,2,16,13,6.00,40.00
1,2,17,9,9.00,29.00
1,2,18,17,47.00,49.00
1,2,19,14,11.00,35.00
1,2,20,1,13.00,36.00
1,3,1,10,15.00,32.00
1,3,2,16,10.00,38.00
1,3,3,10,19.00,40.00
1,3,4,3,19.00,13.00
1,3,5,3,6.00,21.00
1,3,6,18,26.00,17.00
1,3,7,13,15.00,57.00
1,3,8,20,5.00,26.00
1,3,9,5,31.00,26.00
1,3,10,12,21.00,15.00
1,3,11,19,6.00,24.00
1,3,12,12,7.00,27.00
1,3,13,12,17.00,13.00
1,3,14,2,12.00,19.00
1,3,15,18,8.00,158.00
1,3,16,8,31.00,16.00
1,3,17,20,11.00,48.00
1,3,18,16,6.00,81.00
1,3,19,6,22.00,40.00
1,3,20,4,11.00,35.00
1,4,1,17,13.00,61.00
1,4,2,8,38.00,44.00
1,4,3,1,17.00,10.00
1,4,4,20,11.00,42.00
1,4,5,7,21.00,28.00
1,4,6,18,13.00,83.00
1,4,7,20,5.00,44.00
1,4,8,12,12.00,76.00
1,4,9,15,5.00,61.00
1,4,10,20,36.00,24.00
1,4,11,7,13.00,25.00
1,4,12,20,14.00,14.00
1,4,13,20,9.00,59.00
1,4,14,20,8.00,42.00
1,4,15,12,7.00,38.00
1,4,16,13,17.00,35.00
1,4,17,20,12.00,10.00
1,4,18,4,24.00,16.00
1,4,19,8,13.00,30.00
1,4,20,6,18.00,28.00
1,5,1,3,14.00,64.00
1,5,2,19,9.00,54.00
1,5,3,13,44.00,66.00
1,5,4,18,33.00,16.00
1,5,5,11,45.00,34.00
1,5,6,1,12.00,43.00
1,5,7,15,28.00,41.00
1,5,8,13,5.00,34.00
1,5,9,20,22.00,70.00
1,5,10,6,17.00,32.00
1,5,11,7,11.00,16.00
1,5,12,5,38.00,15.00
1,5,13,9,7.00,43.00
1,5,14,4,7.00,57.00
1,5,15,10,16.00,15.00
1,5,16,7,7.00,95.00
1,5,17,15,14.00,19.00
1,5,18,3,10.00,35.00
1,5,19,9,39.00,63.00
1,5,20,9,11.00,25.00
1,6,1,12,23.00,74.00
1,6,2,4,8.00,13.00
1,6,3,18,16.00,83.00
