# FRENTE DE PARETO - 41 soluciones optimas
# Instancia: instancia_gigante
# Dimensiones: 50 Jobs, 20 Maquinas, 20 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=298.132
solucion,costo_total,tiempo_total,crowding_distance
1,15116.00,43779.00,0.015358
2,15551.00,43354.00,0.073710
3,12668.00,52280.00,0.042059
4,15058.00,44043.00,0.024714
5,12528.00,53040.00,0.041234
6,14236.00,45078.00,0.065602
7,15268.00,43553.00,0.066705
8,12720.00,50653.00,0.064958
9,12958.00,50115.00,0.049951
10,15631.00,43010.00,0.060639
11,15088.00,43811.00,0.012020
12,13502.00,47453.00,0.055757
13,14219.00,45539.00,0.054286
14,13621.00,46745.00,0.073342
15,15166.00,43608.00,0.020791
16,13091.00,49011.00,0.059947
17,12482.00,56816.00,100000000000000.000000
18,13901.00,46360.00,0.052491
19,14872.00,44192.00,0.053871
20,15821.00,42787.00,100000000000000.000000
21,13159.00,48640.00,0.057727
22,12620.00,52689.00,0.030315
23,13784.00,46580.00,0.044729
24,12695.00,51711.00,0.065774
25,12827.00,50443.00,0.054814
26,13305.00,47945.00,0.024439
27,15162.00,43691.00,0.013582
28,14597.00,44289.00,0.080189
29,14515.00,44942.00,0.082178
30,13030.00,49780.00,0.040619
31,14927.00,44164.00,0.014524
32,13361.00,47840.00,0.034331
33,13874.00,46553.00,0.025361
34,13028.00,49886.00,0.022721
35,14939.00,44066.00,0.023929
36,12526.00,53451.00,0.141467
37,13293.00,48240.00,0.046633
38,15080.00,43965.00,0.012761
39,13465.00,47654.00,0.034907
40,14002.00,45618.00,0.076880
41,12645.00,52681.00,0.021765
