solucion,job,operacion,maquina_asignada,costo,tiempo
1,1,1,9,19.00,42.00
1,1,2,14,7.00,19.00
1,1,3,5,6.00,62.00
1,1,4,10,10.00,61.00
1,1,5,12,5.00,69.00
1,1,6,6,6.00,92.00
1,1,7,13,8.00,19.00
1,1,8,10,18.00,19.00
1,1,9,4,9.00,54.00
1,1,10,12,7.00,10.00
1,1,11,15,5.00,156.00
1,1,12,15,8.00,38.00
1,1,13,12,11.00,78.00
1,1,14,1,11.00,19.00
1,1,15,7,33.00,49.00
1,2,1,11,9.00,21.00
1,2,2,1,5.00,85.00
1,2,3,6,8.00,75.00
1,2,4,15,13.00,94.00
1,2,5,13,23.00,36.00
1,2,6,7,9.00,28.00
1,2,7,13,19.00,15.00
1,2,8,2,12.00,74.00
1,2,9,8,7.00,23.00
1,2,10,2,7.00,26.00
1,2,11,11,13.00,96.00
1,2,12,1,6.00,52.00
1,2,13,14,18.00,29.00
1,2,14,3,7.00,77.00
1,2,15,13,6.00,62.00
1,3,1,1,9.00,24.00
1,3,2,11,21.00,18.00
1,3,3,8,8.00,10.00
1,3,4,3,5.00,91.00
1,3,5,11,7.00,62.00
1,3,6,11,7.00,23.00
1,3,7,14,24.00,18.00
1,3,8,3,11.00,24.00
1,3,9,14,21.00,45.00
1,3,10,14,5.00,95.00
1,3,11,12,8.00,47.00
1,3,12,9,15.00,54.00
1,3,13,1,8.00,64.00
1,3,14,4,7.00,33.00
1,3,15,10,7.00,15.00
1,4,1,2,6.00,101.00
1,4,2,9,5.00,96.00
1,4,3,15,8.00,14.00
1,4,4,2,14.00,21.00
1,4,5,10,7.00,35.00
1,4,6,7,6.00,29.00
1,4,7,10,6.00,37.00
1,4,8,3,11.00,43.00
1,4,9,14,23.00,18.00
1,4,10,13,11.00,20.00
1,4,11,3,5.00,50.00
1,4,12,14,6.00,74.00
1,4,13,6,15.00,22.00
1,4,14,14,7.00,11.00
1,4,15,13,5.00,25.00
1,5,1,9,10.00,27.00
1,5,2,7,5.00,63.00
1,5,3,12,7.00,62.00
1,5,4,12,7.00,63.00
1,5,5,14,6.00,11.00
1,5,6,15,11.00,30.00
1,5,7,13,8.00,45.00
1,5,8,9,6.00,67.00
1,5,9,2,9.00,66.00
1,5,10,4,6.00,70.00
1,5,11,15,11.00,11.00
1,5,12,8,5.00,42.00
1,5,13,5,9.00,88.00
1,5,14,11,12.00,15.00
1,5,15,15,8.00,80.00
1,6,1,5,11.00,65.00
1,6,2,10,10.00,80.00
1,6,3,10,6.00,25.00
1,6,4,8,18.00,14.00
1,6,5,12,17.00,17.00
1,6,6,13,20.00,14.00
1,6,7,2,16.00,19.00
1,6,8,5,8.00,18.00
1,6,9,11,13.00,48.00
1,6,10,7,12.00,23.00
1,6,11,3,5.00,71.00
1,6,12,14,8.00,80.00
1,6,13,10,16.00,17.00
1,6,14,1,19.00,53.00
1,6,15,5,10.00,32.00
1,7,1,12,10.00,22.00
1,7,2,12,9.00,76.00
1,7,3,2,8.00,86.00
1,7,4,8,13.00,81.00
1,7,5,5,7.00,35.00
1,7,6,14,6.00,63.00
1,7,7,14,13.00,79.00
1,7,8,2,6.00,91.00
1,7,9,11,16.00,16.00
1,7,10,5,6.00,32.00
1,7,11,4,5.00,61.00
1,7,12,4,33.00,16.00
1,7,13,12,5.00,20.00
1,7,14,6,12.00,64.00
1,7,15,5,9.00,43.00
1,8,1,8,19.00,47.00
1,8,2,2,24.00,16.00
1,8,3,1,8.00,15.00
1,8,4,14,11.00,60.00
1,8,5,13,11.00,73.00
1,8,6,11,13.00,18.00
1,8,7,15,5.00,64.00
1,8,8,3,11.00,13.00
1,8,9,13,8.00,127.00
1,8,10,6,8.00,28.00
1,8,11,8,5.00,52.00
1,8,12,13,5.00,18.00
1,8,13,8,17.00,63.00
1,8,14,2,7.00,50.00
1,8,15,12,7.00,61.00
1,9,1,14,13.00,11.00
1,9,2,15,9.00,37.00
1,9,3,11,27.00,11.00
1,9,4,6,5.00,62.00
1,9,5,2,7.00,57.00
1,9,6,12,8.00,14.00
1,9,7,8,6.00,91.00
1,9,8,3,11.00,75.00
1,9,9,15,6.00,18.00
1,9,10,4,9.00,71.00
1,9,11,2,8.00,17.00
1,9,12,9,8.00,11.00
1,9,13,3,11.00,31.00
1,9,14,5,20.00,47.00
1,9,15,9,9.00,39.00
1,10,1,15,12.00,40.00
1,10,2,8,18.00,40.00
1,10,3,4,17.00,22.00
1,10,4,14,9.00,35.00
1,10,5,15,11.00,38.00
1,10,6,15,5.00,54.00
1,10,7,1,9.00,124.00
1,10,8,3,5.00,48.00
1,10,9,8,7.00,87.00
1,10,10,8,15.00,22.00
1,10,11,11,29.00,11.00
1,10,12,9,11.00,17.00
1,10,13,14,14.00,12.00
1,10,14,15,8.00,49.00
1,10,15,5,14.00,190.00
1,11,1,7,5.00,115.00
1,11,2,15,10.00,27.00
1,11,3,6,7.00,10.00
1,11,4,5,10.00,43.00
1,11,5,5,9.00,68.00
1,11,6,11,10.00,101.00
1,11,7,12,5.00,48.00
1,11,8,14,6.00,15.00
1,11,9,1,13.00,63.00
1,11,10,10,6.00,38.00
1,11,11,6,20.00,24.00
1,11,12,4,12.00,24.00
1,11,13,10,26.00,20.00
1,11,14,7,12.00,10.00
1,11,15,8,5.00,90.00
1,12,1,10,15.00,30.00
1,12,2,14,13.00,45.00
1,12,3,1,8.00,64.00
1,12,4,3,19.00,60.00
1,12,5,8,9.00,28.00
1,12,6,2,5.00,102.00
1,12,7,2,10.00,131.00
1,12,8,9,8.00,39.00
1,12,9,13,6.00,181.00
1,12,10,11,5.00,182.00
1,12,11,6,6.00,67.00
1,12,12,7,6.00,54.00
1,12,13,15,8.00,18.00
1,12,14,3,6.00,17.00
1,12,15,11,6.00,24.00
1,13,1,11,20.00,26.00
1,13,2,4,6.00,60.00
1,13,3,4,5.00,99.00
1,13,4,5,7.00,45.00
1,13,5,9,5.00,137.00
1,13,6,2,16.00,29.00
1,13,7,2,5.00,67.00
1,13,8,9,8.00,12.00
1,13,9,12,5.00,66.00
1,13,10,12,5.00,131.00
1,13,11,14,18.00,93.00
1,13,12,7,11.00,40.00
1,13,13,9,9.00,113.00
1,13,14,7,7.00,34.00
1,13,15,9,11.00,68.00
1,14,1,9,9.00,75.00
1,14,2,1,22.00,24.00
1,14,3,7,9.00,47.00
1,14,4,13,8.00,32.00
1,14,5,9,17.00,61.00
1,14,6,9,10.00,25.00
1,14,7,13,5.00,34.00
1,14,8,7,6.00,72.00
1,14,9,2,16.00,45.00
1,14,10,7,6.00,16.00
1,14,11,8,18.00,16.00
1,14,12,2,24.00,36.00
1,14,13,13,14.00,16.00
1,14,14,13,7.00,79.00
1,14,15,8,11.00,100.00
1,15,1,1,10.00,22.00
1,15,2,7,8.00,107.00
1,15,3,15,12.00,52.00
1,15,4,11,7.00,99.00
1,15,5,7,16.00,49.00
1,15,6,3,15.00,65.00
1,15,7,5,10.00,22.00
1,15,8,12,10.00,13.00
1,15,9,2,6.00,67.00
1,15,10,11,18.00,12.00
1,15,11,9,12.00,64.00
1,15,12,3,5.00,85.00
1,15,13,3,9.00,22.00
1,15,14,7,6.00,89.00
1,15,15,13,11.00,22.00
1,16,1,14,9.00,20.00
1,16,2,5,14.00,26.00
1,16,3,15,6.00,67.00
1,16,4,15,7.00,65.00
1,16,5,4,11.00,36.00
1,16,6,15,9.00,23.00
1,16,7,14,10.00,25.00
1,16,8,1,18.00,45.00
1,16,9,1,31.00,11.00
1,16,10,3,7.00,54.00
1,16,11,11,6.00,92.00
1,16,12,1,19.00,43.00
1,16,13,10,10.00,26.00
1,16,14,13,11.00,16.00
1,16,15,15,5.00,38.00
1,17,1,12,8.00,42.00
1,17,2,11,10.00,21.00
1,17,3,2,18.00,15.00
1,17,4,6,9.00,55.00
1,17,5,1,11.00,62.00
1,17,6,12,5.00,98.00
1,17,7,15,12.00,13.00
1,17,8,11,8.00,22.00
1,17,9,13,7.00,14.00
1,17,10,5,5.00,31.00
1,17,11,6,30.00,30.00
1,17,12,13,10.00,34.00
1,17,13,10,5.00,16.00
1,17,14,3,21.00,11.00
1,17,15,7,5.00,111.00
1,18,1,12,19.00,31.00
1,18,2,10,5.00,18.00
1,18,3,4,6.00,92.00
1,18,4,14,7.00,46.00
1,18,5,5,6.00,55.00
1,18,6,1,21.00,18.00
1,18,7,3,14.00,36.00
1,18,8,8,7.00,51.00
1,18,9,11,9.00,62.00
1,18,10,10,9.00,74.00
1,18,11,9,11.00,36.00
1,18,12,15,10.00,31.00
1,18,13,10,27.00,52.00
1,18,14,5,42.00,23.00
1,18,15,2,7.00,41.00
1,19,1,4,14.00,66.00
1,19,2,1,15.00,12.00
1,19,3,11,6.00,47.00
1,19,4,13,11.00,41.00
1,19,5,10,5.00,14.00
1,19,6,10,7.00,79.00
1,19,7,1,6.00,27.00
1,19,8,8,7.00,66.00
1,19,9,8,11.00,28.00
1,19,10,5,6.00,82.00
1,19,11,13,11.00,50.00
1,19,12,13,12.00,66.00
1,19,13,6,13.00,40.00
1,19,14,5,11.00,97.00
1,19,15,6,6.00,40.00
1,20,1,1,6.00,66.00
1,20,2,8,5.00,13.00
1,20,3,7,7.00,101.00
1,20,4,9,6.00,29.00
1,20,5,4,10.00,69.00
1,20,6,8,10.00,48.00
1,20,7,7,6.00,14.00
