# FRENTE DE PARETO - 168 soluciones optimas
# Instancia: instancia_grande
# Dimensiones: 30 Jobs, 15 Maquinas, 15 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=161.894
solucion,costo_total,tiempo_total,crowding_distance
1,4754.00,22088.00,0.009658
2,4500.00,24508.00,0.007110
3,4838.00,21501.00,0.017181
4,4747.00,22177.00,0.011757
5,5884.00,16844.00,0.016212
6,4558.00,23593.00,0.027800
7,4977.00,20557.00,0.010680
8,5788.00,17255.00,0.013071
9,4896.00,21120.00,0.018025
10,5966.00,16719.00,0.016342
11,6866.00,15278.00,0.023807
12,5289.00,19112.00,0.005946
13,4972.00,20593.00,0.002810
14,5555.00,18077.00,0.009621
15,6738.00,15389.00,0.030319
16,4907.00,21100.00,0.004071
17,4778.00,21840.00,0.008237
18,5349.00,18670.00,0.021276
19,5721.00,17445.00,0.004713
20,6451.00,15851.00,0.004345
21,5509.00,18166.00,0.005848
22,4627.00,23129.00,0.006563
23,6146.00,16419.00,0.007661
24,6420.00,15893.00,0.012213
25,4938.00,20722.00,0.014331
26,5662.00,17655.00,0.011001
27,6390.00,15906.00,0.023141
28,4623.00,23167.00,0.010936
29,6178.00,16355.00,0.008605
30,4731.00,22234.00,0.008527
31,4723.00,22253.00,0.004059
32,5126.00,19883.00,0.007167
33,5644.00,17731.00,0.014856
34,6289.00,16049.00,0.018420
35,5032.00,20213.00,0.006126
36,4849.00,21231.00,0.030277
37,4589.00,23197.00,0.015449
38,5292.00,19096.00,0.007470
39,5108.00,19904.00,0.006717
40,6179.00,16224.00,0.013587
41,5018.00,20368.00,0.016886
42,5226.00,19266.00,0.011741
43,5311.00,18817.00,0.026198
44,4761.00,21900.00,0.013060
45,5163.00,19688.00,0.008106
46,5187.00,19501.00,0.007102
47,6232.00,16077.00,0.023619
48,4635.00,23075.00,0.001486
49,5716.00,17468.00,0.006722
50,6159.00,16379.00,0.007555
51,5294.00,18980.00,0.017475
52,5135.00,19868.00,0.003863
53,5472.00,18244.00,0.003793
54,4691.00,22568.00,0.007629
55,6315.00,16040.00,0.010715
56,5143.00,19749.00,0.005182
57,4793.00,21621.00,0.016319
58,4477.00,24767.00,0.019428
59,5830.00,17081.00,0.016327
60,6444.00,15860.00,0.002687
61,6015.00,16595.00,0.018029
62,5847.00,17050.00,0.011446
63,5041.00,20157.00,0.009491
64,5423.00,18538.00,0.014224
65,4649.00,22818.00,0.018679
66,5139.00,19773.00,0.006106
67,6626.00,15478.00,0.040598
68,4493.00,24528.00,0.017295
69,4943.00,20639.00,0.011798
70,4446.00,25394.00,100000000000000.000000
71,4909.00,21090.00,0.001683
72,5801.00,17239.00,0.005525
73,4914.00,21032.00,0.006686
74,5756.00,17322.00,0.014831
75,5707.00,17525.00,0.009895
76,5529.00,18086.00,0.011438
77,5873.00,17023.00,0.013268
78,5460.00,18364.00,0.008192
79,5481.00,18237.00,0.006611
80,5514.00,18143.00,0.007922
81,6836.00,15339.00,0.014855
82,5605.00,17890.00,0.009899
83,4461.00,24867.00,0.032419
84,5409.00,18564.00,0.014807
85,6851.00,15294.00,0.004529
86,5732.00,17329.00,0.010446
87,5464.00,18245.00,0.005873
88,5462.00,18323.00,0.006633
89,6071.00,16496.00,0.018580
90,5730.00,17429.00,0.007886
91,6849.00,15301.00,0.005207
92,6559.00,15627.00,0.017146
93,5096.00,20019.00,0.011536
94,5557.00,18004.00,0.009601
95,5495.00,18203.00,0.005362
96,5136.00,19845.00,0.005456
97,5238.00,19235.00,0.008351
98,5809.00,17228.00,0.013546
99,6787.00,15351.00,0.018510
100,6321.00,15961.00,0.021573
101,5052.00,20101.00,0.012182
102,4686.00,22665.00,0.002544
103,4557.00,23780.00,0.019990
104,4510.00,24402.00,0.027482
105,6441.00,15865.00,0.006419
106,6492.00,15775.00,0.013570
107,4760.00,22033.00,0.010614
108,4638.00,23064.00,0.010120
109,4634.00,23078.00,0.004247
110,6452.00,15804.00,0.004602
111,5170.00,19578.00,0.006963
