solucion,job,operacion,maquina_asignada,costo,tiempo
1,1,1,1,5.00,75.00
1,1,2,5,22.00,57.00
1,1,3,6,13.00,23.00
1,1,4,1,36.00,23.00
1,1,5,6,22.00,36.00
1,1,6,1,5.00,90.00
1,2,1,3,13.00,16.00
1,2,2,3,29.00,18.00
1,2,3,3,43.00,32.00
1,2,4,4,7.00,22.00
1,2,5,3,20.00,18.00
1,2,6,1,23.00,19.00
1,3,1,4,20.00,28.00
1,3,2,3,35.00,47.00
1,3,3,1,12.00,47.00
1,3,4,5,5.00,60.00
1,3,5,4,29.00,17.00
1,3,6,5,28.00,20.00
1,4,1,6,16.00,81.00
1,4,2,4,23.00,13.00
1,4,3,3,21.00,18.00
1,4,4,2,27.00,17.00
1,4,5,6,29.00,47.00
1,4,6,6,34.00,40.00
1,5,1,2,22.00,24.00
1,5,2,3,24.00,16.00
1,5,3,2,18.00,18.00
1,5,4,2,27.00,64.00
1,5,5,2,31.00,71.00
1,5,6,5,22.00,83.00
1,6,1,2,13.00,82.00
1,6,2,5,5.00,12.00
1,6,3,3,28.00,22.00
1,6,4,5,26.00,40.00
1,6,5,4,47.00,19.00
1,6,6,6,47.00,70.00
1,7,1,3,12.00,18.00
1,7,2,1,11.00,25.00
1,7,3,6,16.00,18.00
1,7,4,3,10.00,38.00
1,7,5,4,46.00,11.00
1,7,6,2,30.00,14.00
1,8,1,5,43.00,34.00
1,8,2,4,14.00,97.00
1,8,3,4,7.00,17.00
1,8,4,4,37.00,35.00
1,8,5,5,16.00,51.00
1,8,6,4,35.00,17.00
1,9,1,4,48.00,45.00
1,9,2,3,19.00,24.00
1,9,3,5,19.00,65.00
1,9,4,5,37.00,17.00
1,9,5,4,19.00,10.00
1,9,6,6,7.00,53.00
1,10,1,4,44.00,60.00
1,10,2,4,10.00,20.00
1,10,3,5,10.00,28.00
1,10,4,3,35.00,12.00
1,10,5,5,33.00,80.00
1,10,6,5,16.00,25.00
2,1,1,1,5.00,75.00
2,1,2,5,22.00,57.00
2,1,3,6,13.00,23.00
2,1,4,6,11.00,181.00
2,1,5,4,6.00,59.00
2,1,6,1,5.00,90.00
2,2,1,3,13.00,16.00
2,2,2,2,22.00,36.00
2,2,3,6,14.00,64.00
2,2,4,4,7.00,22.00
2,2,5,6,7.00,40.00
2,2,6,2,6.00,175.00
2,3,1,4,20.00,28.00
2,3,2,5,9.00,93.00
2,3,3,1,12.00,47.00
2,3,4,5,5.00,60.00
2,3,5,3,23.00,21.00
2,3,6,3,15.00,58.00
2,4,1,6,16.00,81.00
2,4,2,6,15.00,62.00
2,4,3,3,21.00,18.00
2,4,4,6,6.00,198.00
2,4,5,2,9.00,162.00
2,4,6,5,13.00,135.00
2,5,1,3,13.00,120.00
2,5,2,4,18.00,32.00
2,5,3,2,18.00,18.00
2,5,4,3,7.00,122.00
2,5,5,5,17.00,184.00
2,5,6,4,5.00,135.00
2,6,1,2,13.00,82.00
2,6,2,5,5.00,12.00
2,6,3,4,19.00,103.00
2,6,4,2,18.00,52.00
2,6,5,6,17.00,63.00
2,6,6,4,32.00,87.00
2,7,1,3,12.00,18.00
2,7,2,1,11.00,25.00
2,7,3,1,11.00,40.00
2,7,4,5,5.00,68.00
2,7,5,2,5.00,47.00
2,7,6,4,15.00,50.00
2,8,1,2,6.00,127.00
2,8,2,4,14.00,97.00
2,8,3,4,7.00,17.00
2,8,4,2,16.00,148.00
2,8,5,2,8.00,65.00
2,8,6,6,23.00,58.00
2,9,1,1,10.00,125.00
2,9,2,3,19.00,24.00
2,9,3,2,7.00,173.00
2,9,4,3,17.00,53.00
2,9,5,4,19.00,10.00
2,9,6,6,7.00,53.00
2,10,1,2,14.00,130.00
2,10,2,5,8.00,34.00
2,10,3,5,10.00,28.00
2,10,4,6,18.00,41.00
2,10,5,3,9.00,124.00
2,10,6,5,16.00,25.00
3,1,1,1,5.00,75.00
3,1,2,5,22.00,57.00
3,1,3,6,13.00,23.00
3,1,4,1,36.00,23.00
3,1,5,4,6.00,59.00
3,1,6,1,5.00,90.00
3,2,1,3,13.00,16.00
3,2,2,2,22.00,36.00
3,2,3,6,14.00,64.00
3,2,4,4,7.00,22.00
3,2,5,6,7.00,40.00
3,2,6,1,23.00,19.00
3,3,1,4,20.00,28.00
3,3,2,5,9.00,93.00
3,3,3,1,12.00,47.00
3,3,4,5,5.00,60.00
3,3,5,3,23.00,21.00
3,3,6,3,15.00,58.00
3,4,1,6,16.00,81.00
3,4,2,4,23.00,13.00
3,4,3,3,21.00,18.00
3,4,4,2,27.00,17.00
3,4,5,6,29.00,47.00
3,4,6,2,27.00,58.00
3,5,1,2,22.00,24.00
3,5,2,4,18.00,32.00
3,5,3,2,18.00,18.00
3,5,4,6,14.00,77.00
3,5,5,2,31.00,71.00
3,5,6,4,5.00,135.00
3,6,1,2,13.00,82.00
3,6,2,5,5.00,12.00
3,6,3,3,28.00,22.00
3,6,4,2,18.00,52.00
3,6,5,6,17.00,63.00
3,6,6,4,32.00,87.00
3,7,1,3,12.00,18.00
3,7,2,1,11.00,25.00
3,7,3,6,16.00,18.00
3,7,4,3,10.00,38.00
3,7,5,2,5.00,47.00
3,7,6,4,15.00,50.00
3,8,1,2,6.00,127.00
3,8,2,4,14.00,97.00
3,8,3,4,7.00,17.00
3,8,4,1,23.00,104.00
3,8,5,2,8.00,65.00
3,8,6,6,23.00,58.00
3,9,1,1,10.00,125.00
3,9,2,3,19.00,24.00
3,9,3,5,19.00,65.00
3,9,4,3,17.00,53.00
3,9,5,4,19.00,10.00
3,9,6,6,7.00,53.00
3,10,1,2,14.00,130.00
3,10,2,5,8.00,34.00
3,10,3,5,10.00,28.00
3,10,4,6,18.00,41.00
3,10,5,3,9.00,124.00
3,10,6,5,16.00,25.00
4,1,1,1,5.00,75.00
4,1,2,5,22.00,57.00
4,1,3,6,13.00,23.00
4,1,4,1,36.00,23.00
4,1,5,6,22.00,36.00
4,1,6,2,29.00,83.00
4,2,1,3,13.00,16.00
4,2,2,3,29.00,18.00
4,2,3,3,43.00,32.00
4,2,4,4,7.00,22.00
4,2,5,3,20.00,18.00
4,2,6,1,23.00,19.00
4,3,1,4,20.00,28.00
4,3,2,3,35.00,47.00
4,3,3,1,12.00,47.00
4,3,4,5,5.00,60.00
4,3,5,4,29.00,17.00
4,3,6,1,39.00,15.00
4,4,1,6,16.00,81.00
4,4,2,4,23.00,13.00
4,4,3,3,21.00,18.00
4,4,4,1,39.00,15.00
4,4,5,6,29.00,47.00
4,4,6,6,34.00,40.00
4,5,1,2,22.00,24.00
4,5,2,3,24.00,16.00
4,5,3,2,18.00,18.00
4,5,4,2,27.00,64.00
4,5,5,4,46.00,60.00
4,5,6,5,22.00,83.00
4,6,1,2,13.00,82.00
4,6,2,5,5.00,12.00
4,6,3,3,28.00,22.00
4,6,4,5,26.00,40.00
4,6,5,4,47.00,19.00
4,6,6,6,47.00,70.00
4,7,1,3,12.00,18.00
4,7,2,1,11.00,25.00
4,7,3,6,16.00,18.00
4,7,4,3,10.00,38.00
4,7,5,4,46.00,11.00
4,7,6,2,30.00,14.00
4,8,1,5,43.00,34.00
4,8,2,4,14.00,97.00
4,8,3,4,7.00,17.00
4,8,4,4,37.00,35.00
4,8,5,5,16.00,51.00
4,8,6,4,35.00,17.00
4,9,1,4,48.00,45.00
4,9,2,3,19.00,24.00
4,9,3,5,19.00,65.00
4,9,4,5,37.00,17.00
4,9,5,4,19.00,10.00
4,9,6,6,7.00,53.00
4,10,1,4,44.00,60.00
4,10,2,4,10.00,20.00
4,10,3,5,10.00,28.00
4,10,4,3,35.00,12.00
4,10,5,5,33.00,80.00
4,10,6,4,40.00,19.00
5,1,1,1,5.00,75.00
5,1,2,5,22.00,57.00
5,1,3,6,13.00,23.00
5,1,4,1,36.00,23.00
5,1,5,4,6.00,59.00
5,1,6,1,5.00,90.00
5,2,1,3,13.00,16.00
5,2,2,2,22.00,36.00
5,2,3,6,14.00,64.00
5,2,4,4,7.00,22.00
5,2,5,6,7.00,40.00
5,2,6,1,23.00,19.00
5,3,1,4,20.00,28.00
5,3,2,5,9.00,93.00
5,3,3,1,12.00,47.00
5,3,4,5,5.00,60.00
5,3,5,3,23.00,21.00
5,3,6,3,15.00,58.00
5,4,1,6,16.00,81.00
5,4,2,6,15.00,62.00
5,4,3,3,21.00,18.00
5,4,4,2,27.00,17.00
5,4,5,2,9.00,162.00
5,4,6,5,13.00,135.00
5,5,1,2,22.00,24.00
5,5,2,4,18.00,32.00
5,5,3,2,18.00,18.00
5,5,4,6,14.00,77.00
5,5,5,2,31.00,71.00
5,5,6,4,5.00,135.00
5,6,1,2,13.00,82.00
5,6,2,5,5.00,12.00
5,6,3,3,28.00,22.00
5,6,4,2,18.00,52.00
5,6,5,6,17.00,63.00
5,6,6,4,32.00,87.00
