# FRENTE DE PARETO - 339 soluciones optimas
# Instancia: instancia_intermedia_grande
# Dimensiones: 20 Jobs, 10 Maquinas, 20 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=147.469
solucion,costo_total,tiempo_total,crowding_distance
1,6106.00,16511.00,0.005285
2,6972.00,14551.00,0.011456
3,4438.00,25067.00,0.007677
4,4967.00,21194.00,0.002508
5,6058.00,16662.00,0.004076
6,4721.00,22692.00,0.003310
7,5133.00,20340.00,0.001973
8,4483.00,24612.00,0.005268
9,5503.00,18631.00,0.003148
10,5794.00,17490.00,0.003879
11,4829.00,22001.00,0.004688
12,6652.00,15148.00,0.006713
13,5288.00,19527.00,0.003105
14,6413.00,15698.00,0.005442
15,5646.00,17981.00,0.010791
16,5906.00,17095.00,0.006616
17,4485.00,24526.00,0.006385
18,5160.00,20192.00,0.002914
19,5475.00,18696.00,0.004469
20,6116.00,16503.00,0.002832
21,7097.00,14450.00,0.011491
22,5583.00,18293.00,0.002744
23,6192.00,16282.00,0.002670
24,6450.00,15613.00,0.003421
25,6169.00,16344.00,0.002672
26,5562.00,18337.00,0.005522
27,7236.00,14218.00,0.007400
28,5608.00,18135.00,0.009545
29,5322.00,19351.00,0.005517
30,4692.00,22912.00,0.001692
31,6527.00,15409.00,0.007848
32,4814.00,22102.00,0.003544
33,6704.00,15064.00,0.003576
34,5726.00,17714.00,0.003105
35,6659.00,15108.00,0.009712
36,5832.00,17338.00,0.010346
37,5890.00,17126.00,0.006258
38,6185.00,16295.00,0.003185
39,5266.00,19692.00,0.002095
40,6702.00,15103.00,0.002092
41,4509.00,24230.00,0.009453
42,4562.00,23889.00,0.008017
43,7118.00,14377.00,0.009585
44,4808.00,22143.00,0.004188
45,5339.00,19344.00,0.005484
46,6252.00,16112.00,0.011541
47,4670.00,23067.00,0.002217
48,6069.00,16630.00,0.007547
49,5629.00,18047.00,0.006778
50,4514.00,24068.00,0.009824
51,5429.00,18917.00,0.003294
52,6272.00,16004.00,0.013472
53,4615.00,23426.00,0.012195
54,6441.00,15653.00,0.005787
55,4737.00,22557.00,0.006194
56,6512.00,15440.00,0.006858
57,5675.00,17964.00,0.007517
58,6123.00,16416.00,0.009073
59,7293.00,14180.00,0.004395
60,6833.00,14841.00,0.007562
61,5578.00,18299.00,0.002585
62,5936.00,16944.00,0.006243
63,7175.00,14273.00,0.007953
64,6931.00,14650.00,0.009823
65,4803.00,22204.00,0.006648
66,5075.00,20643.00,0.002737
67,5217.00,19918.00,0.001777
68,6455.00,15561.00,0.005481
69,5205.00,19964.00,0.006148
70,4771.00,22369.00,0.009543
71,5083.00,20556.00,0.005905
72,4694.00,22859.00,0.004755
73,6198.00,16281.00,0.004683
74,5464.00,18801.00,0.002750
75,6755.00,14913.00,0.009706
76,4907.00,21560.00,0.004023
77,5523.00,18532.00,0.003864
78,5039.00,20778.00,0.005195
79,7018.00,14536.00,0.011538
80,5785.00,17515.00,0.004728
81,5858.00,17273.00,0.003272
82,7287.00,14186.00,0.003113
83,5748.00,17666.00,0.002673
84,5434.00,18862.00,0.003988
85,4676.00,23015.00,0.007450
86,5210.00,19940.00,0.002540
87,4693.00,22902.00,0.002451
88,6312.00,15910.00,0.008895
89,6340.00,15852.00,0.006465
90,7229.00,14259.00,0.008980
91,5241.00,19767.00,0.004792
92,7429.00,14019.00,100000000000000.000000
93,5376.00,19158.00,0.006022
94,4590.00,23559.00,0.009761
95,7356.00,14045.00,0.025335
96,5147.00,20203.00,0.006977
97,6701.00,15104.00,0.007174
98,6370.00,15809.00,0.003672
99,6745.00,14966.00,0.004153
100,6036.00,16737.00,0.004977
101,6889.00,14714.00,0.010921
102,6020.00,16819.00,0.007871
