# FRENTE DE PARETO - 512 soluciones optimas
# Instancia: instancia_intermedia
# Dimensiones: 10 Jobs, 6 Maquinas, 6 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=70.290
solucion,costo_total,tiempo_total,crowding_distance
1,1401.00,2199.00,0.007126
2,764.00,4391.00,0.007158
3,937.00,3116.00,0.004678
4,1487.00,2168.00,0.006239
5,892.00,3365.00,0.003325
6,776.00,4266.00,0.003325
7,1112.00,2608.00,0.005170
8,1433.00,2182.00,0.007238
9,1312.00,2284.00,0.004817
10,853.00,3611.00,0.004833
11,807.00,3991.00,0.003170
12,966.00,2980.00,0.005833
13,983.00,2928.00,0.003325
14,865.00,3537.00,0.003015
15,719.00,4937.00,0.007201
16,841.00,3704.00,0.003325
17,932.00,3138.00,0.005918
18,773.00,4295.00,0.006271
19,812.00,3935.00,0.006228
20,1086.00,2664.00,0.001198
21,939.00,3102.00,0.006185
22,790.00,4139.00,0.005806
23,873.00,3484.00,0.004213
24,727.00,4806.00,0.007511
25,803.00,4016.00,0.003790
26,728.00,4791.00,0.006736
27,1365.00,2234.00,0.004352
28,821.00,3862.00,0.006228
29,958.00,3014.00,0.003705
30,823.00,3848.00,0.005918
31,833.00,3754.00,0.006228
32,848.00,3642.00,0.007538
33,1051.00,2740.00,0.003325
34,929.00,3154.00,0.004945
35,965.00,2992.00,0.003325
36,780.00,4235.00,0.004368
37,1467.00,2172.00,0.006239
38,1230.00,2402.00,0.004705
39,1463.00,2174.00,0.006239
40,814.00,3921.00,0.006185
41,1059.00,2720.00,0.003507
42,766.00,4357.00,0.006228
43,927.00,3168.00,0.003325
44,1276.00,2335.00,0.004084
45,977.00,2948.00,0.003325
46,1375.00,2224.00,0.007591
47,918.00,3215.00,0.005918
48,922.00,3198.00,0.001042
49,1473.00,2171.00,0.004929
50,804.00,4012.00,0.003325
51,711.00,5107.00,0.010302
52,1021.00,2815.00,0.002438
53,1427.00,2183.00,0.007704
54,914.00,3239.00,0.003325
55,792.00,4120.00,0.003325
56,1117.00,2602.00,0.002662
57,912.00,3250.00,0.003325
58,1331.00,2267.00,0.004084
59,718.00,4950.00,0.005496
60,794.00,4106.00,0.001198
61,1369.00,2228.00,0.006014
62,908.00,3275.00,0.002860
63,1566.00,2153.00,0.007238
64,1518.00,2161.00,0.009126
65,715.00,5001.00,0.007511
66,1238.00,2390.00,0.005282
67,768.00,4343.00,0.004368
68,1008.00,2849.00,0.005945
69,878.00,3453.00,0.004678
70,757.00,4453.00,0.005341
71,1212.00,2431.00,0.003395
72,824.00,3835.00,0.003790
73,738.00,4660.00,0.003635
74,777.00,4262.00,0.003790
75,782.00,4214.00,0.006271
76,1296.00,2307.00,0.002395
77,1015.00,2831.00,0.000887
78,1352.00,2247.00,0.002395
79,941.00,3091.00,0.004945
80,906.00,3288.00,0.003325
81,861.00,3561.00,0.003325
82,1304.00,2296.00,0.003929
83,745.00,4587.00,0.003790
84,1309.00,2294.00,0.004705
85,1273.00,2336.00,0.003395
86,716.00,4986.00,0.006736
87,1045.00,2756.00,0.004549
88,837.00,3737.00,0.004213
89,1554.00,2155.00,0.009126
90,858.00,3581.00,0.004213
91,1125.00,2586.00,0.003240
92,791.00,4124.00,0.004100
93,913.00,3245.00,0.001353
94,1572.00,2152.00,100000000000000.000000
95,1177.00,2492.00,0.003395
96,746.00,4579.00,0.004721
97,1251.00,2368.00,0.003240
98,1338.00,2262.00,0.004705
99,879.00,3449.00,0.003325
100,1217.00,2426.00,0.002352
101,1039.00,2776.00,0.001155
102,793.00,4110.00,0.003325
103,855.00,3597.00,0.003325
104,742.00,4616.00,0.005961
105,1173.00,2499.00,0.002662
106,819.00,3890.00,0.004100
107,1256.00,2365.00,0.002197
108,772.00,4313.00,0.005961
109,1421.00,2187.00,0.007126
110,1393.00,2211.00,0.002395
111,713.00,5048.00,0.006736
112,1043.00,2761.00,0.004213
113,1013.00,2845.00,0.000577
114,1225.00,2414.00,0.003395
115,750.00,4532.00,0.004256
116,820.00,3877.00,0.005496
117,1138.00,2562.00,0.003240
118,741.00,4632.00,0.005806
119,778.00,4249.00,0.005918
120,795.00,4091.00,0.006228
121,950.00,3052.00,0.002972
122,1143.00,2556.00,0.002240
123,972.00,2959.00,0.005833
124,1234.00,2397.00,0.004127
125,771.00,4326.00,0.003790
126,846.00,3656.00,0.007469
127,1093.00,2646.00,0.006479
128,825.00,3831.00,0.003325
129,895.00,3346.00,0.004945
130,748.00,4552.00,0.005341
131,1243.00,2380.00,0.003395
132,1078.00,2682.00,0.002171
133,1149.00,2542.00,0.002662
134,797.00,4077.00,0.004058
135,826.00,3821.00,0.003325
136,1123.00,2593.00,0.003240
137,726.00,4832.00,0.007201
138,842.00,3695.00,0.003325
139,734.00,4711.00,0.006736
140,988.00,2920.00,0.004480
141,1015.00,2831.00,0.002620
142,859.00,3576.00,0.003325
143,759.00,4436.00,0.004256
144,971.00,2972.00,0.003325
145,953.00,3033.00,0.006185
146,1326.00,2269.00,0.004084
147,1172.00,2502.00,0.002507
148,1063.00,2718.00,0.003325
149,1140.00,2558.00,0.003085
150,769.00,4340.00,0.003170
151,1347.00,2248.00,0.004084
152,1281.00,2324.00,0.003395
153,1530.00,2159.00,0.007238
154,946.00,3069.00,0.002593
155,1205.00,2445.00,0.003395
156,809.00,3977.00,0.003325
157,944.00,3083.00,0.001620
158,1106.00,2622.00,0.003240
159,1056.00,2736.00,0.000000
160,829.00,3804.00,0.004213
161,1393.00,2211.00,0.003042
162,1067.00,2702.00,0.002620
163,816.00,3910.00,0.004213
164,1210.00,2438.00,0.003085
165,946.00,3069.00,0.003325
166,883.00,3423.00,0.004213
167,743.00,4601.00,0.004256
168,1049.00,2754.00,0.003507
169,1341.00,2252.00,0.004817
170,998.00,2883.00,0.002438
171,1028.00,2797.00,0.004790
172,1222.00,2416.00,0.003352
173,1072.00,2698.00,0.000310
174,1169.00,2506.00,0.002240
175,1006.00,2863.00,0.004213
176,959.00,3013.00,0.003325
177,876.00,3468.00,0.003480
178,991.00,2901.00,0.006565
179,867.00,3523.00,0.003325
180,1195.00,2460.00,0.003395
181,1198.00,2456.00,0.003395
182,1280.00,2330.00,0.002395
183,1190.00,2468.00,0.002662
184,909.00,3269.00,0.002860
185,917.00,3228.00,0.004213
186,1406.00,2198.00,0.006282
187,1052.00,2738.00,0.000887
188,1153.00,2535.00,0.002507
189,749.00,4537.00,0.004256
190,1151.00,2540.00,0.002352
191,931.00,3151.00,0.004213
192,827.00,3817.00,0.004368
193,943.00,3085.00,0.002972
194,1388.00,2212.00,0.004084
195,754.00,4491.00,0.003325
196,911.00,3259.00,0.003325
197,1524.00,2160.00,0.007238
198,922.00,3198.00,0.001930
199,1128.00,2582.00,0.003395
200,1036.00,2779.00,0.000887
201,722.00,4875.00,0.006736
202,1284.00,2323.00,0.004084
203,885.00,3409.00,0.001353
204,1087.00,2662.00,0.002705
205,926.00,3173.00,0.002860
206,891.00,3374.00,0.003325
207,1318.00,2280.00,0.004084
208,739.00,4659.00,0.003325
209,1063.00,2718.00,0.002620
210,907.00,3280.00,0.003170
211,1036.00,2779.00,0.002283
212,1050.00,2752.00,0.000310
213,1164.00,2514.00,0.003240
214,1264.00,2353.00,0.004549
215,783.00,4199.00,0.006228
216,860.00,3567.00,0.001973
217,1013.00,2845.00,0.001860
218,1078.00,2682.00,0.002620
219,866.00,3531.00,0.003325
220,808.00,3985.00,0.003325
221,1042.00,2772.00,0.003170
222,798.00,4076.00,0.004100
223,712.00,5063.00,0.010302
224,1536.00,2158.00,0.008971
225,831.00,3790.00,0.003833
226,964.00,2994.00,0.004127
227,945.00,3082.00,0.002593
228,1265.00,2350.00,0.002972
229,1228.00,2405.00,0.003395
230,1052.00,2738.00,0.002620
231,1158.00,2526.00,0.003972
232,905.00,3294.00,0.001818
233,998.00,2883.00,0.002042
234,1056.00,2736.00,0.000887
235,1058.00,2722.00,0.002438
236,1215.00,2427.00,0.003662
237,1002.00,2869.00,0.000887
238,1124.00,2588.00,0.002240
239,870.00,3503.00,0.003325
240,1211.00,2434.00,0.002240
241,871.00,3498.00,0.001353
242,868.00,3517.00,0.001508
243,1323.00,2279.00,0.000310
244,1056.00,2736.00,0.002620
245,905.00,3294.00,0.001508
246,1050.00,2752.00,0.000577
247,868.00,3517.00,0.001353
248,1182.00,2482.00,0.003085
249,985.00,2921.00,0.000155
250,1041.00,2774.00,0.000887
251,1072.00,2698.00,0.002438
252,1041.00,2774.00,0.001465
253,1013.00,2845.00,0.000887
254,1020.00,2827.00,0.002438
255,1071.00,2700.00,0.002620
256,1323.00,2279.00,0.002887
257,1071.00,2700.00,0.000887
258,1071.00,2700.00,0.000000
259,1071.00,2700.00,0.000000
260,1020.00,2827.00,0.000887
261,1086.00,2664.00,0.003774
262,1072.00,2698.00,0.000577
263,1155.00,2533.00,0.002817
264,1057.00,2734.00,0.002438
265,1179.00,2489.00,0.003395
266,1078.00,2682.00,0.001155
267,1019.00,2829.00,0.002620
268,1004.00,2867.00,0.000887
269,1129.00,2579.00,0.001775
270,1030.00,2795.00,0.001310
271,1002.00,2869.00,0.001155
272,1034.00,2792.00,0.002352
273,1035.00,2790.00,0.002283
274,985.00,2921.00,0.001732
275,1352.00,2247.00,0.003042
276,1039.00,2776.00,0.001465
277,903.00,3308.00,0.001508
278,1039.00,2776.00,0.000155
279,915.00,3231.00,0.003438
280,1050.00,2752.00,0.002438
281,985.00,2921.00,0.000887
282,1279.00,2332.00,0.003085
283,1086.00,2664.00,0.000000
284,1148.00,2546.00,0.002662
285,923.00,3193.00,0.002860
286,997.00,2885.00,0.002352
287,1152.00,2538.00,0.001930
288,1156.00,2528.00,0.002817
289,860.00,3567.00,0.001508
290,893.00,3360.00,0.001353
291,1181.00,2485.00,0.002817
292,1108.00,2618.00,0.003085
293,1294.00,2311.00,0.004084
294,874.00,3482.00,0.002860
295,1071.00,2700.00,0.000000
296,984.00,2923.00,0.002240
297,1287.00,2320.00,0.002930
298,927.00,3168.00,0.001353
299,1249.00,2376.00,0.003240
300,1324.00,2277.00,0.002395
301,1192.00,2467.00,0.003085
302,910.00,3264.00,0.002705
303,1295.00,2309.00,0.001775
304,885.00,3409.00,0.002128
305,755.00,4486.00,0.004721
306,1220.00,2417.00,0.003395
307,1170.00,2504.00,0.002352
308,1545.00,2157.00,0.010858
309,1185.00,2480.00,0.003085
310,1303.00,2297.00,0.001775
311,1144.00,2550.00,0.002972
312,1019.00,2829.00,0.000887
313,1288.00,2319.00,0.002240
314,1096.00,2642.00,0.003395
315,876.00,3468.00,0.000577
316,925.00,3179.00,0.003325
317,1258.00,2361.00,0.002240
318,864.00,3543.00,0.002705
319,897.00,3343.00,0.004213
320,905.00,3294.00,0.000000
321,1226.00,2409.00,0.003127
322,1503.00,2164.00,0.007238
323,1119.00,2600.00,0.002972
324,706.00,5377.00,100000000000000.000000
325,927.00,3168.00,0.000000
326,1005.00,2865.00,0.001775
327,913.00,3245.00,0.001508
328,1021.00,2815.00,0.000887
329,1065.00,2704.00,0.004790
330,1074.00,2684.00,0.003507
331,736.00,4691.00,0.004411
332,805.00,4002.00,0.003325
333,1132.00,2572.00,0.003972
334,1030.00,2795.00,0.001465
335,1002.00,2869.00,0.000310
336,838.00,3724.00,0.003325
337,1004.00,2867.00,0.001465
338,1035.00,2790.00,0.000887
339,1187.00,2475.00,0.002352
340,1012.00,2847.00,0.003507
341,1254.00,2367.00,0.003352
342,1136.00,2564.00,0.003127
343,818.00,3896.00,0.003480
344,1346.00,2251.00,0.004084
345,752.00,4505.00,0.003790
346,1491.00,2166.00,0.006239
347,1168.00,2511.00,0.002662
348,1257.00,2364.00,0.001775
349,862.00,3553.00,0.003325
350,1161.00,2521.00,0.003550
351,1022.00,2813.00,0.003507
352,1497.00,2165.00,0.007238
353,854.00,3606.00,0.003325
354,886.00,3404.00,0.003325
355,1037.00,2777.00,0.002197
356,1380.00,2220.00,0.005282
357,1325.00,2271.00,0.002395
358,794.00,4106.00,0.002903
359,832.00,3769.00,0.006736
360,1302.00,2300.00,0.004084
361,888.00,3390.00,0.004213
362,875.00,3473.00,0.003325
363,843.00,3690.00,0.004213
364,1142.00,2557.00,0.002042
365,920.00,3201.00,0.004945
366,1189.00,2473.00,0.002817
367,781.00,4232.00,0.004411
368,880.00,3439.00,0.003325
369,1317.00,2283.00,0.004084
370,1026.00,2811.00,0.004480
371,934.00,3124.00,0.004945
372,721.00,4896.00,0.006736
373,1001.00,2871.00,0.004480
374,924.00,3187.00,0.003325
375,1207.00,2439.00,0.003972
376,735.00,4696.00,0.004256
377,733.00,4732.00,0.005806
378,830.00,3801.00,0.003325
379,1323.00,2279.00,0.000732
380,970.00,2973.00,0.004127
381,1032.00,2794.00,0.002775
382,817.00,3905.00,0.003325
383,869.00,3512.00,0.003325
384,945.00,3082.00,0.000732
385,893.00,3360.00,0.003325
386,709.00,5212.00,0.019139
387,1416.00,2188.00,0.007126
388,1509.00,2163.00,0.009126
389,717.00,4965.00,0.006736
390,1410.00,2192.00,0.007324
391,787.00,4168.00,0.003325
392,989.00,2907.00,0.004678
393,1382.00,2216.00,0.004817
394,1019.00,2829.00,0.000000
395,831.00,3790.00,0.002283
396,723.00,4860.00,0.006383
397,887.00,3395.00,0.003325
398,1058.00,2722.00,0.000887
399,1395.00,2203.00,0.006479
400,756.00,4468.00,0.006271
401,788.00,4158.00,0.003325
402,1360.00,2235.00,0.007126
403,762.00,4407.00,0.006961
404,1110.00,2617.00,0.003860
405,1130.00,2578.00,0.002817
406,1339.00,2256.00,0.003282
407,1367.00,2233.00,0.003240
408,863.00,3547.00,0.002705
409,1014.00,2833.00,0.003325
410,753.00,4500.00,0.003325
411,810.00,3971.00,0.003833
412,1097.00,2639.00,0.003860
413,811.00,3950.00,0.006736
414,1272.00,2342.00,0.004860
415,744.00,4596.00,0.003325
416,1199.00,2453.00,0.003085
417,740.00,4646.00,0.005341
418,936.00,3121.00,0.002972
419,708.00,5238.00,0.022240
420,876.00,3468.00,0.000775
421,1332.00,2265.00,0.001620
422,770.00,4330.00,0.003325
423,1194.00,2463.00,0.002817
424,1297.00,2301.00,0.004549
425,1246.00,2379.00,0.004084
426,1104.00,2624.00,0.003127
427,751.00,4517.00,0.005341
428,1186.00,2477.00,0.001930
429,898.00,3330.00,0.005918
430,978.00,2939.00,0.004592
431,737.00,4675.00,0.005961
432,948.00,3055.00,0.004945
433,902.00,3313.00,0.001620
434,765.00,4372.00,0.006426
435,1218.00,2423.00,0.003127
436,1120.00,2594.00,0.003395
437,774.00,4280.00,0.004100
438,900.00,3316.00,0.004945
439,1250.00,2373.00,0.002395
440,871.00,3498.00,0.003325
441,729.00,4770.00,0.006736
442,1103.00,2631.00,0.003550
443,1135.00,2571.00,0.003550
444,976.00,2953.00,0.004592
445,786.00,4172.00,0.003790
446,904.00,3302.00,0.003325
447,1080.00,2668.00,0.007410
448,1175.00,2496.00,0.003395
449,995.00,2887.00,0.005945
450,902.00,3313.00,0.001353
451,839.00,3723.00,0.003480
452,775.00,4276.00,0.003325
453,800.00,4043.00,0.006228
454,1475.00,2170.00,0.004929
