Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.780800,200,200,0.9,0.01,6742.0,18581.0,27374.0,101441.0,14290.38,51162.51,111,92,20632.0,82860.0,0.9842,29437.2,109727.0,0.4223,3.31
0.780800,400,200,0.9,0.01,6742.0,18581.0,27433.0,101866.0,14441.82,52535.21,141,105,20691.0,83285.0,0.988,29502.1,110194.5,0.4495,6.04
0.780800,600,200,0.9,0.01,6742.0,18581.0,27360.0,101598.0,13705.64,53271.77,159,103,20618.0,83017.0,0.9889,29421.8,109899.7,0.4457,8.37
0.780800,800,200,0.9,0.01,6742.0,18581.0,27366.0,101781.0,15035.58,48176.19,193,118,20624.0,83200.0,0.9846,29428.4,110101.0,0.4744,12.32
0.780800,1000,200,0.9,0.01,6742.0,18581.0,27437.0,100701.0,14396.94,52820.58,210,114,20695.0,82120.0,0.9825,29506.5,108913.0,0.4658,15.61
0.780800,1200,200,0.9,0.01,6742.0,18581.0,27338.0,100799.0,13975.1,52617.54,197,99,20596.0,82218.0,0.9871,29397.6,109020.8,0.4372,18.56
0.780800,1400,200,0.9,0.01,6742.0,18581.0,27381.0,101346.0,13786.04,54426.96,215,116,20639.0,82765.0,0.9861,29444.9,109622.5,0.4709,22.38
0.780800,1600,200,0.9,0.01,6742.0,18581.0,27401.0,101553.0,14668.81,51710.23,211,114,20659.0,82972.0,0.9844,29466.9,109850.2,0.4664,25.72
0.780800,1800,200,0.9,0.01,6742.0,18581.0,27379.0,101701.0,13933.57,54016.54,267,138,20637.0,83120.0,0.9833,29442.7,110013.0,0.514,30.24
0.780800,2000,200,0.9,0.01,6742.0,18581.0,27339.0,100687.0,13992.55,52971.45,212,109,20597.0,82106.0,0.9834,29398.7,108897.6,0.4561,32.03
0.780800,2200,200,0.9,0.01,6742.0,18581.0,27375.0,102130.0,14631.44,50937.58,219,115,20633.0,83549.0,0.9884,29438.3,110484.9,0.4696,36.37
0.780800,2400,200,0.9,0.01,6742.0,18581.0,27362.0,101529.0,13324.2,56180.33,241,124,20620.0,82948.0,0.9843,29424.0,109823.8,0.4864,41.45
0.780800,2600,200,0.9,0.01,6742.0,18581.0,27375.0,101480.0,13530.47,54650.26,262,133,20633.0,82899.0,0.9844,29438.3,109769.9,0.5044,46.82
0.780800,2800,200,0.9,0.01,6742.0,18581.0,27380.0,101792.0,13909.13,52011.92,215,109,20638.0,83211.0,0.9854,29443.8,110113.1,0.4567,50.53
0.780800,3000,200,0.9,0.01,6742.0,18581.0,27335.0,100745.0,12476.79,59285.21,231,119,20593.0,82164.0,0.983,29394.3,108961.4,0.476,53.29
0.780800,3200,200,0.9,0.01,6742.0,18581.0,27333.0,101400.0,15112.24,48921.43,237,124,20591.0,82819.0,0.9836,29392.1,109681.9,0.4861,58.62
0.780800,3400,200,0.9,0.01,6742.0,18581.0,27338.0,101407.0,14710.39,51419.58,229,119,20596.0,82826.0,0.9859,29397.6,109689.6,0.4768,66.91
0.780800,3600,200,0.9,0.01,6742.0,18581.0,27402.0,102313.0,13809.57,52476.93,243,127,20660.0,83732.0,0.9832,29468.0,110686.2,0.492,70.92
0.780800,3800,200,0.9,0.01,6742.0,18581.0,27360.0,102109.0,14181.14,52226.21,252,134,20618.0,83528.0,0.9825,29421.8,110461.8,0.5058,79.38
0.780800,4000,200,0.9,0.01,6742.0,18581.0,27379.0,102131.0,13381.52,54965.72,221,122,20637.0,83550.0,0.9839,29442.7,110486.0,0.4822,82.14
