Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.780800,200,200,0.9,0.01,3310.0,9478.0,12092.0,44396.0,6838.46,21515.05,153,130,8782.0,34918.0,0.9786,12970.2,47887.8,0.4905,1.87
0.780800,400,200,0.9,0.01,3310.0,9478.0,12101.0,44479.0,6718.25,21536.47,198,153,8791.0,35001.0,0.9791,12980.1,47979.1,0.5366,3.15
0.780800,600,200,0.9,0.01,3310.0,9478.0,12086.0,44376.0,6626.9,22786.16,219,159,8776.0,34898.0,0.9781,12963.6,47865.8,0.5483,4.92
0.780800,800,200,0.9,0.01,3310.0,9478.0,12092.0,44360.0,6729.12,21996.85,256,179,8782.0,34882.0,0.9789,12970.2,47848.2,0.5886,6.65
0.780800,1000,200,0.9,0.01,3310.0,9478.0,12092.0,44371.0,6863.47,21023.55,283,184,8782.0,34893.0,0.9781,12970.2,47860.3,0.5983,8.34
0.780800,1200,200,0.9,0.01,3310.0,9478.0,12101.0,44601.0,6632.84,22779.3,291,173,8791.0,35123.0,0.9805,12980.1,48113.3,0.577,9.54
0.780800,1400,200,0.9,0.01,3310.0,9478.0,12092.0,44264.0,6365.66,23367.32,320,182,8782.0,34786.0,0.9784,12970.2,47742.6,0.5944,12.84
0.780800,1600,200,0.9,0.01,3310.0,9478.0,12101.0,44433.0,6359.21,23131.5,352,196,8791.0,34955.0,0.9786,12980.1,47928.5,0.6225,14.24
0.780800,1800,200,0.9,0.01,3310.0,9478.0,12130.0,44212.0,6365.64,22963.45,326,166,8820.0,34734.0,0.9816,13012.0,47685.4,0.5634,17.46
0.780800,2000,200,0.9,0.01,3310.0,9478.0,12101.0,44152.0,6588.67,22006.96,387,194,8791.0,34674.0,0.9789,12980.1,47619.4,0.6186,18.98
0.780800,2200,200,0.9,0.01,3310.0,9478.0,12101.0,44430.0,6736.29,22578.14,319,163,8791.0,34952.0,0.9813,12980.1,47925.2,0.5573,21.9
0.780800,2400,200,0.9,0.01,3310.0,9478.0,12121.0,44109.0,6548.79,22138.64,342,174,8811.0,34631.0,0.9801,13002.1,47572.1,0.5789,25.68
0.780800,2600,200,0.9,0.01,3310.0,9478.0,12092.0,44275.0,6814.3,20890.79,331,170,8782.0,34797.0,0.9796,12970.2,47754.7,0.5708,26.92
0.780800,2800,200,0.9,0.01,3310.0,9478.0,12101.0,44423.0,6754.42,21853.95,359,186,8791.0,34945.0,0.978,12980.1,47917.5,0.6023,29.94
0.780800,3000,200,0.9,0.01,3310.0,9478.0,12101.0,44228.0,6451.08,22761.52,330,169,8791.0,34750.0,0.9775,12980.1,47703.0,0.5682,32.75
0.780800,3200,200,0.9,0.01,3310.0,9478.0,12092.0,44280.0,6628.43,22034.95,360,183,8782.0,34802.0,0.9809,12970.2,47760.2,0.5972,36.45
0.780800,3400,200,0.9,0.01,3310.0,9478.0,12104.0,44218.0,6535.48,22520.79,374,188,8794.0,34740.0,0.9781,12983.4,47692.0,0.6063,39.08
0.780800,3600,200,0.9,0.01,3310.0,9478.0,12092.0,44152.0,6633.51,22004.94,380,198,8782.0,34674.0,0.9765,12970.2,47619.4,0.6258,43.14
0.780800,3800,200,0.9,0.01,3310.0,9478.0,12101.0,44376.0,6710.76,22332.98,421,215,8791.0,34898.0,0.9798,12980.1,47865.8,0.6608,46.78
0.780800,4000,200,0.9,0.01,3310.0,9478.0,12101.0,44242.0,6623.86,22017.97,388,198,8791.0,34764.0,0.9786,12980.1,47718.4,0.6265,49.11
