Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.780800,200,200,0.9,0.01,3569.0,10796.0,10690.0,40227.0,6230.42,22163.06,191,166,7121.0,29431.0,0.9537,11402.1,43170.1,0.5397,1.48
0.780800,400,200,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6197.01,22226.6,239,196,7121.0,29489.0,0.9605,11402.1,43233.9,0.6018,2.7
0.780800,600,200,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6369.11,21218.26,272,208,7121.0,29411.0,0.9603,11402.1,43148.1,0.6257,4.21
0.780800,800,200,0.9,0.01,3569.0,10796.0,10690.0,40151.0,6394.29,21156.67,299,214,7121.0,29355.0,0.9607,11402.1,43086.5,0.6379,5.81
0.780800,1000,200,0.9,0.01,3569.0,10796.0,10690.0,40221.0,6461.82,21568.96,289,189,7121.0,29425.0,0.9645,11402.1,43163.5,0.589,6.66
0.780800,1200,200,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6465.69,20461.46,347,228,7121.0,29489.0,0.9634,11402.1,43233.9,0.6667,9.36
0.780800,1400,200,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6150.09,21802.95,339,198,7121.0,29489.0,0.9631,11402.1,43233.9,0.6066,11.19
0.780800,1600,200,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6128.1,22144.36,360,199,7121.0,29489.0,0.9655,11402.1,43233.9,0.6093,12.55
0.780800,1800,200,0.9,0.01,3569.0,10796.0,10690.0,40322.0,6201.06,21585.07,395,215,7121.0,29526.0,0.9652,11402.1,43274.6,0.6412,15.75
0.780800,2000,200,0.9,0.01,3569.0,10796.0,10690.0,40210.0,6499.94,20664.31,416,218,7121.0,29414.0,0.9658,11402.1,43151.4,0.6474,17.29
0.780800,2200,200,0.9,0.01,3569.0,10796.0,10690.0,40211.0,6236.17,21791.06,410,208,7121.0,29415.0,0.9658,11402.1,43152.5,0.6274,20.7
0.780800,2400,200,0.9,0.01,3569.0,10796.0,10690.0,40333.0,6363.71,21196.9,423,214,7121.0,29537.0,0.9674,11402.1,43286.7,0.6399,22.67
0.780800,2600,200,0.9,0.01,3569.0,10796.0,10690.0,40207.0,5952.25,22641.3,454,230,7121.0,29411.0,0.9653,11402.1,43148.1,0.6712,25.36
0.780800,2800,200,0.9,0.01,3569.0,10796.0,10690.0,40262.0,6473.83,21155.63,452,229,7121.0,29466.0,0.9644,11402.1,43208.6,0.669,27.8
0.780800,3000,200,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6337.73,21398.95,432,218,7121.0,29411.0,0.9653,11402.1,43148.1,0.6473,31.0
0.780800,3200,200,0.9,0.01,3569.0,10796.0,10690.0,40180.0,6300.17,21468.27,471,242,7121.0,29384.0,0.9653,11402.1,43118.4,0.6952,34.21
0.780800,3400,200,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6058.93,22015.02,483,242,7121.0,29489.0,0.9641,11402.1,43233.9,0.6949,36.23
0.780800,3600,200,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6405.26,20547.77,454,233,7121.0,29489.0,0.9669,11402.1,43233.9,0.6777,41.01
0.780800,3800,200,0.9,0.01,3569.0,10796.0,10690.0,40204.0,6225.97,21340.75,473,241,7121.0,29408.0,0.9649,11402.1,43144.8,0.6931,49.6
0.780800,4000,200,0.9,0.01,3569.0,10796.0,10690.0,40039.0,6491.27,20818.15,428,222,7121.0,29243.0,0.9658,11402.1,42963.3,0.6554,47.98
