Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.183803,200,200,0.9,0.01,173.0,766.0,369.0,1275.0,255.59,951.53,66,41,196.0,509.0,0.9411,388.6,1325.9,0.2125,0.23
0.183803,200,400,0.9,0.01,173.0,766.0,369.0,1275.0,244.33,982.97,63,39,196.0,509.0,0.9438,388.6,1325.9,0.2093,0.34
0.183803,200,600,0.9,0.01,173.0,766.0,369.0,1275.0,255.69,942.79,67,43,196.0,509.0,0.9389,388.6,1325.9,0.2158,0.5
0.183803,200,800,0.9,0.01,173.0,766.0,369.0,1275.0,239.4,983.51,65,38,196.0,509.0,0.9457,388.6,1325.9,0.2078,0.67
0.183803,200,1000,0.9,0.01,173.0,766.0,369.0,1275.0,246.79,980.47,62,38,196.0,509.0,0.9434,388.6,1325.9,0.2071,0.86
0.183803,200,1200,0.9,0.01,173.0,766.0,369.0,1275.0,252.7,956.89,66,38,196.0,509.0,0.9498,388.6,1325.9,0.2091,1.01
0.183803,200,1400,0.9,0.01,173.0,766.0,369.0,1275.0,246.33,970.3,63,38,196.0,509.0,0.9421,388.6,1325.9,0.2068,1.22
0.183803,200,1600,0.9,0.01,173.0,766.0,369.0,1275.0,251.13,952.15,62,40,196.0,509.0,0.9463,388.6,1325.9,0.212,1.37
0.183803,200,1800,0.9,0.01,173.0,766.0,369.0,1275.0,245.03,976.91,68,42,196.0,509.0,0.9424,388.6,1325.9,0.2149,1.54
0.183803,200,2000,0.9,0.01,173.0,766.0,369.0,1275.0,241.55,991.7,64,39,196.0,509.0,0.9429,388.6,1325.9,0.209,1.7
0.183803,200,2200,0.9,0.01,173.0,766.0,369.0,1275.0,239.95,991.2,66,39,196.0,509.0,0.943,388.6,1325.9,0.209,1.87
0.183803,200,2400,0.9,0.01,173.0,766.0,369.0,1275.0,250.89,958.28,65,41,196.0,509.0,0.945,388.6,1325.9,0.2136,2.02
0.183803,200,2600,0.9,0.01,173.0,766.0,369.0,1275.0,251.51,956.38,65,40,196.0,509.0,0.9438,388.6,1325.9,0.2113,2.21
0.183803,200,2800,0.9,0.01,173.0,766.0,369.0,1275.0,240.3,998.85,61,37,196.0,509.0,0.9459,388.6,1325.9,0.2059,2.37
0.183803,200,3000,0.9,0.01,173.0,766.0,369.0,1275.0,246.43,977.41,63,38,196.0,509.0,0.9455,388.6,1325.9,0.2078,2.54
0.183803,200,3200,0.9,0.01,173.0,766.0,369.0,1275.0,244.37,977.85,62,34,196.0,509.0,0.9469,388.6,1325.9,0.2002,2.74
0.183803,200,3400,0.9,0.01,173.0,766.0,369.0,1275.0,251.37,966.81,67,41,196.0,509.0,0.9434,388.6,1325.9,0.2131,1.94
0.183803,200,3600,0.9,0.01,173.0,766.0,369.0,1275.0,242.0,989.11,62,33,196.0,509.0,0.9452,388.6,1325.9,0.1977,3.06
0.183803,200,3800,0.9,0.01,173.0,766.0,369.0,1275.0,244.44,974.98,64,38,196.0,509.0,0.9445,388.6,1325.9,0.2075,3.21
0.183803,200,4000,0.9,0.01,173.0,766.0,369.0,1275.0,250.92,964.26,61,34,196.0,509.0,0.9447,388.6,1325.9,0.1995,3.41
