Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.183803,200,200,0.9,0.01,6742.0,18581.0,27329.0,102182.0,13327.74,53422.53,103,81,20587.0,83601.0,0.9899,29387.7,110542.1,0.402,3.19
0.183803,200,400,0.9,0.01,6742.0,18581.0,27329.0,101947.0,13975.55,50753.57,146,124,20587.0,83366.0,0.9924,29387.7,110283.6,0.4888,6.3
0.183803,200,600,0.9,0.01,6742.0,18581.0,27329.0,101414.0,14215.88,49821.59,154,134,20587.0,82833.0,0.994,29387.7,109697.3,0.5093,9.31
0.183803,200,800,0.9,0.01,6742.0,18581.0,27329.0,101402.0,13914.66,52630.16,170,152,20587.0,82821.0,0.9961,29387.7,109684.1,0.5459,11.74
0.183803,200,1000,0.9,0.01,6742.0,18581.0,27329.0,101402.0,14063.44,49541.97,177,159,20587.0,82821.0,0.9967,29387.7,109684.1,0.5601,15.54
0.183803,200,1200,0.9,0.01,6742.0,18581.0,27324.0,101402.0,14280.86,49725.6,189,171,20582.0,82821.0,0.9978,29382.2,109684.1,0.5844,17.44
0.183803,200,1400,0.9,0.01,6742.0,18581.0,27324.0,101294.0,14838.54,47727.83,191,168,20582.0,82713.0,0.999,29382.2,109565.3,0.5788,21.26
0.183803,200,1600,0.9,0.01,6742.0,18581.0,27324.0,101249.0,14228.98,49628.17,193,175,20582.0,82668.0,0.9999,29382.2,109515.8,0.593,25.77
0.183803,200,1800,0.9,0.01,6742.0,18581.0,27324.0,101369.0,14192.86,49059.86,193,175,20582.0,82788.0,1.0003,29382.2,109647.8,0.5932,26.72
0.183803,200,2000,0.9,0.01,6742.0,18581.0,27324.0,101247.0,13503.31,51266.65,193,176,20582.0,82666.0,1.0006,29382.2,109513.6,0.5952,29.95
0.183803,200,2200,0.9,0.01,6742.0,18581.0,27324.0,101247.0,13572.99,50306.46,193,177,20582.0,82666.0,1.0002,29382.2,109513.6,0.5971,33.45
0.183803,200,2400,0.9,0.01,6742.0,18581.0,27324.0,101247.0,14339.56,48105.14,193,176,20582.0,82666.0,1.0008,29382.2,109513.6,0.5953,36.84
0.183803,200,2600,0.9,0.01,6742.0,18581.0,27324.0,101247.0,14087.48,47926.76,193,179,20582.0,82666.0,1.0012,29382.2,109513.6,0.6014,39.0
0.183803,200,2800,0.9,0.01,6742.0,18581.0,27324.0,101247.0,14440.94,46690.72,193,181,20582.0,82666.0,1.0016,29382.2,109513.6,0.6055,43.09
0.183803,200,3000,0.9,0.01,6742.0,18581.0,27324.0,101247.0,14838.37,44871.8,193,175,20582.0,82666.0,1.0026,29382.2,109513.6,0.5939,46.15
0.183803,200,3200,0.9,0.01,6742.0,18581.0,27324.0,101247.0,14508.94,46386.21,193,174,20582.0,82666.0,1.0022,29382.2,109513.6,0.5917,48.65
0.183803,200,3400,0.9,0.01,6742.0,18581.0,27421.0,101247.0,15298.51,44918.29,193,176,20679.0,82666.0,1.0042,29488.9,109513.6,0.5963,52.21
0.183803,200,3600,0.9,0.01,6742.0,18581.0,27329.0,101247.0,14635.69,47204.78,194,176,20587.0,82666.0,1.0036,29387.7,109513.6,0.5961,55.54
0.183803,200,3800,0.9,0.01,6742.0,18581.0,27360.0,101247.0,15090.7,46184.58,194,183,20618.0,82666.0,1.0039,29421.8,109513.6,0.6102,57.23
0.183803,200,4000,0.9,0.01,6742.0,18581.0,27331.0,101247.0,15240.21,45657.66,193,178,20589.0,82666.0,1.0043,29389.9,109513.6,0.6004,60.78
