Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.183803,200,200,0.9,0.01,3310.0,9478.0,12101.0,44270.0,6531.44,22718.58,159,136,8791.0,34792.0,0.9757,12980.1,47749.2,0.5016,1.91
0.183803,200,400,0.9,0.01,3310.0,9478.0,12101.0,44172.0,6710.97,21595.34,182,160,8791.0,34694.0,0.9851,12980.1,47641.4,0.5524,3.11
0.183803,200,600,0.9,0.01,3310.0,9478.0,12101.0,44144.0,6418.26,21695.23,188,166,8791.0,34666.0,0.9925,12980.1,47610.6,0.5666,3.63
0.183803,200,800,0.9,0.01,3310.0,9478.0,12101.0,44144.0,6891.36,20149.04,195,172,8791.0,34666.0,0.9971,12980.1,47610.6,0.58,5.95
0.183803,200,1000,0.9,0.01,3310.0,9478.0,12101.0,44144.0,6428.11,21665.33,196,176,8791.0,34666.0,1.001,12980.1,47610.6,0.5892,7.49
0.183803,200,1200,0.9,0.01,3310.0,9478.0,12092.0,44123.0,6309.02,21805.2,194,177,8782.0,34645.0,1.0028,12970.2,47587.5,0.5917,8.96
0.183803,200,1400,0.9,0.01,3310.0,9478.0,12092.0,44038.0,6626.55,20379.31,192,178,8782.0,34560.0,1.0039,12970.2,47494.0,0.5941,9.68
0.183803,200,1600,0.9,0.01,3310.0,9478.0,12101.0,44038.0,6363.81,20745.35,196,179,8791.0,34560.0,1.005,12980.1,47494.0,0.5964,12.06
0.183803,200,1800,0.9,0.01,3310.0,9566.0,12047.0,44123.0,6425.4,21007.15,194,185,8737.0,34557.0,1.0073,12920.7,47578.7,0.6088,13.61
0.183803,200,2000,0.9,0.01,3310.0,9478.0,12092.0,44114.0,6364.1,20702.63,193,179,8782.0,34636.0,1.009,12970.2,47577.6,0.5976,14.32
0.183803,200,2200,0.9,0.01,3440.0,9478.0,12101.0,41546.0,6621.66,18872.57,194,181,8661.0,32068.0,1.0058,12967.1,44752.8,0.5992,16.84
0.183803,200,2400,0.9,0.01,3310.0,9478.0,12101.0,44101.0,6429.65,20056.79,193,177,8791.0,34623.0,1.0112,12980.1,47563.3,0.5942,17.32
0.183803,200,2600,0.9,0.01,3310.0,9478.0,12092.0,44087.0,6702.54,19129.74,195,181,8782.0,34609.0,1.0119,12970.2,47547.9,0.6025,18.97
0.183803,200,2800,0.9,0.01,3310.0,9478.0,12092.0,44047.0,6610.87,19699.25,194,184,8782.0,34569.0,1.0129,12970.2,47503.9,0.6088,21.53
0.183803,200,3000,0.9,0.01,3310.0,9478.0,12101.0,44566.0,6660.49,19576.48,195,178,8791.0,35088.0,1.015,12980.1,48074.8,0.5974,22.13
0.183803,200,3200,0.9,0.01,3325.0,9478.0,12083.0,43567.0,6668.09,19430.41,193,181,8758.0,34089.0,1.0097,12958.8,46975.9,0.6016,23.45
0.183803,200,3400,0.9,0.01,3310.0,9478.0,12101.0,44114.0,6643.47,19106.89,195,184,8791.0,34636.0,1.0142,12980.1,47577.6,0.6092,26.42
0.183803,200,3600,0.9,0.01,3310.0,9478.0,12113.0,44092.0,6290.42,20435.03,196,180,8803.0,34614.0,1.0147,12993.3,47553.4,0.6013,26.5
0.183803,200,3800,0.9,0.01,3310.0,9478.0,12101.0,43988.0,6609.07,19223.26,195,179,8791.0,34510.0,1.0152,12980.1,47439.0,0.5995,28.35
0.183803,200,4000,0.9,0.01,3310.0,9478.0,12095.0,44150.0,6510.46,18872.72,195,178,8785.0,34672.0,1.017,12973.5,47617.2,0.598,29.64
