Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.183803,200,200,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6248.36,22055.72,182,158,7121.0,29411.0,0.9563,11402.1,43148.1,0.5245,1.63
0.183803,200,400,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6418.97,20644.33,196,176,7121.0,29411.0,0.9706,11402.1,43148.1,0.5648,2.64
0.183803,200,600,0.9,0.01,3569.0,10796.0,10690.0,40285.0,6210.69,21601.53,198,182,7121.0,29489.0,0.976,11402.1,43233.9,0.5785,3.9
0.183803,200,800,0.9,0.01,3569.0,10796.0,10690.0,40199.0,6314.11,20326.19,197,182,7121.0,29403.0,0.9815,11402.1,43139.3,0.5801,4.32
0.183803,200,1000,0.9,0.01,3569.0,10796.0,10690.0,40221.0,6218.02,20848.03,197,179,7121.0,29425.0,0.9868,11402.1,43163.5,0.5757,6.53
0.183803,200,1200,0.9,0.01,3569.0,10796.0,10690.0,40175.0,6195.1,20996.5,197,180,7121.0,29379.0,0.9883,11402.1,43112.9,0.5781,7.87
0.183803,200,1400,0.9,0.01,3569.0,10796.0,10690.0,40175.0,6351.74,20316.69,196,176,7121.0,29379.0,0.9917,11402.1,43112.9,0.5712,9.04
0.183803,200,1600,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6019.26,21410.63,197,184,7121.0,29411.0,0.9949,11402.1,43148.1,0.5881,9.67
0.183803,200,1800,0.9,0.01,3570.0,10796.0,10690.0,40097.0,5888.87,21783.27,196,184,7120.0,29301.0,0.9949,11402.0,43027.1,0.5881,11.74
0.183803,200,2000,0.9,0.01,3569.0,10796.0,10690.0,40227.0,6166.08,20682.81,197,186,7121.0,29431.0,0.998,11402.1,43170.1,0.593,12.97
0.183803,200,2200,0.9,0.01,3614.0,10796.0,10690.0,39374.0,6381.83,19548.1,196,182,7076.0,28578.0,0.9971,11397.6,42231.8,0.5842,13.35
0.183803,200,2400,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6115.68,20670.63,198,184,7121.0,29411.0,0.9996,11402.1,43148.1,0.5895,15.91
0.183803,200,2600,0.9,0.01,3569.0,10796.0,10690.0,40220.0,6212.14,20124.25,197,186,7121.0,29424.0,1.0,11402.1,43162.4,0.5937,16.11
0.183803,200,2800,0.9,0.01,3643.0,10796.0,10690.0,39099.0,6103.94,20392.55,196,185,7047.0,28303.0,1.0015,11394.7,41929.3,0.5912,18.55
0.183803,200,3000,0.9,0.01,3594.0,10796.0,10690.0,39977.0,5951.9,20844.88,196,179,7096.0,29181.0,1.0038,11399.6,42895.1,0.5805,18.87
0.183803,200,3200,0.9,0.01,3569.0,10796.0,10690.0,40111.0,6181.58,20087.96,197,186,7121.0,29315.0,1.0019,11402.1,43042.5,0.5942,21.3
0.183803,200,3400,0.9,0.01,3569.0,10796.0,10690.0,40207.0,6155.68,20127.14,197,186,7121.0,29411.0,1.0033,11402.1,43148.1,0.5946,22.65
0.183803,200,3600,0.9,0.01,3569.0,10796.0,10690.0,40097.0,6166.88,20131.13,197,185,7121.0,29301.0,1.0033,11402.1,43027.1,0.5926,22.63
0.183803,200,3800,0.9,0.01,3569.0,10796.0,10690.0,40221.0,6136.09,20212.03,199,186,7121.0,29425.0,1.0061,11402.1,43163.5,0.5955,24.09
0.183803,200,4000,0.9,0.01,3569.0,10796.0,10690.0,40207.0,5908.03,20464.67,197,180,7121.0,29411.0,1.0067,11402.1,43148.1,0.5837,25.65
