Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.183803,200,200,0.9,0.01,704.0,2149.0,1610.0,5577.0,1005.15,3359.92,148,124,906.0,3428.0,1.0008,1700.6,5919.8,0.4448,0.66
0.183803,200,400,0.9,0.01,704.0,2149.0,1610.0,5577.0,987.79,3322.95,196,171,906.0,3428.0,1.0124,1700.6,5919.8,0.5423,0.74
0.183803,200,600,0.9,0.01,704.0,2149.0,1610.0,5633.0,993.72,3281.44,197,180,906.0,3484.0,1.0178,1700.6,5981.4,0.5619,1.17
0.183803,200,800,0.9,0.01,704.0,2149.0,1610.0,5577.0,981.87,3337.11,197,183,906.0,3428.0,1.0157,1700.6,5919.8,0.5673,1.62
0.183803,200,1000,0.9,0.01,704.0,2149.0,1610.0,5577.0,960.59,3393.52,197,185,906.0,3428.0,1.0161,1700.6,5919.8,0.5714,2.11
0.183803,200,1200,0.9,0.01,704.0,2149.0,1610.0,5577.0,1015.34,3222.45,198,181,906.0,3428.0,1.0159,1700.6,5919.8,0.5633,2.59
0.183803,200,1400,0.9,0.01,704.0,2149.0,1610.0,5577.0,1005.47,3268.64,197,183,906.0,3428.0,1.0159,1700.6,5919.8,0.5673,3.07
0.183803,200,1600,0.9,0.01,704.0,2149.0,1610.0,5577.0,994.16,3282.85,197,183,906.0,3428.0,1.0167,1700.6,5919.8,0.5676,3.59
0.183803,200,1800,0.9,0.01,704.0,2149.0,1610.0,5577.0,1003.79,3248.69,199,186,906.0,3428.0,1.0162,1700.6,5919.8,0.5734,4.01
0.183803,200,2000,0.9,0.01,704.0,2149.0,1610.0,5577.0,1023.37,3178.85,197,187,906.0,3428.0,1.0162,1700.6,5919.8,0.5754,3.58
0.183803,200,2200,0.9,0.01,704.0,2149.0,1610.0,5577.0,1026.81,3159.94,198,190,906.0,3428.0,1.017,1700.6,5919.8,0.5817,5.01
0.183803,200,2400,0.9,0.01,704.0,2149.0,1610.0,5577.0,1002.14,3238.05,199,184,906.0,3428.0,1.0177,1700.6,5919.8,0.5699,5.55
0.183803,200,2600,0.9,0.01,704.0,2149.0,1610.0,5680.0,997.42,3211.15,197,181,906.0,3531.0,1.0231,1700.6,6033.1,0.5655,5.99
0.183803,200,2800,0.9,0.01,704.0,2149.0,1610.0,5577.0,1004.97,3228.11,198,184,906.0,3428.0,1.017,1700.6,5919.8,0.5697,6.52
0.183803,200,3000,0.9,0.01,704.0,2149.0,1610.0,5633.0,995.85,3255.12,197,186,906.0,3484.0,1.0205,1700.6,5981.4,0.5747,6.99
0.183803,200,3200,0.9,0.01,704.0,2149.0,1610.0,5577.0,988.79,3286.11,197,186,906.0,3428.0,1.0168,1700.6,5919.8,0.5736,6.66
0.183803,200,3400,0.9,0.01,704.0,2149.0,1610.0,5577.0,1004.52,3263.67,198,182,906.0,3428.0,1.0164,1700.6,5919.8,0.5655,8.08
0.183803,200,3600,0.9,0.01,704.0,2149.0,1610.0,5577.0,1003.56,3222.38,197,188,906.0,3428.0,1.0172,1700.6,5919.8,0.5777,8.76
0.183803,200,3800,0.9,0.01,704.0,2149.0,1610.0,5577.0,1000.78,3213.15,198,182,906.0,3428.0,1.0174,1700.6,5919.8,0.5658,9.13
0.183803,200,4000,0.9,0.01,704.0,2149.0,1610.0,5577.0,995.03,3257.57,199,184,906.0,3428.0,1.0166,1700.6,5919.8,0.5695,8.59
