Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,173.00,1275.00,0.000000,37.509
0.100000,1000,4000,0.9,0.01,369.00,766.00,0.000000,37.509
0.100000,1000,4000,0.9,0.01,183.00,1159.00,0.000000,37.509
0.100000,1000,4000,0.9,0.01,331.00,773.00,0.130513,37.509
0.100000,1000,4000,0.9,0.01,224.00,1005.00,0.021010,37.509
0.100000,1000,4000,0.9,0.01,281.00,836.00,0.067940,37.509
0.100000,1000,4000,0.9,0.01,190.00,1150.00,0.074230,37.509
0.100000,1000,4000,0.9,0.01,319.00,785.00,0.044951,37.509
0.100000,1000,4000,0.9,0.01,225.00,1004.00,0.020819,37.509
0.100000,1000,4000,0.9,0.01,210.00,1062.00,0.076004,37.509
0.100000,1000,4000,0.9,0.01,258.00,889.00,0.031990,37.509
0.100000,1000,4000,0.9,0.01,203.00,1071.00,0.061460,37.509
0.100000,1000,4000,0.9,0.01,246.00,901.00,0.078746,37.509
0.100000,1000,4000,0.9,0.01,199.00,1096.00,0.063234,37.509
0.100000,1000,4000,0.9,0.01,241.00,941.00,0.076004,37.509
0.100000,1000,4000,0.9,0.01,267.00,861.00,0.052048,37.509
0.100000,1000,4000,0.9,0.01,233.00,977.00,0.047517,37.509
0.100000,1000,4000,0.9,0.01,253.00,892.00,0.042400,37.509
0.100000,1000,4000,0.9,0.01,324.00,782.00,0.042400,37.509
0.100000,1000,4000,0.9,0.01,180.00,1266.00,0.139459,37.509
0.100000,1000,4000,0.9,0.01,269.00,848.00,0.042796,37.509
0.100000,1000,4000,0.9,0.01,212.00,1017.00,0.074230,37.509
0.100000,1000,4000,0.9,0.01,290.00,808.00,0.075388,37.509
0.100000,1000,4000,0.9,0.01,264.00,888.00,0.050464,37.509
0.100000,1000,4000,0.9,0.01,226.00,989.00,0.046931,37.509
0.100000,1000,4000,0.9,0.01,237.00,955.00,0.028472,37.509
0.100000,1000,4000,0.9,0.01,304.00,803.00,0.042400,37.509
0.100000,1000,4000,0.9,0.01,235.00,964.00,0.027299,37.509
0.100000,1000,4000,0.9,0.01,278.00,846.00,0.042400,37.509
0.100000,1000,4000,0.9,0.01,299.00,806.00,0.040626,37.509
0.100000,1000,4000,0.9,0.01,221.00,1015.00,0.042400,37.509
0.100000,1000,4000,0.9,0.01,311.00,794.00,0.055947,37.509
0.100000,1000,4000,0.9,0.01,194.00,1112.00,0.076004,37.509
0.100000,1000,4000,0.9,0.01,236.00,957.00,0.013943,37.509
0.100000,1000,4000,0.9,0.01,302.00,796.00,0.040626,37.509
0.100000,1000,4000,0.9,0.01,182.00,1221.00,0.112761,37.509
0.100000,1000,4000,0.9,0.01,265.00,880.00,0.078746,37.509
0.100000,1000,4000,0.9,0.01,192.00,1105.00,0.137464,37.509
0.100000,1000,4000,0.9,0.01,297.00,799.00,0.071649,37.509
0.100000,1000,4000,0.9,0.01,288.00,827.00,0.091090,37.509
0.100000,1000,4000,0.9,0.01,309.00,787.00,0.054173,37.509
0.920000,1000,4000,0.9,0.01,219.00,1008.00,0.047708,37.549
0.920000,1000,4000,0.9,0.01,276.00,839.00,0.042400,37.549
0.920000,1000,4000,0.9,0.01,234.00,950.00,0.053997,37.549
0.920000,1000,4000,0.9,0.01,232.00,995.00,0.031419,37.549
0.920000,1000,4000,0.9,0.01,243.00,948.00,0.029439,37.549
0.920000,1000,4000,0.9,0.01,246.00,938.00,0.047532,37.549
0.920000,1000,4000,0.9,0.01,244.00,946.00,0.017476,37.549
0.920000,1000,4000,0.9,0.01,248.00,908.00,0.063044,37.549
0.920000,1000,4000,0.9,0.01,228.00,996.00,0.026698,37.549
0.920000,1000,4000,0.9,0.01,214.00,1024.00,0.076004,37.549
0.330000,1000,4000,0.9,0.01,271.00,855.00,0.026698,38.343
0.330000,1000,4000,0.9,0.01,205.00,1078.00,0.061460,38.343
0.330000,1000,4000,0.9,0.01,274.00,852.00,0.026698,38.343
0.330000,1000,4000,0.9,0.01,182.00,1273.00,0.139459,38.343
0.550000,1000,4000,0.9,0.01,292.00,815.00,0.050464,38.362
0.670000,1000,4000,0.9,0.01,357.00,778.00,0.078891,39.229
0.670000,1000,4000,0.9,0.01,333.00,780.00,0.088113,39.229
0.670000,1000,4000,0.9,0.01,362.00,775.00,0.042400,39.229
0.210000,1000,4000,0.9,0.01,255.00,899.00,0.031990,38.865
0.210000,1000,4000,0.9,0.01,260.00,896.00,0.026698,38.865
0.210000,1000,4000,0.9,0.01,257.00,897.00,0.015702,38.865
0.210000,1000,4000,0.9,0.01,201.00,1103.00,0.061460,38.865
0.640000,1000,4000,0.9,0.01,283.00,843.00,0.026302,38.276
0.640000,1000,4000,0.9,0.01,286.00,840.00,0.028472,38.276
