Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,13748.00,45286.00,0.074858,297.099
0.100000,1000,4000,0.9,0.01,12997.00,47953.00,0.065465,297.099
0.100000,1000,4000,0.9,0.01,14316.00,44151.00,0.076663,297.099
0.100000,1000,4000,0.9,0.01,14660.00,43490.00,0.073125,297.099
0.100000,1000,4000,0.9,0.01,12938.00,49131.00,0.108380,297.099
0.100000,1000,4000,0.9,0.01,13940.00,44922.00,0.022348,297.099
0.100000,1000,4000,0.9,0.01,13486.00,46478.00,0.024385,297.099
0.100000,1000,4000,0.9,0.01,13651.00,45681.00,0.047275,297.099
0.100000,1000,4000,0.9,0.01,13143.00,47937.00,0.054690,297.099
0.100000,1000,4000,0.9,0.01,12422.00,54061.00,0.045512,297.099
0.100000,1000,4000,0.9,0.01,13585.00,46151.00,0.028584,297.099
0.100000,1000,4000,0.9,0.01,13956.00,44831.00,0.027214,297.099
0.100000,1000,4000,0.9,0.01,12962.00,48628.00,0.061064,297.099
0.100000,1000,4000,0.9,0.01,13454.00,46668.00,0.030299,297.099
0.100000,1000,4000,0.9,0.01,13471.00,46602.00,0.014402,297.099
0.100000,1000,4000,0.9,0.01,12429.00,53774.00,0.053125,297.099
0.100000,1000,4000,0.9,0.01,14726.00,43147.00,0.043761,297.099
0.100000,1000,4000,0.9,0.01,13935.00,45265.00,0.054059,297.099
0.100000,1000,4000,0.9,0.01,12306.00,54991.00,100000000000000.000000,297.099
0.100000,1000,4000,0.9,0.01,14446.00,44008.00,0.025940,297.099
0.100000,1000,4000,0.9,0.01,14508.00,43842.00,0.064935,297.099
0.100000,1000,4000,0.9,0.01,12537.00,51899.00,0.149444,297.099
0.100000,1000,4000,0.9,0.01,14775.00,42999.00,100000000000000.000000,297.099
0.100000,1000,4000,0.9,0.01,13563.00,46464.00,0.033683,297.099
0.100000,1000,4000,0.9,0.01,13218.00,47362.00,0.037298,297.099
0.100000,1000,4000,0.9,0.01,12412.00,54783.00,0.053738,297.099
0.100000,1000,4000,0.9,0.01,12435.00,52850.00,0.064674,297.099
0.100000,1000,4000,0.9,0.01,13649.00,45939.00,0.021883,297.099
0.100000,1000,4000,0.9,0.01,14432.00,44095.00,0.032289,297.099
0.100000,1000,4000,0.9,0.01,13261.00,47029.00,0.052624,297.099
0.100000,1000,4000,0.9,0.01,13216.00,47705.00,0.039163,297.099
0.100000,1000,4000,0.9,0.01,12484.00,52490.00,0.060308,297.099
0.100000,1000,4000,0.9,0.01,14033.00,44721.00,0.021967,297.099
0.100000,1000,4000,0.9,0.01,12344.00,54971.00,0.030139,297.099
0.100000,1000,4000,0.9,0.01,12601.00,49474.00,0.196617,297.099
0.100000,1000,4000,0.9,0.01,13343.00,46707.00,0.054136,297.099
0.100000,1000,4000,0.9,0.01,14041.00,44717.00,0.030240,297.099
0.100000,1000,4000,0.9,0.01,13622.00,46065.00,0.021800,297.099
0.100000,1000,4000,0.9,0.01,14094.00,44292.00,0.079290,297.099
0.920000,1000,4000,0.9,0.01,14273.00,45553.00,0.047671,298.856
0.920000,1000,4000,0.9,0.01,14411.00,44997.00,0.015439,298.856
0.920000,1000,4000,0.9,0.01,13030.00,50287.00,0.041428,298.856
0.920000,1000,4000,0.9,0.01,13768.00,46899.00,0.020568,298.856
0.920000,1000,4000,0.9,0.01,13738.00,46937.00,0.033559,298.856
0.920000,1000,4000,0.9,0.01,12769.00,51832.00,0.046957,298.856
0.920000,1000,4000,0.9,0.01,13191.00,49862.00,0.028209,298.856
0.920000,1000,4000,0.9,0.01,14472.00,44589.00,0.033210,298.856
0.920000,1000,4000,0.9,0.01,13338.00,48758.00,0.012701,298.856
0.920000,1000,4000,0.9,0.01,14466.00,44882.00,0.021749,298.856
0.920000,1000,4000,0.9,0.01,13348.00,48668.00,0.049005,298.856
0.920000,1000,4000,0.9,0.01,13842.00,46799.00,0.031718,298.856
0.920000,1000,4000,0.9,0.01,13220.00,49574.00,0.024157,298.856
0.920000,1000,4000,0.9,0.01,14037.00,46398.00,0.029310,298.856
0.920000,1000,4000,0.9,0.01,12868.00,50700.00,0.066708,298.856
0.920000,1000,4000,0.9,0.01,12549.00,54554.00,0.068699,298.856
0.920000,1000,4000,0.9,0.01,14601.00,44483.00,0.040786,298.856
0.920000,1000,4000,0.9,0.01,13477.00,47847.00,0.060995,298.856
0.920000,1000,4000,0.9,0.01,14063.00,45735.00,0.058861,298.856
0.920000,1000,4000,0.9,0.01,14789.00,44352.00,0.022872,298.856
0.920000,1000,4000,0.9,0.01,14385.00,45124.00,0.013792,298.856
0.920000,1000,4000,0.9,0.01,13050.00,50275.00,0.017071,298.856
0.920000,1000,4000,0.9,0.01,12374.00,54962.00,0.189131,298.856
0.920000,1000,4000,0.9,0.01,12636.00,53031.00,0.060035,298.856
0.920000,1000,4000,0.9,0.01,14818.00,44291.00,0.018227,298.856
0.920000,1000,4000,0.9,0.01,14290.00,45340.00,0.021225,298.856
0.920000,1000,4000,0.9,0.01,15242.00,43636.00,0.031344,298.856
0.920000,1000,4000,0.9,0.01,15060.00,43810.00,0.057864,298.856
0.920000,1000,4000,0.9,0.01,13233.00,49271.00,0.034412,298.856
0.920000,1000,4000,0.9,0.01,13074.00,49946.00,0.019490,298.856
0.920000,1000,4000,0.9,0.01,14853.00,44079.00,0.052595,298.856
0.920000,1000,4000,0.9,0.01,14332.00,45152.00,0.021452,298.856
0.920000,1000,4000,0.9,0.01,13645.00,47374.00,0.035968,298.856
0.920000,1000,4000,0.9,0.01,15350.00,43409.00,0.046341,298.856
0.920000,1000,4000,0.9,0.01,14052.00,46358.00,0.023753,298.856
0.920000,1000,4000,0.9,0.01,12570.00,53691.00,0.058887,298.856
0.920000,1000,4000,0.9,0.01,14391.00,45002.00,0.007881,298.856
0.920000,1000,4000,0.9,0.01,12846.00,51555.00,0.049210,298.856
0.920000,1000,4000,0.9,0.01,13614.00,47488.00,0.024391,298.856
0.920000,1000,4000,0.9,0.01,12716.00,52445.00,0.056583,298.856
0.920000,1000,4000,0.9,0.01,14689.00,44373.00,0.033673,298.856
0.920000,1000,4000,0.9,0.01,15491.00,42916.00,100000000000000.000000,298.856
0.920000,1000,4000,0.9,0.01,13334.00,49022.00,0.031831,298.856
0.920000,1000,4000,0.9,0.01,15163.00,43784.00,0.033996,298.856
0.920000,1000,4000,0.9,0.01,15315.00,43539.00,0.023838,298.856
0.920000,1000,4000,0.9,0.01,13572.00,47807.00,0.032342,298.856
0.920000,1000,4000,0.9,0.01,13096.00,49863.00,0.021029,298.856
0.920000,1000,4000,0.9,0.01,12336.00,59801.00,100000000000000.000000,298.856
0.920000,1000,4000,0.9,0.01,13882.00,46438.00,0.042778,298.856
0.330000,1000,4000,0.9,0.01,15325.00,44289.00,0.034681,303.674
0.330000,1000,4000,0.9,0.01,14953.00,45043.00,0.025314,303.674
0.330000,1000,4000,0.9,0.01,15329.00,43859.00,0.037215,303.674
0.330000,1000,4000,0.9,0.01,13142.00,51986.00,0.055696,303.674
0.330000,1000,4000,0.9,0.01,14692.00,45616.00,0.008507,303.674
0.330000,1000,4000,0.9,0.01,15669.00,43509.00,0.020372,303.674
0.330000,1000,4000,0.9,0.01,13975.00,47637.00,0.043550,303.674
0.330000,1000,4000,0.9,0.01,15643.00,43753.00,0.020214,303.674
0.330000,1000,4000,0.9,0.01,15994.00,43060.00,0.035184,303.674
0.330000,1000,4000,0.9,0.01,15520.00,43858.00,0.032437,303.674
0.330000,1000,4000,0.9,0.01,15567.00,43759.00,0.018389,303.674
0.330000,1000,4000,0.9,0.01,16022.00,42926.00,0.027396,303.674
0.330000,1000,4000,0.9,0.01,14837.00,45048.00,0.029117,303.674
0.330000,1000,4000,0.9,0.01,16698.00,42224.00,100000000000000.000000,303.674
0.330000,1000,4000,0.9,0.01,13252.00,51242.00,0.063911,303.674
0.330000,1000,4000,0.9,0.01,13553.00,49986.00,0.014067,303.674
0.330000,1000,4000,0.9,0.01,14984.00,44813.00,0.017870,303.674
0.330000,1000,4000,0.9,0.01,14736.00,45489.00,0.019125,303.674
0.330000,1000,4000,0.9,0.01,16166.00,42858.00,0.032029,303.674
0.330000,1000,4000,0.9,0.01,14467.00,45751.00,0.068818,303.674
0.330000,1000,4000,0.9,0.01,13812.00,48120.00,0.041125,303.674
0.330000,1000,4000,0.9,0.01,12993.00,53216.00,0.034339,303.674
0.330000,1000,4000,0.9,0.01,16252.00,42807.00,0.034346,303.674
0.330000,1000,4000,0.9,0.01,13077.00,52838.00,0.036444,303.674
0.330000,1000,4000,0.9,0.01,13577.00,49735.00,0.033520,303.674
0.330000,1000,4000,0.9,0.01,13776.00,48772.00,0.047725,303.674
0.330000,1000,4000,0.9,0.01,15710.00,43356.00,0.026174,303.674
0.330000,1000,4000,0.9,0.01,15801.00,43185.00,0.044091,303.674
0.330000,1000,4000,0.9,0.01,14177.00,47010.00,0.023964,303.674
0.330000,1000,4000,0.9,0.01,12961.00,53944.00,0.011063,303.674
0.330000,1000,4000,0.9,0.01,12849.00,54148.00,0.045229,303.674
0.330000,1000,4000,0.9,0.01,16416.00,42744.00,0.030207,303.674
0.330000,1000,4000,0.9,0.01,13527.00,49994.00,0.016056,303.674
0.330000,1000,4000,0.9,0.01,13125.00,52555.00,0.033991,303.674
0.330000,1000,4000,0.9,0.01,13479.00,50213.00,0.044337,303.674
0.330000,1000,4000,0.9,0.01,12755.00,55061.00,0.059814,303.674
0.330000,1000,4000,0.9,0.01,14999.00,44643.00,0.036995,303.674
0.330000,1000,4000,0.9,0.01,16522.00,42416.00,0.042635,303.674
0.330000,1000,4000,0.9,0.01,14024.00,47550.00,0.032068,303.674
0.330000,1000,4000,0.9,0.01,13590.00,49036.00,0.053921,303.674
0.330000,1000,4000,0.9,0.01,12892.00,54132.00,0.012820,303.674
0.330000,1000,4000,0.9,0.01,14236.00,46258.00,0.062199,303.674
0.330000,1000,4000,0.9,0.01,12649.00,58631.00,100000000000000.000000,303.674
0.330000,1000,4000,0.9,0.01,12673.00,57402.00,0.092049,303.674
0.330000,1000,4000,0.9,0.01,12978.00,53887.00,0.013691,303.674
0.330000,1000,4000,0.9,0.01,13783.00,48252.00,0.018038,303.674
0.330000,1000,4000,0.9,0.01,12739.00,55665.00,0.081467,303.674
0.330000,1000,4000,0.9,0.01,14703.00,45613.00,0.009304,303.674
0.330000,1000,4000,0.9,0.01,12985.00,53592.00,0.022301,303.674
0.330000,1000,4000,0.9,0.01,15175.00,44373.00,0.051045,303.674
0.330000,1000,4000,0.9,0.01,16448.00,42610.00,0.023085,303.674
0.330000,1000,4000,0.9,0.01,14810.00,45419.00,0.025912,303.674
0.330000,1000,4000,0.9,0.01,13793.00,48249.00,0.007604,303.674
0.330000,1000,4000,0.9,0.01,14662.00,45726.00,0.031899,303.674
0.330000,1000,4000,0.9,0.01,13299.00,50525.00,0.059390,303.674
0.330000,1000,4000,0.9,0.01,14179.00,46625.00,0.030203,303.674
0.330000,1000,4000,0.9,0.01,14172.00,47383.00,0.035350,303.674
0.330000,1000,4000,0.9,0.01,12653.00,58337.00,0.040417,303.674
