Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,6635.00,15493.00,0.009537,171.309
0.100000,1000,4000,0.9,0.01,6086.00,16594.00,0.007506,171.309
0.100000,1000,4000,0.9,0.01,7411.00,14683.00,100000000000000.000000,171.309
0.100000,1000,4000,0.9,0.01,5245.00,19684.00,0.025181,171.309
0.100000,1000,4000,0.9,0.01,6378.00,15903.00,0.011297,171.309
0.100000,1000,4000,0.9,0.01,6634.00,15526.00,0.006299,171.309
0.100000,1000,4000,0.9,0.01,5371.00,19173.00,0.009253,171.309
0.100000,1000,4000,0.9,0.01,5347.00,19181.00,0.011891,171.309
0.100000,1000,4000,0.9,0.01,5821.00,17355.00,0.012535,171.309
0.100000,1000,4000,0.9,0.01,5195.00,19966.00,0.007223,171.309
0.100000,1000,4000,0.9,0.01,4637.00,23768.00,0.009467,171.309
0.100000,1000,4000,0.9,0.01,5852.00,17295.00,0.011856,171.309
0.100000,1000,4000,0.9,0.01,5651.00,17988.00,0.008473,171.309
0.100000,1000,4000,0.9,0.01,4546.00,24808.00,0.041923,171.309
0.100000,1000,4000,0.9,0.01,6513.00,15652.00,0.003307,171.309
0.100000,1000,4000,0.9,0.01,4642.00,23449.00,0.020621,171.309
0.100000,1000,4000,0.9,0.01,6712.00,15307.00,0.016994,171.309
0.100000,1000,4000,0.9,0.01,5488.00,18706.00,0.003493,171.309
0.100000,1000,4000,0.9,0.01,4522.00,25944.00,100000000000000.000000,171.309
0.100000,1000,4000,0.9,0.01,4835.00,22005.00,0.007160,171.309
0.100000,1000,4000,0.9,0.01,5003.00,21057.00,0.016661,171.309
0.100000,1000,4000,0.9,0.01,6515.00,15627.00,0.008251,171.309
0.100000,1000,4000,0.9,0.01,5252.00,19439.00,0.025332,171.309
0.100000,1000,4000,0.9,0.01,7129.00,14851.00,0.030915,171.309
0.100000,1000,4000,0.9,0.01,6544.00,15587.00,0.020420,171.309
0.100000,1000,4000,0.9,0.01,4785.00,22381.00,0.009656,171.309
0.100000,1000,4000,0.9,0.01,4797.00,22293.00,0.010077,171.309
0.100000,1000,4000,0.9,0.01,6636.00,15319.00,0.021585,171.309
0.100000,1000,4000,0.9,0.01,6510.00,15682.00,0.006145,171.309
0.100000,1000,4000,0.9,0.01,6614.00,15553.00,0.018285,171.309
0.100000,1000,4000,0.9,0.01,5041.00,20780.00,0.016330,171.309
0.100000,1000,4000,0.9,0.01,5207.00,19954.00,0.008084,171.309
0.100000,1000,4000,0.9,0.01,5915.00,17059.00,0.013086,171.309
0.100000,1000,4000,0.9,0.01,5328.00,19437.00,0.020515,171.309
0.100000,1000,4000,0.9,0.01,5764.00,17605.00,0.007834,171.309
0.100000,1000,4000,0.9,0.01,5214.00,19858.00,0.018565,171.309
0.100000,1000,4000,0.9,0.01,4923.00,21523.00,0.004989,171.309
0.100000,1000,4000,0.9,0.01,5797.00,17478.00,0.009668,171.309
0.100000,1000,4000,0.9,0.01,6448.00,15813.00,0.005375,171.309
0.100000,1000,4000,0.9,0.01,6731.00,15184.00,0.020662,171.309
0.100000,1000,4000,0.9,0.01,5646.00,18013.00,0.007374,171.309
0.100000,1000,4000,0.9,0.01,5642.00,18119.00,0.011381,171.309
0.100000,1000,4000,0.9,0.01,4981.00,21241.00,0.015278,171.309
0.100000,1000,4000,0.9,0.01,6942.00,14937.00,0.028235,171.309
0.100000,1000,4000,0.9,0.01,6184.00,16367.00,0.013201,171.309
0.100000,1000,4000,0.9,0.01,5731.00,17763.00,0.005540,171.309
0.100000,1000,4000,0.9,0.01,5077.00,20449.00,0.020080,171.309
0.100000,1000,4000,0.9,0.01,7216.00,14822.00,0.031236,171.309
0.100000,1000,4000,0.9,0.01,6070.00,16614.00,0.009570,171.309
0.100000,1000,4000,0.9,0.01,4714.00,23000.00,0.005416,171.309
0.100000,1000,4000,0.9,0.01,5164.00,20228.00,0.008559,171.309
0.100000,1000,4000,0.9,0.01,6260.00,16168.00,0.005215,171.309
0.100000,1000,4000,0.9,0.01,6283.00,16138.00,0.007181,171.309
0.100000,1000,4000,0.9,0.01,5953.00,16845.00,0.026046,171.309
0.100000,1000,4000,0.9,0.01,4674.00,23393.00,0.011510,171.309
0.100000,1000,4000,0.9,0.01,4924.00,21508.00,0.012870,171.309
0.100000,1000,4000,0.9,0.01,4820.00,22031.00,0.013452,171.309
0.100000,1000,4000,0.9,0.01,5461.00,18780.00,0.005975,171.309
0.100000,1000,4000,0.9,0.01,6041.00,16748.00,0.010701,171.309
0.100000,1000,4000,0.9,0.01,5688.00,17852.00,0.009774,171.309
0.100000,1000,4000,0.9,0.01,5154.00,20252.00,0.017989,171.309
0.100000,1000,4000,0.9,0.01,6792.00,15079.00,0.037648,171.309
0.100000,1000,4000,0.9,0.01,4738.00,22706.00,0.017892,171.309
0.100000,1000,4000,0.9,0.01,4780.00,22538.00,0.010731,171.309
0.100000,1000,4000,0.9,0.01,6013.00,16766.00,0.019537,171.309
0.100000,1000,4000,0.9,0.01,6197.00,16298.00,0.013099,171.309
0.100000,1000,4000,0.9,0.01,4892.00,21645.00,0.011373,171.309
0.100000,1000,4000,0.9,0.01,4772.00,22572.00,0.007977,171.309
0.100000,1000,4000,0.9,0.01,4576.00,24481.00,0.031342,171.309
0.100000,1000,4000,0.9,0.01,5591.00,18225.00,0.021443,171.309
0.100000,1000,4000,0.9,0.01,5448.00,18820.00,0.012390,171.309
0.100000,1000,4000,0.9,0.01,6507.00,15767.00,0.009574,171.309
0.100000,1000,4000,0.9,0.01,4757.00,22628.00,0.006095,171.309
0.100000,1000,4000,0.9,0.01,6392.00,15901.00,0.007691,171.309
0.100000,1000,4000,0.9,0.01,5398.00,19145.00,0.009296,171.309
0.100000,1000,4000,0.9,0.01,5784.00,17530.00,0.011350,171.309
0.100000,1000,4000,0.9,0.01,4992.00,21158.00,0.011977,171.309
0.100000,1000,4000,0.9,0.01,5194.00,20066.00,0.010006,171.309
0.100000,1000,4000,0.9,0.01,4721.00,22976.00,0.005055,171.309
0.100000,1000,4000,0.9,0.01,4679.00,23334.00,0.014815,171.309
0.100000,1000,4000,0.9,0.01,4735.00,22968.00,0.014930,171.309
0.100000,1000,4000,0.9,0.01,6477.00,15769.00,0.010820,171.309
0.100000,1000,4000,0.9,0.01,6304.00,16117.00,0.009064,171.309
0.100000,1000,4000,0.9,0.01,6272.00,16154.00,0.005313,171.309
0.100000,1000,4000,0.9,0.01,7062.00,14918.00,0.036183,171.309
0.100000,1000,4000,0.9,0.01,4815.00,22230.00,0.015614,171.309
0.100000,1000,4000,0.9,0.01,6415.00,15874.00,0.009658,171.309
0.100000,1000,4000,0.9,0.01,4795.00,22379.00,0.005984,171.309
0.100000,1000,4000,0.9,0.01,4687.00,23110.00,0.017749,171.309
0.100000,1000,4000,0.9,0.01,4755.00,22643.00,0.006752,171.309
0.100000,1000,4000,0.9,0.01,5392.00,19148.00,0.005916,171.309
0.100000,1000,4000,0.9,0.01,6311.00,16043.00,0.005851,171.309
0.100000,1000,4000,0.9,0.01,6316.00,16032.00,0.009027,171.309
0.100000,1000,4000,0.9,0.01,6089.00,16519.00,0.019152,171.309
0.100000,1000,4000,0.9,0.01,5070.00,20719.00,0.020927,171.309
0.100000,1000,4000,0.9,0.01,5860.00,17240.00,0.012220,171.309
0.100000,1000,4000,0.9,0.01,4839.00,21912.00,0.009686,171.309
0.100000,1000,4000,0.9,0.01,6717.00,15252.00,0.008750,171.309
0.100000,1000,4000,0.9,0.01,5677.00,17943.00,0.010769,171.309
0.100000,1000,4000,0.9,0.01,4529.00,25242.00,0.054593,171.309
0.100000,1000,4000,0.9,0.01,4837.00,21936.00,0.004822,171.309
0.100000,1000,4000,0.9,0.01,5421.00,18998.00,0.006596,171.309
0.100000,1000,4000,0.9,0.01,5889.00,17164.00,0.017555,171.309
0.100000,1000,4000,0.9,0.01,4602.00,23790.00,0.030584,171.309
0.100000,1000,4000,0.9,0.01,5330.00,19281.00,0.014655,171.309
0.100000,1000,4000,0.9,0.01,4880.00,21705.00,0.012754,171.309
