Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,5497.00,18445.00,0.005702,138.617
0.100000,1000,4000,0.9,0.01,4602.00,23356.00,0.004710,138.617
0.100000,1000,4000,0.9,0.01,4642.00,23089.00,0.003547,138.617
0.100000,1000,4000,0.9,0.01,4646.00,22926.00,0.009232,138.617
0.100000,1000,4000,0.9,0.01,4512.00,24131.00,0.006826,138.617
0.100000,1000,4000,0.9,0.01,5830.00,17239.00,0.006783,138.617
0.100000,1000,4000,0.9,0.01,5928.00,16924.00,0.007465,138.617
0.100000,1000,4000,0.9,0.01,4580.00,23476.00,0.010710,138.617
0.100000,1000,4000,0.9,0.01,7045.00,14410.00,0.012374,138.617
0.100000,1000,4000,0.9,0.01,5962.00,16806.00,0.007290,138.617
0.100000,1000,4000,0.9,0.01,6543.00,15413.00,0.007333,138.617
0.100000,1000,4000,0.9,0.01,6520.00,15448.00,0.008787,138.617
0.100000,1000,4000,0.9,0.01,5403.00,18762.00,0.007367,138.617
0.100000,1000,4000,0.9,0.01,4557.00,23598.00,0.013513,138.617
0.100000,1000,4000,0.9,0.01,5474.00,18513.00,0.005309,138.617
0.100000,1000,4000,0.9,0.01,6501.00,15459.00,0.008113,138.617
0.100000,1000,4000,0.9,0.01,4590.00,23370.00,0.006126,138.617
0.100000,1000,4000,0.9,0.01,6476.00,15591.00,0.003508,138.617
0.100000,1000,4000,0.9,0.01,5872.00,17035.00,0.010680,138.617
0.100000,1000,4000,0.9,0.01,6644.00,15103.00,0.008373,138.617
0.100000,1000,4000,0.9,0.01,6775.00,14913.00,0.003288,138.617
0.100000,1000,4000,0.9,0.01,5902.00,16958.00,0.009211,138.617
0.100000,1000,4000,0.9,0.01,5660.00,17835.00,0.002939,138.617
0.100000,1000,4000,0.9,0.01,5102.00,20243.00,0.001970,138.617
0.100000,1000,4000,0.9,0.01,4468.00,24549.00,0.006805,138.617
0.100000,1000,4000,0.9,0.01,6979.00,14555.00,0.010312,138.617
0.100000,1000,4000,0.9,0.01,6651.00,15070.00,0.013107,138.617
0.100000,1000,4000,0.9,0.01,6869.00,14696.00,0.024919,138.617
0.100000,1000,4000,0.9,0.01,6371.00,15747.00,0.009803,138.617
0.100000,1000,4000,0.9,0.01,5957.00,16841.00,0.004484,138.617
0.100000,1000,4000,0.9,0.01,5807.00,17317.00,0.004346,138.617
0.100000,1000,4000,0.9,0.01,6481.00,15534.00,0.004413,138.617
0.100000,1000,4000,0.9,0.01,4488.00,24413.00,0.002445,138.617
0.100000,1000,4000,0.9,0.01,5545.00,18177.00,0.008066,138.617
0.100000,1000,4000,0.9,0.01,4941.00,21140.00,0.003065,138.617
0.100000,1000,4000,0.9,0.01,6762.00,14947.00,0.005596,138.617
0.100000,1000,4000,0.9,0.01,6197.00,16201.00,0.003523,138.617
0.100000,1000,4000,0.9,0.01,4986.00,20819.00,0.006370,138.617
0.100000,1000,4000,0.9,0.01,6239.00,16029.00,0.009215,138.617
0.100000,1000,4000,0.9,0.01,5684.00,17685.00,0.006670,138.617
0.100000,1000,4000,0.9,0.01,4515.00,24061.00,0.008035,138.617
0.100000,1000,4000,0.9,0.01,7104.00,14409.00,0.022037,138.617
0.100000,1000,4000,0.9,0.01,7038.00,14446.00,0.013482,138.617
0.100000,1000,4000,0.9,0.01,4525.00,23986.00,0.011015,138.617
0.100000,1000,4000,0.9,0.01,6237.00,16104.00,0.006291,138.617
0.100000,1000,4000,0.9,0.01,5437.00,18673.00,0.004789,138.617
0.100000,1000,4000,0.9,0.01,4384.00,25682.00,0.005714,138.617
0.100000,1000,4000,0.9,0.01,5325.00,19168.00,0.003808,138.617
0.100000,1000,4000,0.9,0.01,6590.00,15319.00,0.004513,138.617
0.100000,1000,4000,0.9,0.01,4750.00,22323.00,0.003427,138.617
0.100000,1000,4000,0.9,0.01,6427.00,15653.00,0.005615,138.617
0.100000,1000,4000,0.9,0.01,6344.00,15779.00,0.008071,138.617
0.100000,1000,4000,0.9,0.01,4933.00,21180.00,0.001230,138.617
0.100000,1000,4000,0.9,0.01,4871.00,21515.00,0.004360,138.617
0.100000,1000,4000,0.9,0.01,6174.00,16271.00,0.005048,138.617
0.100000,1000,4000,0.9,0.01,6408.00,15700.00,0.008988,138.617
0.100000,1000,4000,0.9,0.01,6308.00,15907.00,0.008967,138.617
0.100000,1000,4000,0.9,0.01,4833.00,21748.00,0.001842,138.617
0.100000,1000,4000,0.9,0.01,5002.00,20752.00,0.002650,138.617
0.100000,1000,4000,0.9,0.01,4552.00,23695.00,0.007288,138.617
0.100000,1000,4000,0.9,0.01,5018.00,20688.00,0.003594,138.617
0.100000,1000,4000,0.9,0.01,5449.00,18612.00,0.004757,138.617
0.100000,1000,4000,0.9,0.01,6547.00,15377.00,0.004672,138.617
0.100000,1000,4000,0.9,0.01,7249.00,14235.00,0.017088,138.617
0.100000,1000,4000,0.9,0.01,6808.00,14774.00,0.020073,138.617
0.100000,1000,4000,0.9,0.01,5149.00,19946.00,0.010409,138.617
0.100000,1000,4000,0.9,0.01,6632.00,15199.00,0.013760,138.617
0.100000,1000,4000,0.9,0.01,6594.00,15314.00,0.003913,138.617
0.100000,1000,4000,0.9,0.01,5591.00,18065.00,0.006456,138.617
0.100000,1000,4000,0.9,0.01,4706.00,22472.00,0.012465,138.617
0.100000,1000,4000,0.9,0.01,5599.00,18055.00,0.004214,138.617
0.100000,1000,4000,0.9,0.01,5081.00,20420.00,0.006383,138.617
0.100000,1000,4000,0.9,0.01,4408.00,25121.00,0.009301,138.617
0.100000,1000,4000,0.9,0.01,4543.00,23847.00,0.003033,138.617
0.100000,1000,4000,0.9,0.01,5641.00,17899.00,0.003600,138.617
0.100000,1000,4000,0.9,0.01,6930.00,14595.00,0.012145,138.617
0.100000,1000,4000,0.9,0.01,5529.00,18292.00,0.006353,138.617
0.100000,1000,4000,0.9,0.01,5604.00,18014.00,0.006456,138.617
0.100000,1000,4000,0.9,0.01,5278.00,19442.00,0.005789,138.617
0.100000,1000,4000,0.9,0.01,5661.00,17808.00,0.002738,138.617
0.100000,1000,4000,0.9,0.01,5726.00,17567.00,0.004614,138.617
0.100000,1000,4000,0.9,0.01,5781.00,17408.00,0.004838,138.617
0.100000,1000,4000,0.9,0.01,4631.00,23118.00,0.004002,138.617
0.100000,1000,4000,0.9,0.01,4354.00,26419.00,100000000000000.000000,138.617
0.100000,1000,4000,0.9,0.01,4766.00,22187.00,0.003868,138.617
0.100000,1000,4000,0.9,0.01,4464.00,24643.00,0.005829,138.617
0.100000,1000,4000,0.9,0.01,4609.00,23319.00,0.001598,138.617
0.100000,1000,4000,0.9,0.01,5357.00,18974.00,0.009844,138.617
0.100000,1000,4000,0.9,0.01,6074.00,16548.00,0.003414,138.617
0.100000,1000,4000,0.9,0.01,5205.00,19755.00,0.002490,138.617
0.100000,1000,4000,0.9,0.01,6561.00,15371.00,0.005788,138.617
0.100000,1000,4000,0.9,0.01,6121.00,16433.00,0.004184,138.617
0.100000,1000,4000,0.9,0.01,5087.00,20319.00,0.001801,138.617
0.100000,1000,4000,0.9,0.01,5016.00,20712.00,0.002950,138.617
0.100000,1000,4000,0.9,0.01,5219.00,19730.00,0.005147,138.617
0.100000,1000,4000,0.9,0.01,5227.00,19609.00,0.006336,138.617
0.100000,1000,4000,0.9,0.01,4420.00,24998.00,0.011889,138.617
0.100000,1000,4000,0.9,0.01,4393.00,25599.00,0.005637,138.617
0.100000,1000,4000,0.9,0.01,6282.00,15952.00,0.002783,138.617
0.100000,1000,4000,0.9,0.01,5061.00,20482.00,0.005844,138.617
0.100000,1000,4000,0.9,0.01,5683.00,17722.00,0.003878,138.617
0.100000,1000,4000,0.9,0.01,5222.00,19635.00,0.003063,138.617
0.100000,1000,4000,0.9,0.01,6223.00,16157.00,0.004995,138.617
0.100000,1000,4000,0.9,0.01,4852.00,21590.00,0.003553,138.617
0.100000,1000,4000,0.9,0.01,4944.00,21090.00,0.003957,138.617
0.100000,1000,4000,0.9,0.01,4443.00,24729.00,0.006424,138.617
0.100000,1000,4000,0.9,0.01,5258.00,19459.00,0.006873,138.617
0.100000,1000,4000,0.9,0.01,6110.00,16437.00,0.003938,138.617
0.100000,1000,4000,0.9,0.01,4965.00,20977.00,0.004539,138.617
0.100000,1000,4000,0.9,0.01,4548.00,23831.00,0.002079,138.617
0.100000,1000,4000,0.9,0.01,5405.00,18755.00,0.006265,138.617
0.100000,1000,4000,0.9,0.01,5116.00,20200.00,0.006572,138.617
0.100000,1000,4000,0.9,0.01,5845.00,17204.00,0.005157,138.617
0.100000,1000,4000,0.9,0.01,4955.00,21022.00,0.006049,138.617
0.100000,1000,4000,0.9,0.01,4814.00,21910.00,0.002409,138.617
0.100000,1000,4000,0.9,0.01,4489.00,24386.00,0.002777,138.617
0.100000,1000,4000,0.9,0.01,4669.00,22897.00,0.001350,138.617
0.100000,1000,4000,0.9,0.01,6095.00,16499.00,0.002423,138.617
0.100000,1000,4000,0.9,0.01,4736.00,22461.00,0.009904,138.617
0.100000,1000,4000,0.9,0.01,4872.00,21482.00,0.003470,138.617
0.100000,1000,4000,0.9,0.01,5676.00,17748.00,0.005643,138.617
0.100000,1000,4000,0.9,0.01,6982.00,14552.00,0.003281,138.617
0.100000,1000,4000,0.9,0.01,5652.00,17864.00,0.002456,138.617
0.100000,1000,4000,0.9,0.01,5208.00,19734.00,0.003322,138.617
0.100000,1000,4000,0.9,0.01,5786.00,17398.00,0.002133,138.617
0.100000,1000,4000,0.9,0.01,4834.00,21734.00,0.002899,138.617
0.100000,1000,4000,0.9,0.01,6044.00,16607.00,0.003647,138.617
0.100000,1000,4000,0.9,0.01,5381.00,18839.00,0.007938,138.617
0.100000,1000,4000,0.9,0.01,5378.00,18856.00,0.009440,138.617
0.100000,1000,4000,0.9,0.01,5704.00,17643.00,0.008483,138.617
0.100000,1000,4000,0.9,0.01,5615.00,17961.00,0.007253,138.617
0.100000,1000,4000,0.9,0.01,6341.00,15824.00,0.006068,138.617
0.100000,1000,4000,0.9,0.01,5863.00,17150.00,0.010052,138.617
