Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,1610.00,2149.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,934.00,3124.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,704.00,5577.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,876.00,3468.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,1243.00,2380.00,0.003229,84.059
0.100000,1000,4000,0.9,0.01,794.00,4106.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,720.00,4911.00,0.007084,84.059
0.100000,1000,4000,0.9,0.01,1132.00,2572.00,0.003780,84.059
0.100000,1000,4000,0.9,0.01,1427.00,2183.00,0.007352,84.059
0.100000,1000,4000,0.9,0.01,1052.00,2738.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,795.00,4091.00,0.005886,84.059
0.100000,1000,4000,0.9,0.01,753.00,4500.00,0.003146,84.059
0.100000,1000,4000,0.9,0.01,802.00,4029.00,0.005594,84.059
0.100000,1000,4000,0.9,0.01,948.00,3055.00,0.004687,84.059
0.100000,1000,4000,0.9,0.01,1124.00,2588.00,0.002125,84.059
0.100000,1000,4000,0.9,0.01,908.00,3275.00,0.002708,84.059
0.100000,1000,4000,0.9,0.01,1036.00,2779.00,0.000000,84.059
0.100000,1000,4000,0.9,0.01,1375.00,2224.00,0.007238,84.059
0.100000,1000,4000,0.9,0.01,1481.00,2169.00,0.006914,84.059
0.100000,1000,4000,0.9,0.01,1215.00,2427.00,0.003489,84.059
0.100000,1000,4000,0.9,0.01,736.00,4691.00,0.004167,84.059
0.100000,1000,4000,0.9,0.01,1222.00,2416.00,0.003197,84.059
0.100000,1000,4000,0.9,0.01,778.00,4249.00,0.005594,84.059
0.100000,1000,4000,0.9,0.01,738.00,4660.00,0.005886,84.059
0.100000,1000,4000,0.9,0.01,1065.00,2704.00,0.004541,84.059
0.100000,1000,4000,0.9,0.01,904.00,3302.00,0.003146,84.059
0.100000,1000,4000,0.9,0.01,1463.00,2174.00,0.005956,84.059
