Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,11454.00,33320.00,0.000000,310.929
0.100000,1000,4000,0.9,0.01,6742.00,101239.00,100000000000000.000000,310.929
0.100000,1000,4000,0.9,0.01,9976.00,54072.00,0.001007,310.929
0.100000,1000,4000,0.9,0.01,18242.00,27268.00,0.008219,310.929
0.100000,1000,4000,0.9,0.01,14006.00,31495.00,0.001244,310.929
0.100000,1000,4000,0.9,0.01,24252.00,21617.00,0.003870,310.929
0.100000,1000,4000,0.9,0.01,23925.00,21998.00,0.005934,310.929
0.100000,1000,4000,0.9,0.01,26605.00,19684.00,0.001344,310.929
0.100000,1000,4000,0.9,0.01,19388.00,26123.00,0.008891,310.929
0.100000,1000,4000,0.9,0.01,25717.00,20466.00,0.008266,310.929
0.100000,1000,4000,0.9,0.01,7790.00,85694.00,0.012204,310.929
0.100000,1000,4000,0.9,0.01,7410.00,92008.00,0.005933,310.929
0.100000,1000,4000,0.9,0.01,27216.00,18975.00,0.016210,310.929
0.100000,1000,4000,0.9,0.01,10463.00,47553.00,0.002011,310.929
0.100000,1000,4000,0.9,0.01,9810.00,56210.00,0.004043,310.929
0.100000,1000,4000,0.9,0.01,10180.00,49955.00,0.010269,310.929
0.100000,1000,4000,0.9,0.01,10795.00,43351.00,0.006430,310.929
0.100000,1000,4000,0.9,0.01,6834.00,100635.00,0.006340,310.929
0.100000,1000,4000,0.9,0.01,20720.00,24672.00,0.012203,310.929
0.100000,1000,4000,0.9,0.01,14851.00,30534.00,0.008118,310.929
0.100000,1000,4000,0.9,0.01,19402.00,25685.00,0.008369,310.929
0.100000,1000,4000,0.9,0.01,21208.00,24241.00,0.008016,310.929
0.100000,1000,4000,0.9,0.01,10209.00,49435.00,0.009922,310.929
0.100000,1000,4000,0.9,0.01,19161.00,26186.00,0.007930,310.929
0.100000,1000,4000,0.9,0.01,25272.00,20837.00,0.003468,310.929
0.100000,1000,4000,0.9,0.01,20139.00,25478.00,0.003504,310.929
0.100000,1000,4000,0.9,0.01,7453.00,90898.00,0.006025,310.929
0.100000,1000,4000,0.9,0.01,7276.00,93897.00,0.006562,310.929
0.100000,1000,4000,0.9,0.01,8660.00,72248.00,0.003109,310.929
0.100000,1000,4000,0.9,0.01,7776.00,86291.00,0.004594,310.929
0.100000,1000,4000,0.9,0.01,16120.00,29167.00,0.010032,310.929
0.100000,1000,4000,0.9,0.01,11000.00,40615.00,0.001672,310.929
