Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,5349.00,17454.00,0.000000,166.160
0.100000,1000,4000,0.9,0.01,12092.00,9478.00,0.000000,166.160
0.100000,1000,4000,0.9,0.01,4156.00,26678.00,0.007203,166.160
0.100000,1000,4000,0.9,0.01,6059.00,15952.00,0.002444,166.160
0.100000,1000,4000,0.9,0.01,7966.00,12716.00,0.005391,166.160
0.100000,1000,4000,0.9,0.01,5218.00,18393.00,0.004353,166.160
0.100000,1000,4000,0.9,0.01,7780.00,13016.00,0.005903,166.160
0.100000,1000,4000,0.9,0.01,5888.00,16394.00,0.005115,166.160
0.100000,1000,4000,0.9,0.01,5857.00,16493.00,0.003484,166.160
0.100000,1000,4000,0.9,0.01,5838.00,16550.00,0.002127,166.160
0.100000,1000,4000,0.9,0.01,6941.00,14267.00,0.007112,166.160
0.100000,1000,4000,0.9,0.01,4541.00,23009.00,0.001830,166.160
0.100000,1000,4000,0.9,0.01,5340.00,17572.00,0.003747,166.160
0.100000,1000,4000,0.9,0.01,4110.00,27175.00,0.003106,166.160
0.100000,1000,4000,0.9,0.01,10132.00,10506.00,0.008243,166.160
0.100000,1000,4000,0.9,0.01,5617.00,16952.00,0.003742,166.160
0.100000,1000,4000,0.9,0.01,4427.00,23838.00,0.002101,166.160
0.100000,1000,4000,0.9,0.01,11616.00,9703.00,0.005328,166.160
0.100000,1000,4000,0.9,0.01,5516.00,17191.00,0.002388,166.160
0.100000,1000,4000,0.9,0.01,3468.00,38587.00,0.010134,166.160
0.100000,1000,4000,0.9,0.01,4664.00,21727.00,0.009928,166.160
0.100000,1000,4000,0.9,0.01,6472.00,15198.00,0.001961,166.160
0.100000,1000,4000,0.9,0.01,4421.00,23888.00,0.004788,166.160
0.100000,1000,4000,0.9,0.01,4243.00,25766.00,0.004176,166.160
0.100000,1000,4000,0.9,0.01,7895.00,12883.00,0.004543,166.160
0.100000,1000,4000,0.9,0.01,3781.00,31785.00,0.007950,166.160
0.100000,1000,4000,0.9,0.01,5336.00,17661.00,0.003898,166.160
0.100000,1000,4000,0.9,0.01,5654.00,16913.00,0.004111,166.160
0.100000,1000,4000,0.9,0.01,4553.00,22921.00,0.002388,166.160
0.100000,1000,4000,0.9,0.01,5277.00,17978.00,0.003582,166.160
0.100000,1000,4000,0.9,0.01,9444.00,11102.00,0.004262,166.160
0.100000,1000,4000,0.9,0.01,5244.00,18254.00,0.002641,166.160
0.100000,1000,4000,0.9,0.01,10727.00,10123.00,0.005558,166.160
0.100000,1000,4000,0.9,0.01,10257.00,10462.00,0.002225,166.160
0.100000,1000,4000,0.9,0.01,5246.00,18220.00,0.002310,166.160
0.100000,1000,4000,0.9,0.01,10014.00,10596.00,0.007086,166.160
0.100000,1000,4000,0.9,0.01,9695.00,10905.00,0.003633,166.160
0.100000,1000,4000,0.9,0.01,3429.00,39387.00,0.011181,166.160
0.100000,1000,4000,0.9,0.01,5725.00,16815.00,0.001848,166.160
0.100000,1000,4000,0.9,0.01,10412.00,10250.00,0.015740,166.160
0.100000,1000,4000,0.9,0.01,4204.00,26199.00,0.004328,166.160
0.100000,1000,4000,0.9,0.01,7705.00,13071.00,0.004844,166.160
0.100000,1000,4000,0.9,0.01,11015.00,10011.00,0.002413,166.160
0.100000,1000,4000,0.9,0.01,5796.00,16566.00,0.003127,166.160
0.100000,1000,4000,0.9,0.01,4332.00,24857.00,0.001115,166.160
0.100000,1000,4000,0.9,0.01,6449.00,15227.00,0.004343,166.160
0.100000,1000,4000,0.9,0.01,12003.00,9524.00,0.003618,166.160
0.100000,1000,4000,0.9,0.01,6319.00,15463.00,0.003625,166.160
0.100000,1000,4000,0.9,0.01,3926.00,29025.00,0.010745,166.160
0.100000,1000,4000,0.9,0.01,9022.00,11436.00,0.009654,166.160
0.100000,1000,4000,0.9,0.01,7553.00,13290.00,0.002520,166.160
0.100000,1000,4000,0.9,0.01,4228.00,25807.00,0.004878,166.160
0.100000,1000,4000,0.9,0.01,12074.00,9489.00,0.002397,166.160
0.100000,1000,4000,0.9,0.01,5993.00,16157.00,0.002181,166.160
0.100000,1000,4000,0.9,0.01,5740.00,16717.00,0.003416,166.160
0.100000,1000,4000,0.9,0.01,5756.00,16620.00,0.003206,166.160
0.100000,1000,4000,0.9,0.01,5094.00,19243.00,0.001431,166.160
0.100000,1000,4000,0.9,0.01,4978.00,19983.00,0.005040,166.160
0.100000,1000,4000,0.9,0.01,3902.00,29773.00,0.005102,166.160
0.100000,1000,4000,0.9,0.01,3510.00,37020.00,0.011501,166.160
0.100000,1000,4000,0.9,0.01,4195.00,26404.00,0.004583,166.160
0.100000,1000,4000,0.9,0.01,5403.00,17425.00,0.001734,166.160
0.100000,1000,4000,0.9,0.01,5075.00,19470.00,0.002737,166.160
0.100000,1000,4000,0.9,0.01,4608.00,22606.00,0.005733,166.160
0.100000,1000,4000,0.9,0.01,6583.00,15019.00,0.001091,166.160
0.100000,1000,4000,0.9,0.01,10670.00,10180.00,0.010160,166.160
0.100000,1000,4000,0.9,0.01,5045.00,19550.00,0.002688,166.160
0.100000,1000,4000,0.9,0.01,8469.00,12115.00,0.004937,166.160
0.100000,1000,4000,0.9,0.01,6290.00,15491.00,0.004194,166.160
0.100000,1000,4000,0.9,0.01,11940.00,9537.00,0.005607,166.160
0.100000,1000,4000,0.9,0.01,3369.00,41946.00,0.017598,166.160
0.100000,1000,4000,0.9,0.01,8511.00,12039.00,0.003193,166.160
0.100000,1000,4000,0.9,0.01,7925.00,12813.00,0.001543,166.160
0.100000,1000,4000,0.9,0.01,11212.00,9859.00,0.017702,166.160
0.100000,1000,4000,0.9,0.01,4892.00,20440.00,0.005822,166.160
0.100000,1000,4000,0.9,0.01,9162.00,11381.00,0.003100,166.160
0.100000,1000,4000,0.9,0.01,5105.00,19214.00,0.000836,166.160
0.100000,1000,4000,0.9,0.01,6879.00,14370.00,0.007961,166.160
0.100000,1000,4000,0.9,0.01,7418.00,13428.00,0.004873,166.160
0.100000,1000,4000,0.9,0.01,10545.00,10231.00,0.009619,166.160
0.100000,1000,4000,0.9,0.01,7289.00,13664.00,0.002489,166.160
0.100000,1000,4000,0.9,0.01,3602.00,34631.00,0.010797,166.160
0.100000,1000,4000,0.9,0.01,6579.00,15021.00,0.003346,166.160
0.100000,1000,4000,0.9,0.01,4529.00,23036.00,0.001377,166.160
0.100000,1000,4000,0.9,0.01,3767.00,32182.00,0.008697,166.160
0.100000,1000,4000,0.9,0.01,7650.00,13128.00,0.008984,166.160
0.100000,1000,4000,0.9,0.01,4216.00,25996.00,0.007061,166.160
0.100000,1000,4000,0.9,0.01,4338.00,24825.00,0.001820,166.160
0.100000,1000,4000,0.9,0.01,11008.00,10027.00,0.014755,166.160
0.100000,1000,4000,0.9,0.01,7019.00,14203.00,0.005177,166.160
0.100000,1000,4000,0.9,0.01,3528.00,36857.00,0.012875,166.160
0.100000,1000,4000,0.9,0.01,3350.00,42160.00,0.007424,166.160
0.100000,1000,4000,0.9,0.01,4330.00,24914.00,0.003113,166.160
