Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,10690.00,10796.00,0.000000,155.177
0.100000,1000,4000,0.9,0.01,5415.00,18456.00,0.000000,155.177
0.100000,1000,4000,0.9,0.01,4766.00,22286.00,0.001354,155.177
0.100000,1000,4000,0.9,0.01,6430.00,15456.00,0.002950,155.177
0.100000,1000,4000,0.9,0.01,5163.00,19824.00,0.005745,155.177
0.100000,1000,4000,0.9,0.01,3778.00,33326.00,0.010107,155.177
0.100000,1000,4000,0.9,0.01,5221.00,19534.00,0.003169,155.177
0.100000,1000,4000,0.9,0.01,4378.00,25265.00,0.004781,155.177
0.100000,1000,4000,0.9,0.01,7158.00,14024.00,0.001222,155.177
0.100000,1000,4000,0.9,0.01,6560.00,15194.00,0.005889,155.177
0.100000,1000,4000,0.9,0.01,3951.00,30060.00,0.002253,155.177
0.100000,1000,4000,0.9,0.01,10381.00,10919.00,0.002437,155.177
0.100000,1000,4000,0.9,0.01,5281.00,19258.00,0.001539,155.177
0.100000,1000,4000,0.9,0.01,6238.00,15979.00,0.003017,155.177
0.100000,1000,4000,0.9,0.01,3730.00,34648.00,0.005036,155.177
0.100000,1000,4000,0.9,0.01,7045.00,14175.00,0.003803,155.177
0.100000,1000,4000,0.9,0.01,9162.00,11577.00,0.005182,155.177
0.100000,1000,4000,0.9,0.01,4118.00,28053.00,0.002482,155.177
0.100000,1000,4000,0.9,0.01,4035.00,28874.00,0.006093,155.177
0.100000,1000,4000,0.9,0.01,3707.00,34940.00,0.001296,155.177
0.100000,1000,4000,0.9,0.01,5682.00,17556.00,0.002854,155.177
0.100000,1000,4000,0.9,0.01,8835.00,11894.00,0.002074,155.177
0.100000,1000,4000,0.9,0.01,9889.00,11133.00,0.006978,155.177
0.100000,1000,4000,0.9,0.01,5296.00,19159.00,0.003095,155.177
0.100000,1000,4000,0.9,0.01,3849.00,31862.00,0.001238,155.177
0.100000,1000,4000,0.9,0.01,8440.00,12205.00,0.006711,155.177
0.100000,1000,4000,0.9,0.01,6447.00,15435.00,0.003022,155.177
0.100000,1000,4000,0.9,0.01,3994.00,29585.00,0.004201,155.177
0.100000,1000,4000,0.9,0.01,4877.00,21547.00,0.001575,155.177
0.100000,1000,4000,0.9,0.01,4338.00,25618.00,0.003124,155.177
0.100000,1000,4000,0.9,0.01,6465.00,15423.00,0.002880,155.177
0.100000,1000,4000,0.9,0.01,5865.00,17017.00,0.001322,155.177
0.100000,1000,4000,0.9,0.01,4397.00,25080.00,0.004093,155.177
0.100000,1000,4000,0.9,0.01,5075.00,20305.00,0.001360,155.177
0.100000,1000,4000,0.9,0.01,8621.00,12015.00,0.003985,155.177
0.100000,1000,4000,0.9,0.01,6055.00,16516.00,0.004166,155.177
0.100000,1000,4000,0.9,0.01,8867.00,11798.00,0.007546,155.177
0.100000,1000,4000,0.9,0.01,7772.00,13066.00,0.004464,155.177
0.100000,1000,4000,0.9,0.01,4795.00,22152.00,0.001801,155.177
0.100000,1000,4000,0.9,0.01,4678.00,23026.00,0.002171,155.177
0.100000,1000,4000,0.9,0.01,8709.00,11969.00,0.002577,155.177
0.100000,1000,4000,0.9,0.01,5170.00,19752.00,0.004997,155.177
0.100000,1000,4000,0.9,0.01,4622.00,23341.00,0.000539,155.177
0.100000,1000,4000,0.9,0.01,5739.00,17397.00,0.003445,155.177
0.100000,1000,4000,0.9,0.01,5791.00,17243.00,0.002239,155.177
0.100000,1000,4000,0.9,0.01,5300.00,19046.00,0.002827,155.177
0.100000,1000,4000,0.9,0.01,8279.00,12342.00,0.007077,155.177
0.100000,1000,4000,0.9,0.01,5108.00,20155.00,0.002136,155.177
0.100000,1000,4000,0.9,0.01,7987.00,12732.00,0.004613,155.177
0.100000,1000,4000,0.9,0.01,9046.00,11730.00,0.003705,155.177
0.100000,1000,4000,0.9,0.01,3787.00,32955.00,0.003547,155.177
0.100000,1000,4000,0.9,0.01,3766.00,33636.00,0.003699,155.177
0.100000,1000,4000,0.9,0.01,6186.00,16136.00,0.001917,155.177
0.100000,1000,4000,0.9,0.01,5939.00,16786.00,0.003066,155.177
0.100000,1000,4000,0.9,0.01,4566.00,23743.00,0.002465,155.177
0.100000,1000,4000,0.9,0.01,4066.00,28736.00,0.003557,155.177
0.100000,1000,4000,0.9,0.01,4535.00,24012.00,0.002336,155.177
0.100000,1000,4000,0.9,0.01,5711.00,17487.00,0.001668,155.177
0.100000,1000,4000,0.9,0.01,5434.00,18399.00,0.003445,155.177
0.100000,1000,4000,0.9,0.01,6260.00,15967.00,0.002966,155.177
0.100000,1000,4000,0.9,0.01,6019.00,16605.00,0.002332,155.177
0.100000,1000,4000,0.9,0.01,7157.00,14042.00,0.000709,155.177
0.100000,1000,4000,0.9,0.01,7388.00,13594.00,0.002602,155.177
0.100000,1000,4000,0.9,0.01,5337.00,18920.00,0.001446,155.177
0.100000,1000,4000,0.9,0.01,4136.00,27779.00,0.004095,155.177
0.100000,1000,4000,0.9,0.01,5507.00,18209.00,0.003826,155.177
0.100000,1000,4000,0.9,0.01,5376.00,18727.00,0.002828,155.177
0.100000,1000,4000,0.9,0.01,5852.00,17030.00,0.001428,155.177
0.100000,1000,4000,0.9,0.01,8031.00,12701.00,0.004579,155.177
0.100000,1000,4000,0.9,0.01,5257.00,19355.00,0.003720,155.177
0.100000,1000,4000,0.9,0.01,10025.00,11116.00,0.000538,155.177
0.100000,1000,4000,0.9,0.01,7589.00,13371.00,0.000657,155.177
0.100000,1000,4000,0.9,0.01,7694.00,13125.00,0.001993,155.177
0.100000,1000,4000,0.9,0.01,9039.00,11752.00,0.005506,155.177
0.100000,1000,4000,0.9,0.01,6502.00,15331.00,0.002704,155.177
0.100000,1000,4000,0.9,0.01,9837.00,11183.00,0.001341,155.177
0.100000,1000,4000,0.9,0.01,5862.00,17026.00,0.001135,155.177
0.100000,1000,4000,0.9,0.01,6123.00,16353.00,0.000846,155.177
0.100000,1000,4000,0.9,0.01,3895.00,30944.00,0.007167,155.177
0.100000,1000,4000,0.9,0.01,7936.00,12794.00,0.004175,155.177
0.100000,1000,4000,0.9,0.01,10027.00,11103.00,0.001888,155.177
0.100000,1000,4000,0.9,0.01,4965.00,21034.00,0.003181,155.177
0.100000,1000,4000,0.9,0.01,4705.00,22696.00,0.004156,155.177
0.100000,1000,4000,0.9,0.01,5267.00,19301.00,0.001825,155.177
0.100000,1000,4000,0.9,0.01,6194.00,16128.00,0.001830,155.177
0.100000,1000,4000,0.9,0.01,6764.00,14748.00,0.004765,155.177
0.100000,1000,4000,0.9,0.01,5206.00,19605.00,0.004039,155.177
0.100000,1000,4000,0.9,0.01,5035.00,20526.00,0.002897,155.177
0.100000,1000,4000,0.9,0.01,5972.00,16686.00,0.004827,155.177
0.100000,1000,4000,0.9,0.01,6220.00,16033.00,0.003241,155.177
0.100000,1000,4000,0.9,0.01,4173.00,27187.00,0.005778,155.177
0.100000,1000,4000,0.9,0.01,4143.00,27709.00,0.003829,155.177
0.100000,1000,4000,0.9,0.01,7192.00,13936.00,0.005812,155.177
0.100000,1000,4000,0.9,0.01,4949.00,21072.00,0.002183,155.177
0.100000,1000,4000,0.9,0.01,8531.00,12128.00,0.001096,155.177
0.100000,1000,4000,0.9,0.01,6787.00,14699.00,0.001974,155.177
0.100000,1000,4000,0.9,0.01,4110.00,28159.00,0.001859,155.177
0.100000,1000,4000,0.9,0.01,8591.00,12065.00,0.003442,155.177
0.100000,1000,4000,0.9,0.01,4842.00,21805.00,0.003475,155.177
0.100000,1000,4000,0.9,0.01,3977.00,29671.00,0.008046,155.177
0.100000,1000,4000,0.9,0.01,6390.00,15648.00,0.000456,155.177
0.100000,1000,4000,0.9,0.01,3731.00,34463.00,0.005940,155.177
0.100000,1000,4000,0.9,0.01,3802.00,32848.00,0.005866,155.177
0.100000,1000,4000,0.9,0.01,3747.00,34133.00,0.004447,155.177
0.100000,1000,4000,0.9,0.01,6270.00,15937.00,0.002418,155.177
0.100000,1000,4000,0.9,0.01,6487.00,15345.00,0.002007,155.177
0.100000,1000,4000,0.9,0.01,5235.00,19503.00,0.001873,155.177
0.100000,1000,4000,0.9,0.01,6109.00,16373.00,0.001414,155.177
0.100000,1000,4000,0.9,0.01,4299.00,25986.00,0.003946,155.177
0.100000,1000,4000,0.9,0.01,4441.00,24695.00,0.002840,155.177
0.100000,1000,4000,0.9,0.01,4791.00,22158.00,0.000623,155.177
0.100000,1000,4000,0.9,0.01,8158.00,12481.00,0.008305,155.177
0.100000,1000,4000,0.9,0.01,9236.00,11495.00,0.012633,155.177
0.100000,1000,4000,0.9,0.01,6821.00,14673.00,0.001767,155.177
0.100000,1000,4000,0.9,0.01,8075.00,12634.00,0.004193,155.177
0.100000,1000,4000,0.9,0.01,3678.00,35641.00,0.013839,155.177
0.100000,1000,4000,0.9,0.01,10173.00,10973.00,0.003159,155.177
0.100000,1000,4000,0.9,0.01,5131.00,20051.00,0.002734,155.177
0.100000,1000,4000,0.9,0.01,3617.00,38156.00,0.008705,155.177
0.100000,1000,4000,0.9,0.01,6612.00,15036.00,0.001222,155.177
0.100000,1000,4000,0.9,0.01,4256.00,26351.00,0.002232,155.177
0.100000,1000,4000,0.9,0.01,8776.00,11944.00,0.003505,155.177
0.100000,1000,4000,0.9,0.01,3649.00,36451.00,0.008805,155.177
0.100000,1000,4000,0.9,0.01,6775.00,14712.00,0.002454,155.177
0.100000,1000,4000,0.9,0.01,4236.00,26579.00,0.001984,155.177
0.100000,1000,4000,0.9,0.01,4910.00,21402.00,0.000743,155.177
0.100000,1000,4000,0.9,0.01,9406.00,11426.00,0.006473,155.177
0.100000,1000,4000,0.9,0.01,6951.00,14353.00,0.002349,155.177
0.100000,1000,4000,0.9,0.01,4753.00,22397.00,0.002332,155.177
0.100000,1000,4000,0.9,0.01,3695.00,35222.00,0.002034,155.177
0.100000,1000,4000,0.9,0.01,5607.00,17871.00,0.000716,155.177
0.100000,1000,4000,0.9,0.01,4992.00,20849.00,0.001784,155.177
0.100000,1000,4000,0.9,0.01,5780.00,17282.00,0.002411,155.177
0.100000,1000,4000,0.9,0.01,8238.00,12410.00,0.001282,155.177
0.100000,1000,4000,0.9,0.01,4154.00,27605.00,0.000722,155.177
0.100000,1000,4000,0.9,0.01,4559.00,23765.00,0.002256,155.177
0.100000,1000,4000,0.9,0.01,4417.00,24912.00,0.003169,155.177
0.100000,1000,4000,0.9,0.01,5907.00,16898.00,0.001707,155.177
0.100000,1000,4000,0.9,0.01,8852.00,11864.00,0.003890,155.177
0.100000,1000,4000,0.9,0.01,4008.00,29484.00,0.002034,155.177
0.100000,1000,4000,0.9,0.01,8528.00,12144.00,0.003709,155.177
0.100000,1000,4000,0.9,0.01,9176.00,11570.00,0.006599,155.177
0.100000,1000,4000,0.9,0.01,3764.00,33706.00,0.001648,155.177
0.100000,1000,4000,0.9,0.01,5720.00,17478.00,0.002317,155.177
0.100000,1000,4000,0.9,0.01,9977.00,11128.00,0.005155,155.177
0.100000,1000,4000,0.9,0.01,4620.00,23345.00,0.001216,155.177
0.100000,1000,4000,0.9,0.01,3711.00,34934.00,0.001399,155.177
0.100000,1000,4000,0.9,0.01,4758.00,22350.00,0.002053,155.177
0.100000,1000,4000,0.9,0.01,7010.00,14264.00,0.005511,155.177
0.100000,1000,4000,0.9,0.01,5323.00,18996.00,0.000765,155.177
0.100000,1000,4000,0.9,0.01,3938.00,30429.00,0.006678,155.177
0.100000,1000,4000,0.9,0.01,6932.00,14452.00,0.002856,155.177
0.100000,1000,4000,0.9,0.01,4028.00,29097.00,0.006191,155.177
0.100000,1000,4000,0.9,0.01,4404.00,25000.00,0.002987,155.177
0.100000,1000,4000,0.9,0.01,8243.00,12399.00,0.003216,155.177
0.100000,1000,4000,0.9,0.01,4155.00,27591.00,0.001496,155.177
0.100000,1000,4000,0.9,0.01,5381.00,18626.00,0.003794,155.177
0.100000,1000,4000,0.9,0.01,3854.00,31849.00,0.004632,155.177
0.100000,1000,4000,0.9,0.01,4746.00,22437.00,0.003148,155.177
0.100000,1000,4000,0.9,0.01,9110.00,11602.00,0.007805,155.177
0.100000,1000,4000,0.9,0.01,5551.00,18071.00,0.000817,155.177
0.100000,1000,4000,0.9,0.01,3603.00,38687.00,0.007480,155.177
0.100000,1000,4000,0.9,0.01,4067.00,28613.00,0.008035,155.177
0.100000,1000,4000,0.9,0.01,4433.00,24768.00,0.003297,155.177
0.100000,1000,4000,0.9,0.01,5822.00,17126.00,0.002926,155.177
0.100000,1000,4000,0.9,0.01,6892.00,14485.00,0.003202,155.177
0.100000,1000,4000,0.9,0.01,5913.00,16894.00,0.001909,155.177
0.100000,1000,4000,0.9,0.01,5333.00,18949.00,0.001144,155.177
0.100000,1000,4000,0.9,0.01,4938.00,21221.00,0.003436,155.177
0.100000,1000,4000,0.9,0.01,4452.00,24680.00,0.003470,155.177
0.100000,1000,4000,0.9,0.01,10139.00,11012.00,0.005680,155.177
0.100000,1000,4000,0.9,0.01,9838.00,11161.00,0.001024,155.177
0.100000,1000,4000,0.9,0.01,4896.00,21420.00,0.002731,155.177
0.100000,1000,4000,0.9,0.01,7570.00,13392.00,0.004752,155.177
0.100000,1000,4000,0.9,0.01,6392.00,15647.00,0.001286,155.177
0.100000,1000,4000,0.9,0.01,4680.00,22956.00,0.001583,155.177
0.100000,1000,4000,0.9,0.01,5329.00,18954.00,0.001332,155.177
0.100000,1000,4000,0.9,0.01,4080.00,28324.00,0.007985,155.177
0.100000,1000,4000,0.9,0.01,4962.00,21056.00,0.001774,155.177
0.100000,1000,4000,0.9,0.01,3607.00,38353.00,0.003177,155.177
0.100000,1000,4000,0.9,0.01,3631.00,37452.00,0.004129,155.177
0.100000,1000,4000,0.9,0.01,3594.00,39148.00,0.006439,155.177
0.100000,1000,4000,0.9,0.01,4532.00,24088.00,0.001804,155.177
0.100000,1000,4000,0.9,0.01,6307.00,15823.00,0.004236,155.177
0.100000,1000,4000,0.9,0.01,7084.00,14134.00,0.003536,155.177
0.100000,1000,4000,0.9,0.01,4913.00,21347.00,0.003016,155.177
0.100000,1000,4000,0.9,0.01,5056.00,20358.00,0.003792,155.177
0.100000,1000,4000,0.9,0.01,9345.00,11459.00,0.005981,155.177
0.100000,1000,4000,0.9,0.01,3840.00,31970.00,0.006133,155.177
0.100000,1000,4000,0.9,0.01,5023.00,20633.00,0.003146,155.177
0.100000,1000,4000,0.9,0.01,6041.00,16553.00,0.002573,155.177
0.100000,1000,4000,0.9,0.01,5562.00,18012.00,0.002299,155.177
0.100000,1000,4000,0.9,0.01,4339.00,25501.00,0.005041,155.177
0.100000,1000,4000,0.9,0.01,5325.00,18994.00,0.001140,155.177
0.100000,1000,4000,0.9,0.01,3593.00,39218.00,0.008389,155.177
0.100000,1000,4000,0.9,0.01,4831.00,21807.00,0.001597,155.177
0.100000,1000,4000,0.9,0.01,4709.00,22630.00,0.002039,155.177
0.100000,1000,4000,0.9,0.01,4353.00,25385.00,0.004265,155.177
0.100000,1000,4000,0.9,0.01,3763.00,33720.00,0.002675,155.177
0.100000,1000,4000,0.9,0.01,3611.00,38293.00,0.002083,155.177
0.100000,1000,4000,0.9,0.01,5487.00,18235.00,0.003053,155.177
0.100000,1000,4000,0.9,0.01,6121.00,16366.00,0.001325,155.177
0.100000,1000,4000,0.9,0.01,4629.00,23233.00,0.004324,155.177
0.100000,1000,4000,0.9,0.01,4625.00,23334.00,0.000558,155.177
0.100000,1000,4000,0.9,0.01,7591.00,13348.00,0.002420,155.177
0.100000,1000,4000,0.9,0.01,4252.00,26490.00,0.003997,155.177
0.100000,1000,4000,0.9,0.01,6195.00,16066.00,0.003452,155.177
0.100000,1000,4000,0.9,0.01,5264.00,19331.00,0.001626,155.177
0.100000,1000,4000,0.9,0.01,4884.00,21521.00,0.001601,155.177
0.100000,1000,4000,0.9,0.01,5349.00,18858.00,0.001779,155.177
0.100000,1000,4000,0.9,0.01,4547.00,23936.00,0.002433,155.177
0.100000,1000,4000,0.9,0.01,9064.00,11631.00,0.006685,155.177
0.100000,1000,4000,0.9,0.01,5356.00,18808.00,0.002436,155.177
0.100000,1000,4000,0.9,0.01,4001.00,29524.00,0.002712,155.177
0.100000,1000,4000,0.9,0.01,8957.00,11770.00,0.001995,155.177
0.100000,1000,4000,0.9,0.01,5546.00,18087.00,0.000712,155.177
0.100000,1000,4000,0.9,0.01,5798.00,17225.00,0.000938,155.177
0.100000,1000,4000,0.9,0.01,8708.00,11970.00,0.002182,155.177
0.100000,1000,4000,0.9,0.01,6424.00,15513.00,0.002397,155.177
0.100000,1000,4000,0.9,0.01,5773.00,17310.00,0.001195,155.177
0.100000,1000,4000,0.9,0.01,5636.00,17714.00,0.001873,155.177
0.100000,1000,4000,0.9,0.01,6125.00,16333.00,0.000779,155.177
0.100000,1000,4000,0.9,0.01,6848.00,14585.00,0.002462,155.177
0.100000,1000,4000,0.9,0.01,10523.00,10856.00,0.005434,155.177
0.100000,1000,4000,0.9,0.01,4851.00,21686.00,0.003629,155.177
0.100000,1000,4000,0.9,0.01,10430.00,10894.00,0.000711,155.177
0.100000,1000,4000,0.9,0.01,7911.00,12801.00,0.004293,155.177
0.100000,1000,4000,0.9,0.01,7657.00,13209.00,0.004064,155.177
0.100000,1000,4000,0.9,0.01,5772.00,17319.00,0.000948,155.177
0.100000,1000,4000,0.9,0.01,8743.00,11963.00,0.003243,155.177
0.100000,1000,4000,0.9,0.01,9845.00,11156.00,0.001593,155.177
0.100000,1000,4000,0.9,0.01,10463.00,10861.00,0.004471,155.177
0.100000,1000,4000,0.9,0.01,4225.00,26842.00,0.005399,155.177
0.100000,1000,4000,0.9,0.01,8562.00,12088.00,0.003890,155.177
0.100000,1000,4000,0.9,0.01,3939.00,30186.00,0.005765,155.177
0.100000,1000,4000,0.9,0.01,6288.00,15891.00,0.003347,155.177
0.100000,1000,4000,0.9,0.01,7338.00,13699.00,0.005142,155.177
0.100000,1000,4000,0.9,0.01,8041.00,12686.00,0.002451,155.177
0.100000,1000,4000,0.9,0.01,6145.00,16230.00,0.003281,155.177
0.100000,1000,4000,0.9,0.01,6968.00,14281.00,0.004493,155.177
0.100000,1000,4000,0.9,0.01,4511.00,24219.00,0.001393,155.177
0.100000,1000,4000,0.9,0.01,7594.00,13240.00,0.003177,155.177
0.100000,1000,4000,0.9,0.01,5110.00,20105.00,0.001727,155.177
0.100000,1000,4000,0.9,0.01,4272.00,26205.00,0.003025,155.177
0.100000,1000,4000,0.9,0.01,6031.00,16592.00,0.001478,155.177
0.100000,1000,4000,0.9,0.01,4203.00,26885.00,0.002648,155.177
0.100000,1000,4000,0.9,0.01,5629.00,17792.00,0.001008,155.177
0.100000,1000,4000,0.9,0.01,5009.00,20771.00,0.002846,155.177
0.100000,1000,4000,0.9,0.01,6098.00,16388.00,0.001556,155.177
0.100000,1000,4000,0.9,0.01,4171.00,27325.00,0.004457,155.177
0.100000,1000,4000,0.9,0.01,3701.00,35128.00,0.003601,155.177
0.100000,1000,4000,0.9,0.01,4153.00,27625.00,0.002552,155.177
0.100000,1000,4000,0.9,0.01,6088.00,16455.00,0.000883,155.177
0.100000,1000,4000,0.9,0.01,5809.00,17192.00,0.002426,155.177
0.100000,1000,4000,0.9,0.01,6531.00,15287.00,0.005006,155.177
0.100000,1000,4000,0.9,0.01,7154.00,14049.00,0.004512,155.177
0.100000,1000,4000,0.9,0.01,8372.00,12302.00,0.003354,155.177
0.100000,1000,4000,0.9,0.01,3620.00,37776.00,0.011855,155.177
0.100000,1000,4000,0.9,0.01,4370.00,25379.00,0.003809,155.177
0.100000,1000,4000,0.9,0.01,6831.00,14669.00,0.001099,155.177
0.100000,1000,4000,0.9,0.01,3742.00,34226.00,0.004069,155.177
0.100000,1000,4000,0.9,0.01,4516.00,24184.00,0.002155,155.177
0.100000,1000,4000,0.9,0.01,4131.00,27899.00,0.004387,155.177
0.100000,1000,4000,0.9,0.01,7322.00,13714.00,0.002361,155.177
0.100000,1000,4000,0.9,0.01,5082.00,20302.00,0.002534,155.177
0.100000,1000,4000,0.9,0.01,6615.00,15021.00,0.001062,155.177
0.100000,1000,4000,0.9,0.01,6480.00,15358.00,0.001469,155.177
0.100000,1000,4000,0.9,0.01,4686.00,22840.00,0.001802,155.177
0.100000,1000,4000,0.9,0.01,3851.00,31851.00,0.000574,155.177
0.100000,1000,4000,0.9,0.01,4584.00,23686.00,0.001440,155.177
0.100000,1000,4000,0.9,0.01,5053.00,20484.00,0.004350,155.177
0.100000,1000,4000,0.9,0.01,5881.00,16989.00,0.001849,155.177
0.100000,1000,4000,0.9,0.01,6228.00,16012.00,0.002188,155.177
0.100000,1000,4000,0.9,0.01,8388.00,12228.00,0.003722,155.177
0.100000,1000,4000,0.9,0.01,7959.00,12754.00,0.003649,155.177
0.100000,1000,4000,0.9,0.01,6174.00,16212.00,0.003269,155.177
0.100000,1000,4000,0.9,0.01,3804.00,32682.00,0.006891,155.177
0.100000,1000,4000,0.9,0.01,6915.00,14477.00,0.001813,155.177
0.100000,1000,4000,0.9,0.01,7309.00,13718.00,0.002556,155.177
0.100000,1000,4000,0.9,0.01,6105.00,16383.00,0.001029,155.177
0.100000,1000,4000,0.9,0.01,7299.00,13769.00,0.002637,155.177
0.100000,1000,4000,0.9,0.01,10313.00,10924.00,0.010340,155.177
0.100000,1000,4000,0.9,0.01,4537.00,23972.00,0.002143,155.177
0.100000,1000,4000,0.9,0.01,3639.00,36986.00,0.004088,155.177
0.100000,1000,4000,0.9,0.01,4892.00,21515.00,0.002571,155.177
0.100000,1000,4000,0.9,0.01,4476.00,24559.00,0.001019,155.177
0.100000,1000,4000,0.9,0.01,3570.00,39950.00,0.002516,155.177
0.100000,1000,4000,0.9,0.01,5068.00,20324.00,0.002241,155.177
0.100000,1000,4000,0.9,0.01,4984.00,20915.00,0.000965,155.177
0.100000,1000,4000,0.9,0.01,4268.00,26299.00,0.003622,155.177
0.100000,1000,4000,0.9,0.01,5021.00,20766.00,0.003345,155.177
0.100000,1000,4000,0.9,0.01,5127.00,20071.00,0.001668,155.177
0.100000,1000,4000,0.9,0.01,6096.00,16437.00,0.001412,155.177
