Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance,ExecTimeSec
0.100000,1000,4000,0.9,0.01,1401.00,2199.00,0.006975,68.576
0.100000,1000,4000,0.9,0.01,1100.00,2632.00,0.004622,68.576
0.100000,1000,4000,0.9,0.01,1333.00,2264.00,0.003847,68.576
0.100000,1000,4000,0.9,0.01,773.00,4295.00,0.006241,68.576
0.100000,1000,4000,0.9,0.01,793.00,4110.00,0.003297,68.576
0.100000,1000,4000,0.9,0.01,1449.00,2178.00,0.004974,68.576
0.100000,1000,4000,0.9,0.01,1325.00,2271.00,0.002367,68.576
0.100000,1000,4000,0.9,0.01,1297.00,2301.00,0.004467,68.576
0.100000,1000,4000,0.9,0.01,1354.00,2239.00,0.006369,68.576
0.100000,1000,4000,0.9,0.01,736.00,4691.00,0.004381,68.576
0.100000,1000,4000,0.9,0.01,1572.00,2152.00,0.012148,68.576
0.100000,1000,4000,0.9,0.01,946.00,3069.00,0.003142,68.576
0.100000,1000,4000,0.9,0.01,729.00,4770.00,0.006705,68.576
0.100000,1000,4000,0.9,0.01,715.00,5001.00,0.007480,68.576
0.100000,1000,4000,0.9,0.01,800.00,4043.00,0.006184,68.576
0.100000,1000,4000,0.9,0.01,1289.00,2313.00,0.004622,68.576
0.100000,1000,4000,0.9,0.01,709.00,5223.00,0.019101,68.576
0.100000,1000,4000,0.9,0.01,1045.00,2756.00,0.004467,68.576
0.100000,1000,4000,0.9,0.01,1491.00,2166.00,0.006102,68.576
0.100000,1000,4000,0.9,0.01,1106.00,2622.00,0.003184,68.576
0.100000,1000,4000,0.9,0.01,1481.00,2169.00,0.007074,68.576
0.100000,1000,4000,0.9,0.01,1128.00,2582.00,0.003339,68.576
0.100000,1000,4000,0.9,0.01,812.00,3935.00,0.006184,68.576
0.100000,1000,4000,0.9,0.01,1234.00,2397.00,0.004058,68.576
0.100000,1000,4000,0.9,0.01,863.00,3547.00,0.002677,68.576
0.100000,1000,4000,0.9,0.01,1258.00,2361.00,0.002212,68.576
0.100000,1000,4000,0.9,0.01,774.00,4280.00,0.004071,68.576
0.100000,1000,4000,0.9,0.01,1198.00,2456.00,0.003339,68.576
0.100000,1000,4000,0.9,0.01,1279.00,2332.00,0.003030,68.576
0.100000,1000,4000,0.9,0.01,885.00,3409.00,0.001338,68.576
0.100000,1000,4000,0.9,0.01,1267.00,2345.00,0.005185,68.576
0.100000,1000,4000,0.9,0.01,842.00,3695.00,0.003297,68.576
0.100000,1000,4000,0.9,0.01,1439.00,2181.00,0.006102,68.576
0.100000,1000,4000,0.9,0.01,1132.00,2572.00,0.003903,68.576
0.100000,1000,4000,0.9,0.01,960.00,3000.00,0.005762,68.576
0.100000,1000,4000,0.9,0.01,1073.00,2686.00,0.002423,68.576
0.100000,1000,4000,0.9,0.01,879.00,3449.00,0.003297,68.576
0.100000,1000,4000,0.9,0.01,846.00,3656.00,0.007424,68.576
0.100000,1000,4000,0.9,0.01,739.00,4659.00,0.003297,68.576
0.100000,1000,4000,0.9,0.01,766.00,4357.00,0.006184,68.576
0.100000,1000,4000,0.9,0.01,1153.00,2535.00,0.002466,68.576
0.100000,1000,4000,0.9,0.01,927.00,3168.00,0.002169,68.576
0.100000,1000,4000,0.9,0.01,917.00,3228.00,0.004170,68.576
0.100000,1000,4000,0.9,0.01,1042.00,2772.00,0.003142,68.576
0.100000,1000,4000,0.9,0.01,853.00,3611.00,0.004790,68.576
0.100000,1000,4000,0.9,0.01,904.00,3302.00,0.003297,68.576
0.100000,1000,4000,0.9,0.01,811.00,3950.00,0.006705,68.576
0.100000,1000,4000,0.9,0.01,1177.00,2492.00,0.003339,68.576
0.100000,1000,4000,0.9,0.01,966.00,2980.00,0.005762,68.576
0.100000,1000,4000,0.9,0.01,797.00,4077.00,0.004015,68.576
0.100000,1000,4000,0.9,0.01,1220.00,2417.00,0.003339,68.576
0.100000,1000,4000,0.9,0.01,1560.00,2154.00,0.007074,68.576
0.100000,1000,4000,0.9,0.01,1086.00,2664.00,0.000874,68.576
0.100000,1000,4000,0.9,0.01,765.00,4372.00,0.006395,68.576
0.100000,1000,4000,0.9,0.01,805.00,4002.00,0.003297,68.576
0.100000,1000,4000,0.9,0.01,1243.00,2380.00,0.003339,68.576
