Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance
0.100000,1000,4000,0.9,0.01,25748.00,74067.00,0.000000
0.100000,1000,4000,0.9,0.01,50639.00,56322.00,0.014762
0.100000,1000,4000,0.9,0.01,64336.00,44450.00,0.014611
0.100000,1000,4000,0.9,0.01,22465.00,142206.00,0.006781
0.100000,1000,4000,0.9,0.01,17635.00,225093.00,0.004034
0.100000,1000,4000,0.9,0.01,52748.00,55187.00,0.015197
0.100000,1000,4000,0.9,0.01,53870.00,53389.00,0.010459
0.100000,1000,4000,0.9,0.01,48731.00,58420.00,0.010412
0.100000,1000,4000,0.9,0.01,22893.00,136375.00,0.006303
0.100000,1000,4000,0.9,0.01,67190.00,41875.00,0.003432
0.100000,1000,4000,0.9,0.01,63021.00,44973.00,0.018669
0.100000,1000,4000,0.9,0.01,46729.00,59162.00,0.007101
0.100000,1000,4000,0.9,0.01,57850.00,50755.00,0.011288
0.100000,1000,4000,0.9,0.01,67313.00,41700.00,0.002612
0.100000,1000,4000,0.9,0.01,25373.00,88017.00,0.021864
0.100000,1000,4000,0.9,0.01,53117.00,54943.00,0.007234
0.100000,1000,4000,0.9,0.01,24956.00,99243.00,0.013950
0.100000,1000,4000,0.9,0.01,19286.00,196701.00,0.025766
0.100000,1000,4000,0.9,0.01,49830.00,56930.00,0.007938
0.100000,1000,4000,0.9,0.01,22937.00,136337.00,0.001998
0.100000,1000,4000,0.9,0.01,40479.00,65077.00,0.015856
0.100000,1000,4000,0.9,0.01,18160.00,213015.00,0.013709
0.100000,1000,4000,0.9,0.01,20857.00,161922.00,0.019674
0.100000,1000,4000,0.9,0.01,67391.00,39575.00,100000000000000.000000
0.100000,1000,4000,0.9,0.01,39849.00,65751.00,0.025520
0.100000,1000,4000,0.9,0.01,49053.00,57852.00,0.009488
0.100000,1000,4000,0.9,0.01,16127.00,244306.00,0.015418
0.100000,1000,4000,0.9,0.01,18544.00,207529.00,0.002914
0.100000,1000,4000,0.9,0.01,44007.00,61889.00,0.021612
0.100000,1000,4000,0.9,0.01,22086.00,146271.00,0.017358
0.100000,1000,4000,0.9,0.01,64833.00,43074.00,0.016528
