Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.912555,200,200,0.9,0.01,6742.0,18581.0,27354.0,101280.0,13895.65,49843.34,116,97,20612.0,82699.0,0.9844,29415.2,109549.9,0.4324,3.21
0.912555,200,400,0.9,0.01,6742.0,18581.0,27347.0,101280.0,14437.05,48922.61,153,131,20605.0,82699.0,0.9907,29407.5,109549.9,0.5023,6.32
0.912555,200,600,0.9,0.01,6742.0,18581.0,27317.0,101275.0,13919.68,50464.22,165,146,20575.0,82694.0,0.9928,29374.5,109544.4,0.5329,9.55
0.912555,200,800,0.9,0.01,6742.0,18581.0,27317.0,101275.0,15072.84,45502.63,172,154,20575.0,82694.0,0.9938,29374.5,109544.4,0.5492,10.78
0.912555,200,1000,0.9,0.01,6742.0,18581.0,27317.0,101275.0,14114.05,48741.2,168,148,20575.0,82694.0,0.9956,29374.5,109544.4,0.5377,16.93
0.912555,200,1200,0.9,0.01,6742.0,18581.0,27317.0,101275.0,13715.88,51095.7,193,177,20575.0,82694.0,0.9961,29374.5,109544.4,0.5959,16.66
0.912555,200,1400,0.9,0.01,6742.0,18581.0,27317.0,101275.0,13654.14,51058.03,193,174,20575.0,82694.0,0.9972,29374.5,109544.4,0.5902,19.74
0.912555,200,1600,0.9,0.01,6742.0,18581.0,27317.0,101275.0,14278.6,47716.04,191,174,20575.0,82694.0,0.9982,29374.5,109544.4,0.5905,22.95
0.912555,200,1800,0.9,0.01,6742.0,18581.0,27317.0,101275.0,13584.35,49791.39,193,175,20575.0,82694.0,0.9988,29374.5,109544.4,0.5927,25.95
0.912555,200,2000,0.9,0.01,6742.0,18581.0,27293.0,101275.0,13744.17,49711.51,191,170,20551.0,82694.0,0.9999,29348.1,109544.4,0.583,29.73
0.912555,200,2200,0.9,0.01,6742.0,18581.0,27285.0,101275.0,13691.95,50595.37,194,174,20543.0,82694.0,1.0004,29339.3,109544.4,0.5912,32.43
0.912555,200,2400,0.9,0.01,6742.0,18581.0,27285.0,101275.0,13809.1,50001.73,193,176,20543.0,82694.0,1.001,29339.3,109544.4,0.5954,35.59
0.912555,200,2600,0.9,0.01,6742.0,18581.0,27285.0,101275.0,13498.54,52459.59,193,176,20543.0,82694.0,1.0013,29339.3,109544.4,0.5955,39.13
0.912555,200,2800,0.9,0.01,6742.0,18581.0,27360.0,101275.0,14355.6,46952.83,193,174,20618.0,82694.0,1.0031,29421.8,109544.4,0.592,39.44
0.912555,200,3000,0.9,0.01,6742.0,18581.0,27285.0,101275.0,14236.3,48881.66,193,177,20543.0,82694.0,1.0024,29339.3,109544.4,0.5978,44.73
0.912555,200,3200,0.9,0.01,6742.0,18581.0,27379.0,101259.0,13517.12,51742.86,194,180,20637.0,82678.0,1.0034,29442.7,109526.8,0.6041,47.31
0.912555,200,3400,0.9,0.01,6742.0,18581.0,27285.0,101259.0,14161.63,49208.39,194,178,20543.0,82678.0,1.0042,29339.3,109526.8,0.6003,48.94
0.912555,200,3600,0.9,0.01,6742.0,18581.0,27285.0,101247.0,14348.49,46545.01,193,177,20543.0,82666.0,1.0031,29339.3,109513.6,0.598,52.5
0.912555,200,3800,0.9,0.01,6811.0,18894.0,27263.0,101206.0,14365.83,47087.91,193,180,20452.0,82312.0,1.0093,29308.2,109437.2,0.6051,54.99
0.912555,200,4000,0.9,0.01,6742.0,18581.0,27376.0,101247.0,14558.18,47168.19,194,183,20634.0,82666.0,1.0055,29439.4,109513.6,0.6107,58.18
0.912555,400,200,0.9,0.01,6742.0,18581.0,27338.0,101620.0,13765.29,52837.46,146,110,20596.0,83039.0,0.9837,29397.6,109923.9,0.4582,6.84
0.912555,400,400,0.9,0.01,6742.0,18581.0,27328.0,101405.0,13687.05,53254.39,213,173,20586.0,82824.0,0.9893,29386.6,109687.4,0.5859,10.72
0.912555,400,600,0.9,0.01,6742.0,18581.0,27328.0,101365.0,14086.48,50196.64,219,180,20586.0,82784.0,0.9929,29386.6,109643.4,0.6009,18.81
